pravima	pravo	Ncnpi
prosuđivat	prosuđivati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
i	i	Qo
nastavak	nastavak	Ncmsn
arbitražnog	arbitražni	Agpmsgy
postupka	postupak	Ncmsg
i	i	Cc
njegovi	njegov	Ps3mpn
učinci	učinak	Ncmpn
.	.	Z

Mjesto	mjesto	Ncnsn
arbitraže	arbitraža	Ncfsg

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
sporovima	spor	Ncmpl
bez	bez	Sg
međunarodnog	međunarodni	Agpnsgy
obilježja	obilježje	Ncnsg
stranke	stranka	Ncfsg
mogu	moći	Vmr3p
ugovoriti	ugovoriti	Vmn
mjesto	mjesto	Ncnsa
arbitraže	arbitraža	Ncfsg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Stranke	stranka	Ncfpn
se	sebe	Px--sa
mogu	moći	Vmr3p
u	u	Sl
sporovima	spor	Ncmpl
s	sa	Si
međunarodnim	međunarodni	Agpnsiy
obilježjem	obilježje	Ncnsi
sporazumjeti	sporazumjeti	Vmn
da	da	Cs
mjesto	mjesto	Ncnsn
arbitraže	arbitraža	Ncfsg
bude	buditi	Vmr3p
i	i	Qo
u	u	Sl
nekoj	neki	Pi-fsl
drugoj	drugi	Mlofsl
državi	država	Ncfsl
.	.	Z

Nakon	nakon	Sg
pokretanja	pokretanje	Ncnsg
arbitražnog	arbitražni	Agpmsgy
postupka	postupak	Ncmsg
stranke	stranka	Ncfsg
ne	ne	Qz
mogu	moći	Vmr3p
svojim	svoj	Px-msi
sporazumom	sporazum	Ncmsi
kao	kao	Cs
mjesto	mjesto	Ncnsn
arbitraže	arbitraža	Ncfsg
odrediti	odrediti	Vmn
mjesto	mjesto	Ncnsa
koje	koji	Pi-nsn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
izvan	izvan	Sg
teritorija	teritorij	Ncmsg
države	država	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
bilo	biti	Vap-sn
mjesto	mjesto	Ncnsn
arbitraže	arbitraža	Ncfsg
u	u	Sa
vrijeme	vrijeme	Ncnsa
pokretanja	pokretanje	Ncnsg
arbitražnog	arbitražni	Agpmsgy
postupka	postupak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Arbitražni	arbitražni	Agpmsny
sud	sud	Ncmsn
nije	biti	Var3s
ovlašten	ovlastiti	Appmsnn
odrediti	odrediti	Vmn
mjesto	mjesto	Ncnsa
arbitraže	arbitraža	Ncfsg
bez	bez	Sg
suglasnosti	suglasnost	Ncfsg
stranaka	stranka	Ncfpg
o	o	Sl
tome	taj	Pd-nsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
stranke	stranka	Ncfpn
nisu	biti	Var3p
drukčije	drugačiji	Agpfpny
sporazumjele	sporazumjeti	Vmp-pf
,	,	Z
mjesto	mjesto	Ncnsa
arbitraže	arbitraža	Ncfsg
je	biti	Var3s
u	u	Sl
sjedištu	sjedište	Ncnsl
Sudišta	sudište	Ncnsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ako	ako	Cs
stranke	stranka	Ncfpn
ugovore	ugovoriti	Vmr3p
mjesto	mjesto	Ncnsa
arbitraže	arbitraža	Ncfsg
izvan	izvan	Sg
sjedišta	sjedište	Ncnsg
Sudišta	sudište	Ncnsg
,	,	Z
arbitraža	arbitraža	Ncfsn
će	htjeti	Var3s
se	sebe	Px--sa
održati	održati	Vmn
u	u	Sl
ugovorenom	ugovoriti	Agpnsly
mjestu	mjesto	Ncnsl
samo	samo	Rgp
ako	ako	Cs
stranke	stranka	Ncfpn
,	,	Z
na	na	Sa
zahtjev	zahtjev	Ncmsan
tajnika	tajnik	Ncmpg
Sudišta	sudište	Ncnsg
,	,	Z
predujme	predujam	Ncmpa
dodatna	dodatan	Agpfsny
sredstava	sredstvo	Ncnpg
za	za	Sa
pokriće	pokriće	Ncnsa
troškova	trošak	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
time	taj	Pd-nsi
izazvani	izazvati	Appmpny
.	.	Z

Ako	ako	Cs
stranke	stranka	Ncfpn
ne	ne	Qz
predujme	predujmiti	Vmr3p
zatražena	zatražiti	Agpnpay
sredstva	sredstvo	Ncnpa
u	u	Sl
određenom	određen	Agpmsly
roku	rok	Ncmsl
,	,	Z
smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
da	da	Cs
su	biti	Var3p
ugovorile	ugovoriti	Vmp-pf
da	da	Cs
se	sebe	Px--sa
arbitraža	arbitraža	Ncfsn
održi	održati	Vmr3s
u	u	Sl
sjedištu	sjedište	Ncnsl
Sudišta	sudište	Ncnsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
stranke	stranka	Ncfpn
tome	taj	Pd-nsd
suglasno	suglasno	Rgp
ne	ne	Qz
usprotive	usprotiviti	Vmr3p
,	,	Z
arbitražni	arbitražni	Agpmsny
sud	sud	Ncmsn
je	biti	Var3s
ovlašten	ovlastiti	Appmsnn
odrediti	odrediti	Vmn
da	da	Cs
se	sebe	Px--sa
ročišta	ročište	Ncnsg
u	u	Sl
postupku	postupak	Ncmsl
održavaju	održavati	Vmr3p
izvan	izvan	Sg
mjesta	mjesto	Ncnsg
arbitraže	arbitraža	Ncfsg
.	.	Z
