komunikacije	komunikacija	Ncfpa
od	od	Sg
9.	9.	Mdo
siječnja	siječanj	Ncmsg
2014.	2014.	Mdo
,	,	Z
da	da	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
operater	operater	Ncmsn
Hrvatski	hrvatski	Agpmsny
Telekom	telekom	Ncmsn
d.	d.	Y
d.	d.	Y
Zagreb	Zagreb	Npmsn
neosnovano	neosnovano	Rgp
onemogućio	onemogućiti	Vmp-sm
prijenos	prijenos	Ncmsan
pretplatničkog	pretplatnički	Agpmsgy
broja	broj	Ncmsg
na	na	Sl
telefonskom	telefonski	Agpmsly
priključku	priključak	Ncmsl
051	051	Mdc
811288	811288	Mdc
iz	iz	Sg
nepokretne	nepokretan	Agpfsgy
komunikacijske	komunikacijski	Agpfsgy
mreže	mreža	Ncfsg
operatera	operater	Ncmpg
Hrvatski	hrvatski	Agpmsny
Telekom	telekom	Ncmsn
d.	d.	Y
d.	d.	Y
Zagreb	Zagreb	Npmsn
u	u	Sa
nepokretnu	nepokretan	Agpfsay
elektroničku	elektronički	Agpfsay
komunikacijsku	komunikacijski	Agpfsay
mrežu	mreža	Ncfsa
operatera	operater	Ncmpg
VIPnet	vipnet	Ncfpg
d.o.o.	d.o.oa	Ncfsg

Zagreb	Zagreb	Npmsn
sukladno	sukladno	Rgp
zahtjevu	zahtjev	Ncmsl
tužitelja	tužitelj	Ncmpg
za	za	Sa
zasnivanje	zasnivanje	Ncnsa
pretplatničkog	pretplatnički	Agpmsgy
odnosa	odnos	Ncmsg
podnesenog	podnesen	Agpmsgy
operateru	operater	Ncmsd
VIPnet	vipnet	Ncfpg
d.o.o.	d.o.o.	Y
29.	29.	Mdo
prosinca	prosinac	Ncmsg
2012.	2012.	Mdo
,	,	Z
da	da	Cs
se	sebe	Px--sa
naloži	naložiti	Vmr3s
operateru	operater	Ncmsd
Hrvatski	hrvatski	Agpmsny
Telekom	telekom	Ncmsn
da	da	Cs
omogući	omogućiti	Vmr3s
prijenos	prijenos	Ncmsan
pretplatničkog	pretplatnički	Agpmsgy
broja	broj	Ncmsg
na	na	Sl
telefonskom	telefonski	Agpmsly
priključku	priključak	Ncmsl
051	051	Mdc
811288	811288	Mdc
iz	iz	Sg
nepokretne	nepokretan	Agpfsgy
komunikacijske	komunikacijski	Agpfsgy
mreže	mreža	Ncfsg
operatera	operater	Ncmpg
Hrvatski	hrvatski	Agpmsny
Telekom	telekom	Ncmsn
d.	d.	Y
d.	d.	Y
Zagreb	Zagreb	Npmsn
u	u	Sa
nepokretnu	nepokretan	Agpfsay
elektroničku	elektronički	Agpfsay
komunikacijsku	komunikacijski	Agpfsay
mrežu	mreža	Ncfsa
operatera	operater	Ncmpg
VIPnet	vipnet	Ncfpg
d.o.o.	d.o.oa	Ncfsg

Zagreb	Zagreb	Npmsn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
5	5	Mdc
radnih	radni	Agpmpgy
dana	dan	Ncmpg
od	od	Sg
izvršnosti	izvršnost	Ncfsg
ove	ovaj	Pd-fsg
presude	presuda	Ncfsg
sukladno	sukladno	Rgp
zahtjevu	zahtjev	Ncmsl
tužitelja	tužitelj	Ncmpg
za	za	Sa
zasnivanje	zasnivanje	Ncnsa
pretplatničkog	pretplatnički	Agpmsgy
odnosa	odnos	Ncmsg
podnesenog	podnesen	Agpmsgy
operateru	operater	Ncmsd
VIPnet	vipnet	Ncfpg
d.o.o.	d.o.o.	Y

Zagreb	Zagreb	Npmsn
29.	29.	Mdo
prosinca	prosinac	Ncmsg
2012.	2012.	Mdo
te	te	Cc
da	da	Cs
se	sebe	Px--sa
naloži	naložiti	Vmr3s
Hrvatskom	Hrvatski	Npmsd
Telekomu	Telekom	Npmsd
d.	d.	Y
d.	d.	Y
Zagreb	Zagreb	Npmsn
