spremnosti	spremnost	Ncfpa
za	za	Sa
reviziju	revizija	Ncfsa
,	,	Z
odnosno	odnosno	Rgp
obavijesti	obavijestiti	Vmr3s
da	da	Cs
je	biti	Var3s
sustav	sustav	Ncmsn
unutarnjih	unutarnji	Agpfpgy
kontrola	kontrola	Ncfpg
koji	koji	Pi-msn
treba	trebati	Vmr3s
biti	biti	Van
predmet	predmet	Ncmsn
provjere	provjera	Ncfsg
,	,	Z
uspostavljen	uspostaviti	Appmsnn
.	.	Z

Članak	članak	Ncmsn
17.	17.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Provjera	provjera	Ncfsn
ispunjavanja	ispunjavanje	Ncnsg
akreditacijskih	akreditacijski	Agpmpgy
kriterija	kriterij	Ncmpg
provodi	provoditi	Vmr3s
se	sebe	Px--sa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbom	odredba	Ncfsi
članka	članak	Ncmsg
1.	1.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
Provedbene	provedbeni	Agpfsgy
uredbe	uredba	Ncfsg
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
908/2014.	908/2014.	Mds

(	(	Z
2	2	Mdc
)	)	Z
Provjerom	provjera	Ncfsi
ispunjavanja	ispunjavanje	Ncnsg
akreditacijskih	akreditacijski	Agpmpgy
kriterija	kriterij	Ncmpg
moraju	morati	Vmr3p
se	sebe	Px--sa
obuhvatiti	obuhvatiti	Vmn
i	i	Cc
funkcije	funkcija	Ncfpa
koje	koji	Pi-fpa
je	biti	Var3s
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
delegirala	delegirati	Vmp-sf
.	.	Z

Članak	članak	Ncmsn
18.	18.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nakon	nakon	Sg
obavljene	obaviti	Agpfsgy
revizije	revizija	Ncfsg
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbom	odredba	Ncfsi
članka	članak	Ncmsg
1.	1.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
Provedbene	provedbeni	Agpfsgy
uredbe	uredba	Ncfsg
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
908/2014	908/2014	Mdc
,	,	Z
revizijsko	revizijski	Agpnsny
tijelo	tijelo	Ncnsn
sastavlja	sastavljati	Vmr3s
izvješće	izvješće	Ncnsa
u	u	Sl
kojem	koji	Pi-nsl
izražava	izražavati	Vmr3s
mišljenje	mišljenje	Ncnsa
o	o	Sl
uspostavljenom	uspostaviti	Agpmsly
sustavu	sustav	Ncmsl
unutarnjih	unutarnji	Agpfpgy
kontrola	kontrola	Ncfpg
i	i	Cc
ispunjavanju	ispunjavanje	Ncnsl
akreditacijskih	akreditacijski	Agpmpgy
kriterija	kriterij	Ncmpg
te	te	Cc
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
potrebe	potreba	Ncfsg
,	,	Z
daje	davati	Vmr3s
preporuke	preporuka	Ncfpa
za	za	Sa
otklanjanje	otklanjanje	Ncnsa
uočenih	uočiti	Agpmpgy
nedostataka	nedostatak	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Revizijsko	revizijski	Agpnsny
tijelo	tijelo	Ncnsn
može	moći	Vmr3s
izraziti	izraziti	Vmn
mišljenje	mišljenje	Ncnsa
da	da	Cs
sustav	sustav	Ncmsn
