dvije	dva	Mlcf-n
ovlaštene	ovlašten	Agpfsgy
osobe	osoba	Ncfsg
priređivača	priređivač	Ncmpg
.	.	Z

Obrazac	obrazac	Ncmsn
br.	br.	Y
11	11	Mdc
–	–	Z
Obračun	obračun	Ncmsan
gotovine	gotovina	Ncfsg
po	po	Sl
pojedinom	pojedini	Agpmsly
automatu	automat	Ncmsl
za	za	Sa
igre	igra	Ncfpa
na	na	Sa
sreću	sreća	Ncfsa

PODACI	podatak	Ncmpn
O	o	Sl
TVRTKI	tvrtka	Ncfsl
I	i	Cc
SJEDIŠTU	sjedište	Ncnsl
DRUŠTVA	društvo	Ncnsg
______	______	Agpmsny
DATUM	datum	Ncmsn
_____	_____	Z

OIB	oib	Mrc
PRIREĐIVAČA	priređivač	Ncmpg
___________________________________	___________________________________	Z

ADRESA	adresa	Ncfsn
___________________________________________	___________________________________________	Z

OBRAČUN	obračun	Ncmsn
GOTOVINE	gotovina	Ncfsg
N	N	X
°	°	Z
______	______	Qz
PO	po	Sl
POJEDINOM	pojedini	Agpmsly
AUTOMATU	automat	Ncmsl
ZA	za	Sa
IGRE	igra	Ncfpa
NA	na	Sa
SREĆU	sreća	Ncfsa

Red	red	Ncmsn
.	.	Z
br.	br.	Y

INVENTURNI	inventurni	Agpmsny
BROJ	broj	Ncmsn
AUTOMATA	automat	Ncmpg
SERIJSKI	serijski	Agpmsny
BROJ	broj	Ncmsn
AUTOMATA	automat	Ncmpg
STANJE	stanje	Ncnsn
GOTOVINE	gotovina	Ncfsg
UKUPNO	ukupan	Agpnsny

_______________________	_______________________	I
_______________________	_______________________	Z

Ovlaštena	ovlastiti	Appfsny
osoba	osoba	Ncfsn
priređivača	priređivač	Ncmpg
Ovlaštena	ovlastiti	Appfsny
osoba	osoba	Ncfsn
priređivača	priređivač	Ncmpg

Obrazac	obrazac	Ncmsn
blagajnički	blagajnički	Agpmsny
izvještaj	izvještaj	Ncmsn

Članak	članak	Ncmsn
23.	23.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
Blagajnički	blagajnički	Agpmsny
izvještaj	izvještaj	Ncmsn
(	(	Z
obrazac	obrazac	Ncmsn
br.	br.	Y
12	12	Mdc
)	)	Z
sastavlja	sastavljati	Vmr3s
se	sebe	Px--sa
prilikom	prilikom	Sg
izrade	izrada	Ncfsg
dnevnog	dnevni	Agpmsgy
obračuna	obračun	Ncmsg
na	na	Sl
automatima	automat	Ncmpl
za	za	Sa
igre	igra	Ncfpa
na	na	Sa
sreću	sreća	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
Blagajnički	blagajnički	Agpmsny
izvještaj	izvještaj	Ncmsn
obvezno	obvezno	Rgp
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
sljedeće	sljedeći	Agpnsay
:	:	Z

1.	1.	Mdo
podatke	podatak	Ncmpa
o	o	Sl
tvrtki	tvrtka	Ncfsl
i	i	Cc
sjedištu	sjedište	Ncnsl
društva	društvo	Ncnsg

2.	2.	Mdo
osobni	osoban	Agpmsayn
identifikacijski	identifikacijski	Agpmsayn
broj	broj	Ncmsan
priređivača	priređivač	Ncmpg
(	(	Z
OIB	OIB	Npmsn
)	)	Z

3.	3.	Mdo
adresu	adresa	Ncfsa
prostora	prostor	Ncmsg
u	u	Sl
kojemu	koji	Pi-msl
se	sebe	Px--sa
priređuju	priređivati	Vmr3p
