ozljeđivanja	ozljeđivanje	Ncnpn
,	,	Z
odnosno	odnosno	Rgp
do	do	Sg
trenutka	trenutak	Ncmsg
kada	kada	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
takvo	takav	Pd-nsn
izlječenje	izlječenje	Ncnsn
nemoguće	nemoguć	Agpnsny
,	,	Z
jer	jer	Cs
je	biti	Var3s
Pomorac	pomorac	Ncmsn
trajno	trajno	Rgp
nesposoban	nesposoban	Agpmsnn
za	za	Sa
zvanje	zvanje	Ncnsa
Pomorca	pomorac	Ncmsg
.	.	Z

4.	4.	Mdo
Dokaz	dokaz	Ncmsn
o	o	Sl
trajanju	trajanje	Ncnsl
bolovanja	bolovanje	Ncnsg
temelji	temeljiti	Vmr3s
se	sebe	Px--sa
na	na	Sl
izvješću	izvješće	Ncnsl
o	o	Sl
bolovanju	bolovanje	Ncnsl
(	(	Z
doznakama	doznaka	Ncfpl
)	)	Z
i	i	Cc
medicinskoj	medicinski	Agpfsly
dokumentaciji	dokumentacija	Ncfsl
prema	prema	Sl
potrebi	potreba	Ncfsl
potvrđenoj	potvrditi	Appfsly
od	od	Sg
strane	strana	Ncfsg
nominiranog	nominiran	Agpmsgy
liječnika	liječnik	Ncmsg
Poslodavca	poslodavac	Ncmsg
.	.	Z

Ako	ako	Cs
se	sebe	Px--sa
liječnik	liječnik	Ncmsn
nominiran	nominiran	Agpmsnn
od	od	Sg
Pomorca	pomorac	Ncmsg
ne	ne	Qz
slaže	slagati	Vmr3s
sa	sa	Si
mišljenjem	mišljenje	Ncnsi
nominiranog	nominiran	Agpmsgy
liječnika	liječnik	Ncmsg
Poslodavca	poslodavac	Ncmsg
,	,	Z
Poslodavac	Poslodavac	Npmsn
i	i	Cc
Pomorac	pomorac	Ncmsn
će	htjeti	Var3s
nominirati	nominirati	Vmn
trećeg	treći	Mlomsg
liječnika	liječnik	Ncmpg
čije	čiji	Pi-nsn
će	htjeti	Var3s
mišljenje	mišljenje	Ncnsa
biti	biti	Van
konačno	konačan	Agpnsny
i	i	Cc
obvezujuće	obvezujuć	Agpnsny
za	za	Sa
obje	oba	Ncfpa
stranke	stranka	Ncfsg
.	.	Z

5.	5.	Mdo
Naknada	naknada	Ncfsn
za	za	Sa
bolovanje	bolovanje	Ncnsa
bit	biti	Van
će	htjeti	Var3s
isplaćena	isplatiti	Appfsny
Pomorcu	pomorac	Ncmsd
nakon	nakon	Cs
što	što	Cs
pravovremeno	pravovremeno	Rgp
,	,	Z
a	a	Cc
najkasnije	kasno	Rgs
do	do	Sg
obračuna	obračun	Ncmsg
plaće	plaća	Ncfsg
za	za	Sa
prethodni	prethodan	Agpmsayn
mjesec	mjesec	Ncmsan
,	,	Z
dostavi	dostaviti	Vmr3s
Poslodavcu	poslodavac	Ncmsd
pisanu	pisan	Agpfsay
ispravu	isprava	Ncfsa
izdanu	izdati	Appfsay
od	od	Sg
nadležnog	nadležan	Agpmsgy
liječnika	liječnik	Ncmsg
kojom	koji	Pi-fsi
se	sebe	Px--sa
potvrđuje	potvrđivati	Vmr3s
da	da	Cs
je	biti	Var3s
Pomorac	pomorac	Ncmsn
na	na	Sl
bolovanju	bolovanje	Ncnsl
odnosno	odnosno	Rgp
liječenju	liječenje	Ncnsl
.	.	Z

Materinstvo	materinstvo	Ncnsn

Članak	članak	Ncmsn
24.	24.	Mdo

U	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
Pomorac	Pomorac	Npmsn
zatrudni	zatrudnjeti	Vmr3s
tijekom	tijekom	Sg
trajanja	trajanje	Ncnsg
Ugovora	ugovor	Ncmsg
o	o	Sl
zaposlenju	zaposlenje	Ncnsl
:	:	Z

a	a	Cc
)	)	Z
Treba	trebati	Vmr3s
obavijestiti	obavijestiti	Vmn
Poslodavca	poslodavac	Ncmsay
čim	čim	Cs
je	biti	Var3s
trudnoća	trudnoća	Ncfsn
potvrđena	potvrditi	Appfsny
;	;	Z

b	b	Npmsn
)	)	Z
Poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
repatrirati	repatrirati	Vmn
Pomorca	pomorac	Ncmsay
čim	čim	Cs
je	biti	Var3s
razumno	razuman	Agpnsny
moguće	moguć	Agpnsny
,	,	Z
ali	ali	Cc
ni	ni	Qz
u	u	Sl
kom	koji	Pi-msl
slučaju	slučaj	Ncmsl
poslije	poslije	Rgp
26	26	Mdc
–	–	Z
tog	taj	Pd-msg
tjedna	tjedan	Ncmsg
trudnoće	trudnoća	Ncfsg
i	i	Cc
kada	kada	Rgp
priroda	priroda	Ncfsn
putovanja	putovanje	Ncnsg
Broda	brod	Ncmsg
može	moći	Vmr3s
biti	biti	Van
u	u	Sl
nekim	neki	Pi-fpl
okolnostima	okolnost	Ncfpl
rizična	rizičan	Agpfsny
–	–	Z
u	u	Sl
prvoj	prvi	Mlofsl
luci	luka	Ncfsl
ticanja	ticanje	Ncnsg
;	;	Z

c	C	Npmsn
)	)	Z
Pomorac	pomorac	Ncmsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
120	120	Mdc
dana	dan	Ncmpg
osnovne	osnovan	Agpfsgy
plaće	plaća	Ncfsg
;	;	Z

d	d	Npmsn
)	)	Z
Pomorac	pomorac	Ncmsn
će	htjeti	Var3s
imati	imati	Vmn
prednost	prednost	Ncfsa
u	u	Sl
ponovnom	ponovan	Agpnsly
zaposlenju	zaposlenje	Ncnsl
odnosno	odnosno	Rgp
zaključenju	zaključenje	Ncnsl
Ugovora	ugovor	Ncmsg
o	o	Sl
zaposlenju	zaposlenje	Ncnsl
s	sa	Si
Poslodavcem	poslodavac	Ncmsi
u	u	Sl
popunjavanju	popunjavanje	Ncnsl
slobodnog	slobodan	Agpnsgy
mjesta	mjesto	Ncnsg
u	u	Sl
istom	isti	Agpmsly
ili	ili	Cc
odgovarajućem	odgovarajući	Agpnsly
svojstvu	svojstvo	Ncnsl
unutar	unutar	Sg
3	3	Mdc
godine	godina	Ncfsg
nakon	nakon	Sg
rođenja	rođenje	Ncnsg
djeteta	dijete	Ncnsg
.	.	Z

Invaliditet	invaliditet	Ncmsn

Članak	članak	Ncmsn
25.	25.	Mdo

1.	1.	Mdo
Ako	ako	Cs
Pomorac	pomorac	Ncmsn
za	za	Sa
vrijeme	vrijeme	Ncnsa
trajanja	trajanje	Ncnsg
Ugovora	ugovor	Ncmsg
o	o	Sl
zaposlenju	zaposlenje	Ncnsl
kod	kod	Sg
Poslodavca	Poslodavc	Npmsg
,	,	Z
što	što	Pi3n-n
uključuje	uključivati	Vmr3s
i	i	Qo
putovanje	putovanje	Ncnsa
od	od	Sg
njegova	njegov	Ps3nsg
stalnog	stalan	Agpnsgy
prebivališta	prebivalište	Ncnsg
do	do	Sg
Broda	brod	Ncmsg
i	i	Cc
obrnuto	obrnuti	Rgp
,	,	Z
doživi	doživjeti	Vmr3s
nezgodu	nezgoda	Ncfsa
od	od	Sg
čijih	čiji	Pi-fpg
je	biti	Var3s
posljedica	posljedica	Ncfsn
nastupio	nastupiti	Vmp-sm
invaliditet	invaliditet	Ncmsan
u	u	Sl
određenom	određen	Agpmsly
stupnju	stupanj	Ncmsl
sukladno	sukladno	Rgp
Općem	opći	Agpmsly
dodatku	dodatak	Ncmsl
(	(	Z
3	3	Mdc
)	)	Z
,	,	Z
Poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
isplatiti	isplatiti	Vmn
Pomorcu	pomorac	Ncmsd
naknadu	naknada	Ncfsa
navedenu	navesti	Appfsay
u	u	Sl
Općem	opći	Agpmsly
dodatku	dodatak	Ncmsl
(	(	Z
2	2	Mdc
)	)	Z
ovog	ovaj	Pd-msg
Kolektivnog	kolektivan	Agpmsgy
ugovora	ugovor	Ncmsg
.	.	Z

Razlike	razlika	Ncfpn
između	između	Sg
postotka	postotak	Ncmsg
invaliditeta	invaliditet	Ncmsg
i	i	Cc
stupnja	stupanj	Ncmsg
u	u	Sl
Općem	opći	Agpmsly
dodatku	dodatak	Ncmsl
(	(	Z
2	2	Mdc
)	)	Z
,	,	Z
uključujući	uključivati	Rr
invaliditet	invaliditet	Ncmsan
manji	mali	Agcmsny
od	od	Sg
10	10	Mdc
%	%	Z
,	,	Z
obračunavaju	obračunavati	Vmr3p
se	sebe	Px--sa
pro	pro	Sg
rata	rat	Ncmsg
.	.	Z

2.	2.	Mdo
Poslodavac	poslodavac	Ncmsn
nije	biti	Var3s
dužan	dužan	Agpmsnn
isplatiti	isplatiti	Vmn
naknadu	naknada	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ako	ako	Cs
dokaže	dokazati	Vmr3s
da	da	Cs
je	biti	Var3s
:	:	Z

a	a	Cc
)	)	Z
Invaliditet	invaliditet	Ncmsan
nastao	nastati	Vmp-sm
zbog	zbog	Sg
namjernog	namjeran	Agpnsgy
samoozljeđivanja	samoozljeđivanje	Ncnsg
Pomorca	pomorac	Ncmsg
;	;	Z

b	b	Npfsn
)	)	Z
Nezgoda	nezgoda	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
prouzročila	prouzročiti	Vmp-sf
invaliditet	invaliditet	Ncmsan
prouzročena	prouzročiti	Appfsny
opijenošću	opijenost	Ncfsi
alkoholom	alkohol	Ncmsi
i	i	Cc
/	/	Z
ili	ili	Cc
drogama	droga	Ncfpi
;	;	Z

c	C	Npmsn
)	)	Z
Pomorac	pomorac	Ncmsn
onemogućio	onemogućiti	Vmp-sm
uzimanje	uzimanje	Ncnsa
dokaza	dokaz	Ncmpg
o	o	Sl
opijenosti	opijenost	Ncfsl
alkoholom	alkohol	Ncmsi
ili	ili	Cc
drogom	droga	Ncfsi
;	;	Z
i	i	Cc

d	d	Qr
)	)	Z
Invaliditet	invaliditet	Ncmsan
posljedica	posljedica	Ncfpg
bolesti	bolest	Ncfsg
o	o	Sl
čijem	čiji	Pi-nsl
je	biti	Var3s
postojanju	postojanje	Ncnsl
Pomorac	pomorac	Ncmsn
propustio	propustiti	Vmp-sm
izvijestiti	izvijestiti	Vmn
prigodom	prigoda	Ncfsi
liječničkog	liječnički	Agpmsgy
pregleda	pregled	Ncmsg
radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
sposobnosti	sposobnost	Ncfsg
za	za	Sa
ukrcanje	ukrcanje	Ncnsa
na	na	Sa
Brod	brod	Ncmsan
.	.	Z

3.	3.	Mdo
Stupanj	stupanj	Ncmsn
invaliditeta	invaliditet	Ncmsg
utvrđuje	utvrđivati	Vmr3s
liječnik	liječnik	Ncmsn
koga	tko	Pi3m-a
je	biti	Var3s
odredio	odrediti	Vmp-sm
Poslodavac	poslodavac	Ncmsn
.	.	Z

Ako	ako	Cs
se	sebe	Px--sa
liječnik	liječnik	Ncmsn
imenovan	imenovati	Appmsnn
od	od	Sg
ili	ili	Cc
u	u	Sa
ime	ime	Ncnsa
Pomorca	pomorac	Ncmsg
ne	ne	Qz
slaže	slagati	Vmr3s
s	sa	Si
nalazom	nalaz	Ncmsi
,	,	Z
tada	tada	Rgp
je	biti	Var3s
odluka	odluka	Ncfsn
trećeg	treći	Mlomsg
liječnika	liječnik	Ncmsg
koga	tko	Ncmsg
će	htjeti	Var3s
zajednički	zajednički	Agpmsny
nominirati	nominirati	Vmn
Poslodavac	Poslodavac	Npmsn
i	i	Cc
Pomorac	pomorac	Ncmsn
obvezujuća	obvezujuć	Agpfsny
za	za	Sa
obje	oba	Mls
strane	strana	Ncfsg
.	.	Z

4.	4.	Mdo
Pomorac	pomorac	Ncmsn
kome	koma	Ncfsg
je	biti	Var3s
liječničkim	liječnički	Agpnsiy
izvješćem	izvješće	Ncnsi
potvrđena	potvrditi	Appfsny
trajna	trajan	Agpfsny
nesposobnost	nesposobnost	Ncfsn
za	za	Sa
daljnji	daljnji	Agpmsayn
rad	rad	Ncmsan
u	u	Sl
bilo	bilo	Qo
kojem	koji	Pi-nsl
svojstvu	svojstvo	Ncnsl
na	na	Sl
Brodu	brod	Ncmsl
tj.	tj.	Y
gubitak	gubitak	Ncmsan
zanimanja	zanimanje	Ncnsg
ili	ili	Cc
struke	struka	Ncfsg
ima	imati	Vmr3s
pravo	pravo	Ncnsa
,	,	Z
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
stupanj	stupanj	Ncmsan
invaliditeta	invaliditet	Ncmsg
,	,	Z
na	na	Sa
100	100	Mdc
%	%	Z
–	–	Z
tnu	tan	Agpfsay
naknadu	naknada	Ncfsa
sukladno	sukladno	Rgp
tablici	tablica	Ncfsl
iz	iz	Sg
Općeg	opći	Agpmsgy
dodatka	dodatak	Ncmsg
(	(	Z
2	2	Mdc
)	)	Z
Kolektivnog	kolektivan	Agpmsgy
ugovora	ugovor	Ncmsg
.	.	Z

5.	5.	Mdo
U	u	Sl
smislu	smisao	Ncmsl
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
gubitak	gubitak	Ncmsan
zanimanja	zanimanje	Ncnsg
ili	ili	Cc
struke	struka	Ncfsg
znači	značiti	Vmr3s
fizičko	fizički	Agpnsny
stanje	stanje	Ncnsn
koje	koji	Pi-nsn
Pomorcu	Pomorcu	Npmsn
onemogućava	onemogućavati	Vmr3s
da	da	Cs
se	sebe	Px--sa
vrati	vratiti	Vmr3s
u	u	Sa
službu	služba	Ncfsa
na	na	Sl
Brodu	brod	Ncmsl
,	,	Z
prema	prema	Sl
hrvatskim	hrvatski	Agpmply
i	i	Cc
međunarodnim	međunarodni	Agpmply
standardima	standard	Ncmpl
,	,	Z
i	i	Cc
/	/	Z
ili	ili	Cc
stanje	stanje	Ncnsn
u	u	Sl
kojem	koji	Pi-nsl
je	biti	Var3s
i	i	Qo
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
jasno	jasan	Agpnsny
da	da	Cs
se	sebe	Px--sa
Pomorac	pomorac	Ncmsn
ni	ni	Qo
u	u	Sl
budućnosti	budućnost	Ncfsl
neće	htjeti	Var3p
moći	moći	Vmn
vratiti	vratiti	Vmn
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
posao	posao	Ncmsan
,	,	Z
tj.	tj.	Y
službu	služba	Ncfsa
na	na	Sl
Brodu	brod	Ncmsl
.	.	Z

6.	6.	Mdo
Poslodavac	poslodavac	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
naknadu	naknada	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
isplatiti	isplatiti	Vmn
čim	čim	Cs
Pomorac	pomorac	Ncmsn
podnese	podnijeti	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
takvu	takav	Pd-fsa
isplatu	isplata	Ncfsa
i	i	Cc
nakon	nakon	Cs
što	što	Cs
prikupi	prikupiti	Vmr3s
sve	sav	Agpfpay
isprave	isprava	Ncfpa
kojima	koji	Pi-fpi
potvrđuje	potvrđivati	Vmr3s
da	da	Cs
su	biti	Var3p
se	sebe	Px--sa
stekli	steći	Vmp-pm
uvjeti	uvjet	Ncmpn
za	za	Sa
isplatu	isplata	Ncfsa
