davanje	davanje	Ncnsn
informacija	informacija	Ncfpg
o	o	Sl
zdravstvenom	zdravstven	Agpnsly
stanju	stanje	Ncnsl
bolesnika	bolesnik	Ncmpg
,	,	Z

4.3.	4.3.	Mds
prostorija	prostorija	Ncfpg
za	za	Sa
smještaj	smještaj	Ncmsan
pokojnika	pokojnik	Ncmpg
,	,	Z

4.4.	4.4.	Mds
prostorija	prostorija	Ncfpg
za	za	Sa
odmor	odmor	Ncmsan
radnika	radnik	Ncmpg
s	sa	Si
čajnom	čajni	Agpfsiy
kuhinjom	kuhinja	Ncfsi
,	,	Z

4.5.	4.5.	Mdo
garderoba	garderoba	Ncfsn
za	za	Sa
radnike	radnik	Ncmpa
,	,	Z

4.6.	4.6.	Mds
prostorija	prostorija	Ncfpg
za	za	Sa
voditelja	voditelj	Ncmsay
,	,	Z

4.7.	4.7.	Mds
prostorija	prostorija	Ncfpg
za	za	Sa
glavnu	glavni	Agpfsay
sestru	sestra	Ncfsa
,	,	Z

4.8.	4.8.	Mdo
sanitarni	sanitaran	Agpmpny
čvorovi	čvor	Ncmpn
za	za	Sa
pacijente	pacijent	Ncmpa
,	,	Z

4.9.	4.9.	Mdo
sanitarni	sanitaran	Agpmpny
čvorovi	čvor	Ncmpn
za	za	Sa
radnike	radnik	Ncmpa
.	.	Z

5.	5.	Mdo
Komunikacijska	komunikacijski	Agpfsny
potpora	potpora	Ncfsn
OHBP-a	OHBP	Npmsg

Telefonski	telefonski	Agpmpny
uređaji	uređaj	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
dostupni	dostupan	Agpmpny
radnicima	radnik	Ncmpi
na	na	Sl
svim	sav	Agpfply
radnim	radni	Agpfply
površinama	površina	Ncfpl
.	.	Z

Potrebno	potreban	Agpnsny
je	biti	Var3s
osigurati	osigurati	Vmn
odgovarajući	odgovarajući	Agpmsayn
oblik	oblik	Ncmsan
komunikacije	komunikacija	Ncfsg
između	između	Sg
OHBP-a	OHBP	Npmsg
i	i	Cc
ostalih	ostali	Agpfpgy
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
bolničke	bolnički	Agpfsgy
zdravstvene	zdravstven	Agpfsgy
ustanove	ustanova	Ncfsg
te	te	Cc
