Novorođenčad	novorođenče	Ncnpn
do	do	Sg
1	1	Mdc
tjedna	tjedan	Ncmsg
starosti	starost	Ncfsg
16	16	Mdc
mg	mg	Ncfpg
Odgovarajuća	odgovarajući	Agpfsny
doza	doza	Ncfsn
peroralne	peroralni	Agpfsgy
otopine	otopina	Ncfsg
*	*	Z
Dojenčad	dojenče	Ncnpn
do	do	Sg
1	1	Mdc
mjeseca	mjesec	Ncmsg
starosti	starost	Ncfsg
16	16	Mdc
mg	mg	Ncfpg
Odgovarajuća	odgovarajući	Agpfsny
doza	doza	Ncfsn
peroralne	peroralni	Agpfsgy
otopine	otopina	Ncfsg
*	*	Z
Djeca	dijete	Ncnpn
između	između	Sg
1	1	Mdc
mjeseca	mjesec	Ncmsg
i	i	Cc
3	3	Mdc
godine	godina	Ncfsg
starosti	starost	Ncfsg
32	32	Mdc
mg	mg	Agpfsgy
1/2	1/2	Mdc
tablete	tableta	Ncfsg
od	od	Sg
65	65	Mdc
mg	mg	Agpmsgy
kalijeva	kalijev	Agpmsgn
jodida	jodid	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
1/4	1/4	Mdc
tablete	tableta	Ncfpa
od	od	Sg
130	130	Mdc
mg	mg	Agpmsgy
kalijeva	kalijev	Agpmsgn
jodida	jodid	Ncmsg
(	(	Z
po	po	Sl
potrebi	potreba	Ncfsl
rastopljeno	rastopiti	Appnsny
)	)	Z
Djeca	dijete	Ncnpn
između	između	Sg
3	3	Mdc
godine	godina	Ncfsg
i	i	Cc
12	12	Mdc
godina	godina	Ncfpg
starosti	starost	Ncfsg
65	65	Mdc
mg	mg	Ncmpg
1	1	Mdc
tableta	tableta	Ncfpg
od	od	Sg
65	65	Mdc
mg	mg	Agpmsgy
kalijeva	kalijev	Agpmsgn
jodida	jodid	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
½	½	Z
tablete	tableta	Ncfpa
od	od	Sg
130	130	Mdc
mg	mg	Agpmsgy
kalijeva	kalijev	Agpmsgn
jodida	jodid	Ncmsg
Adolescenti	adolescent	Ncmpn
između	između	Sg
12	12	Mdc
i	i	Cc
18	18	Mdc
godina	godina	Ncfpg
starosti	starost	Ncfsg
130	130	Mdc
mg	mg	Y
**	**	Z
2	2	Mdc
tablete	tableta	Ncfsg
od	od	Sg
65	65	Mdc
mg	mg	Agpmsgy
kalijeva	kalijev	Agpmsgn
jodida	jodid	Ncmsg
ili	ili	Cc
jedna	jedan	Mlcfsn
tableta	tableta	Ncfsn
od	od	Sg
130	130	Mdc
mg	mg	Agpmsgy
kalijeva	kalijev	Agpmsgn
jodida	jodid	Ncmsg
Odrasli	odrastao	Agpmpny
između	između	Sg
18	18	Mdc
i	i	Cc
40	40	Mdc
godina	godina	Ncfpg
starosti	starost	Ncfsg
130	130	Mdc
mg	mg	Agpfsgy
2	2	Mdc
tablete	tableta	Ncfsg
od	od	Sg
65	65	Mdc
mg	mg	Agpmsgy
kalijeva	kalijev	Agpmsgn
jodida	jodid	Ncmsg
ili	ili	Cc
jedna	jedan	Mlcfsn
tableta	tableta	Ncfsn
od	od	Sg
130	130	Mdc
mg	mg	Agpmsgy
kalijeva	kalijev	Agpmsgn
jodida	jodid	Ncmsg
Trudnice	trudnica	Ncfsg
i	i	Cc
dojilje	dojilja	Ncfsg
do	do	Sg
40	40	Mdc
godina	godina	Ncfpg
starosti	starost	Ncfsg
130	130	Mdc
mg	mg	Y
***	***	Z
2	2	Mdc
tablete	tableta	Ncfsg
od	od	Sg
65	65	Mdc
mg	mg	Agpmsgy
kalijeva	kalijev	Agpmsgn
jodida	jodid	Ncmsg
ili	ili	Cc
jedna	jedan	Mlcfsn
tableta	tableta	Ncfsn
od	od	Sg
130	130	Mdc
mg	mg	Agpmsgy
kalijeva	kalijev	Agpmsgn
jodida	jodid	Ncmsg

*	*	Npmsn
Može	moći	Vmr3s
se	sebe	Px--sa
primijeniti	primijeniti	Vmn
gotova	gotov	Agpfsny
peroralna	peroralni	Agpfsny
otopina	otopina	Ncfsn
kalijeva	kalijev	Agpmsgn
jodida	jodid	Ncmsg
,	,	Z
ili	ili	Cc
se	sebe	Px--sa
odgovarajuća	odgovarajući	Agpfsny
doza	doza	Ncfsn
(	(	Z
¼	¼	Z
tablete	tableta	Ncfpa
od	od	Sg
65	65	Mdc
mg	mg	Agpmsgy
kalijeva	kalijev	Agpmsgn
jodida	jodid	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
1/8	1/8	Mdc
tablete	tableta	Ncfpa
od	od	Sg
130	130	Mdc
mg	mg	Agpmsgy
kalijeva	kalijev	Agpmsgn
jodida	jodid	Ncmsg
)	)	Z
zdrobi	zdrobiti	Vmr3s
i	i	Cc
rastopi	rastopiti	Vmr3s
u	u	Sl
vodi	voda	Ncfsl
,	,	Z
voćnom	voćni	Agpmsly
soku	sok	Ncmsl
,	,	Z
mlijeku	mlijeko	Ncnsl
ili	ili	Cc
se	sebe	Px--sa
pomiješa	pomiješati	Vmr3s
s	sa	Si
pekmezom	pekmez	Ncmsi
ili	ili	Cc
džemom	džem	Ncmsi
.	.	Z

**	*i	Agpnsny
Za	za	Sa
adolescente	adolescent	Ncmpa
tjelesne	tjelesni	Agpfsgy
težine	težina	Ncfsg
70	70	Mdc
kg	kg	Ncfpg
i	i	Cc
više	mnogo	Rgc
(	(	Z
prosječna	prosječan	Agpfsny
težina	težina	Ncfsn
odraslog	odrastao	Agpmsgy
čovjeka	čovjek	Ncmsg
)	)	Z
preporuča	preporučati	Vmr3s
se	sebe	Px--sa
primjena	primjena	Ncfsn
doze	doza	Ncfsg
za	za	Sa
odrasle	odrastao	Agpmpay
.	.	Z

Za	za	Sa
adolescente	adolescent	Ncmpa
znatno	znatno	Rgp
lakše	lako	Rgc
od	od	Sg
70	70	Mdc
kg	kg	Ncmpg
preporuča	preporučati	Vmr3s
se	sebe	Px--sa
primjena	primjena	Ncfsn
doze	doza	Ncfsg
za	za	Sa
djecu	dijete	Ncnpa
.	.	Z

***	***	Ncfsn
Preporučena	preporučiti	Appfsny
doza	doza	Ncfsn
za	za	Sa
trudnice	trudnica	Ncfpa
ujedno	ujedno	Rgp
štiti	štititi	Vmr3s
i	i	Qo
plod	plod	Ncmsan
.	.	Z

Trudnicama	trudnica	Ncfpi
i	i	Cc
dojiljama	dojilja	Ncfpl
ne	ne	Qz
preporuča	preporučati	Vmr3s
se	sebe	Px--sa
uzimanje	uzimanje	Ncnsn
više	mnogo	Rgc
od	od	Sg
jedne	jedan	Mlcfsg
dnevne	dnevni	Agpfsgy
doze	doza	Ncfsg
zbog	zbog	Sg
posljedično	posljedično	Rgp
mogućih	moguć	Agpmpgy
poremećaja	poremećaj	Ncmpg
funkcioniranja	funkcioniranje	Ncnsg
štitnjače	štitnjača	Ncfsg
ploda	plod	Ncmsg
ili	ili	Cc
dojenčeta	dojenče	Ncnsg
.	.	Z

VII	vii	Mrc
.	.	Z

ODGOVORNE	odgovoran	Agpfpny
OSOBE	osoba	Ncfpn
I	i	Cc
NOSITELJI	nositelj	Ncmpn
PROVEDBE	provedba	Ncfsg
SOP-a	SOP	Npmsg

Glavni	glavni	Agpmpny
nositelji	nositelj	Ncmpn
zadataka	zadatak	Ncmpg
u	u	Sl
području	područje	Ncnsl
podjele	podjela	Ncfsg
pripravaka	pripravak	Ncmpg
kalijeva	kalijev	Agpmsgn
jodida	jodid	Ncmsg
su	biti	Var3p
:	:	Z

•	•	Agpmsny
Savjetnik	savjetnik	Ncmsn
ministra	ministar	Ncmsg
zdravlja	zdravlje	Ncnsg
za	za	Sa
krizne	krizan	Agpmpay
