uplaćuje	uplaćivati	Vmr3s
se	sebe	Px--sa
u	u	Sa
korist	korist	Ncfsa
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
zaključno	zaključno	Rgp
petnaestoga	petnaesti	Mlomsg
dana	dan	Ncmsg
u	u	Sl
tekućem	tekući	Agpmsly
mjesecu	mjesec	Ncmsl
za	za	Sa
prethodni	prethodan	Agpmsayn
mjesec	mjesec	Ncmsan
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Osnovica	osnovica	Ncfsn
za	za	Sa
obračun	obračun	Ncmsan
poreza	porez	Ncmsg
na	na	Sa
novčane	novčan	Agpmpay
dobitke	dobitak	Ncmpa
jest	biti	Var3s
novčani	novčan	Agpmsny
iznos	iznos	Ncmsn
pojedinačnog	pojedinačan	Agpmsgy
dobitka	dobitak	Ncmsg
koji	koji	Pi-msn
predstavlja	predstavljati	Vmr3s
razliku	razlika	Ncfsa
između	između	Sg
ostvarenog	ostvariti	Agpmsgy
dobitka	dobitak	Ncmsg
i	i	Cc
iznosa	iznos	Ncmsg
uplaćenog	uplatiti	Appmsgy
za	za	Sa
igru	igra	Ncfsa
po	po	Sl
pojedinoj	pojedini	Agpfsly
potvrdi	potvrda	Ncfsl
o	o	Sl
uplati	uplata	Ncfsl
(	(	Z
listiću	listić	Ncmsl
)	)	Z
.	.	Z

Osnovica	osnovica	Ncfsn
za	za	Sa
obračun	obračun	Ncmsan
poreza	porez	Ncmsg
na	na	Sa
dobitke	dobitak	Ncmpa
onih	onaj	Pd-mpg
dobitaka	dobitak	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
sastoje	sastojati	Vmr3p
od	od	Sg
stvari	stvar	Ncfpg
,	,	Z
usluga	usluga	Ncfpg
ili	ili	Cc
prava	prav	Agpfsny
jest	biti	Var3s
tržišna	tržišni	Agpfsny
vrijednost	vrijednost	Ncfsn
stvari	stvar	Ncfpg
,	,	Z
usluga	usluga	Ncfpg
ili	ili	Cc
prava	pravo	Ncnpg
koje	koji	Pi-nsa
čine	činiti	Vmr3p
pojedinačni	pojedinačan	Agpmsayn
dobitak	dobitak	Ncmsan
a	a	Cc
predstavlja	predstavljati	Vmr3s
razliku	razlika	Ncfsa
između	između	Sg
tržišne	tržišni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
i	i	Cc
iznosa	iznos	Ncmsg
uplaćenog	uplatiti	Appmsgy
za	za	Sa
igru	igra	Ncfsa
po	po	Sl
pojedinoj	pojedini	Agpfsly
potvrdi	potvrda	Ncfsl
o	o	Sl
uplati	uplata	Ncfsl
(	(	Z
listiću	listić	Ncmsl
)	)	Z
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Priređivač	priređivač	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
Ministarstvu	ministarstvo	Ncnsd
financija	financije	Ncfpg
obrazac	obrazac	Ncmsan
Konačno	konačno	Rgp
mjesečno	mjesečan	Agpnsny
izvješće	izvješće	Ncnsn
o	o	Sl
obračunanom	obračunati	Agpmsly
porezu	porez	Ncmsl
na	na	Sa
dobitke	dobitak	Ncmpa
od	od	Sg
lutrijskih	lutrijski	Agpfpgy
igara	igra	Ncfpg
na	na	Sa
sreću	sreća	Ncfsa
(	(	Z
obrazac	obrazac	Ncmsan
br.	br.	Y
18	18	Mdc
PD-LI	pd-i	Agpmsgy
)	)	Z
najkasnije	kasno	Rgs
do	do	Sg
dvadesetoga	dvadeseti	Mlomsg
dana	dan	Ncmpg
u	u	Sl
mjesecu	mjesec	Ncmsl
za	za	Sa
prethodni	prethodan	Agpmsayn
mjesec	mjesec	Ncmsan
elektroničkim	elektronički	Agpmsiy
putem	put	Ncmsi
,	,	Z
korištenjem	korištenje	Ncnsi
sustava	sustav	Ncmsg
elektroničkog	elektronički	Agpmsgy
servisa	servis	Ncmsg
Porezne	porezni	Agpfsgy
uprave	uprava	Ncfsg
ePorezna	ePorezn	Npmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
Konačno	konačno	Rgp
mjesečno	mjesečan	Agpnsny
izvješće	izvješće	Ncnsn
o	o	Sl
obračunanom	obračunati	Agpmsly
porezu	porez	Ncmsl
na	na	Sa
dobitke	dobitak	Ncmpa
od	od	Sg
