javnog	javan	Agpmsgy
sektora	sektor	Ncmsg
iz	iz	Sg
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
;	;	Z

–	–	Z
briše	brisati	Vmr3s
se	sebe	Px--sa
osnovni	osnovan	Agpmsny
račun	račun	Ncmsn
63611	63611	Mdc
Tekuće	tekući	Agpfsgy
pomoći	pomoć	Ncfsg
proračunskim	proračunski	Agpmpdy
korisnicima	korisnik	Ncmpd
iz	iz	Sg
proračuna	proračun	Ncmsg
koji	koji	Pi-msn
im	oni	Pp3-pd
nije	biti	Var3s
nadležan	nadležan	Agpmsnn
;	;	Z

–	a	Ncfpn
dodaju	dodati	Vmr3p
se	sebe	Px--sa
osnovni	osnovan	Agpmpny
računi	račun	Ncmpn
63612	63612	Mdc
Tekuće	tekući	Agpfsgy
pomoći	pomoć	Ncfsg
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
proračunskim	proračunski	Agpmpdy
korisnicima	korisnik	Ncmpd
proračuna	proračun	Ncmsg
JLP	JLP	Npmsn
(	(	Z
R	R	Pq3n-n
)	)	Z
S	sa	Si
i	i	Cc
63613	63613	Mdc
Tekuće	tekući	Agpfsgy
pomoći	pomoć	Ncfsg
proračunskim	proračunski	Agpmpdy
korisnicima	korisnik	Ncmpd
iz	iz	Sg
proračuna	proračun	Ncmsg
JLP	JLP	Npmsn
(	(	Z
R	R	Pq3n-n
)	)	Z
S	sa	Si
koji	koji	Pi-msn
im	oni	Pp3-pd
nije	biti	Var3s
nadležan	nadležan	Agpmsnn
;	;	Z

–	–	Z
briše	brisati	Vmr3s
se	sebe	Px--sa
osnovni	osnovan	Agpmsny
račun	račun	Ncmsn
63621	63621	Mdc
Kapitalne	kapitalan	Agpfsgy
pomoći	pomoć	Ncfsg
proračunskim	proračunski	Agpmpdy
korisnicima	korisnik	Ncmpd
iz	iz	Sg
proračuna	proračun	Ncmsg
koji	koji	Pi-msn
im	oni	Pp3-pd
nije	biti	Var3s
nadležan	nadležan	Agpmsnn
;	;	Z

–	a	Ncfpn
dodaju	dodati	Vmr3p
se	sebe	Px--sa
osnovni	osnovan	Agpmpny
računi	račun	Ncmpn
63622	63622	Mdc
Kapitalne	kapitalan	Agpfsgy
pomoći	pomoć	Ncfsg
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
proračunskim	proračunski	Agpmpdy
korisnicima	korisnik	Ncmpd
proračuna	proračun	Ncmsg
JLP	JLP	Npmsn
(	(	Z
R	R	Pq3n-n
)	)	Z
S	sa	Si
i	i	Cc
63623	63623	Mdc
Kapitalne	kapitalan	Agpfsgy
pomoći	pomoć	Ncfsg
proračunskim	proračunski	Agpmpdy
korisnicima	korisnik	Ncmpd
iz	iz	Sg
proračuna	proračun	Ncmsg
JLP	JLP	Npmsn
(	(	Z
R	R	Pq3n-n
)	)	Z
S	sa	Si
koji	koji	Pi-msn
im	oni	Pp3-pd
nije	biti	Var3s
nadležan	nadležan	Agpmsnn
;	;	Z

–	–	Z
iz	iz	Sg
naziva	naziv	Ncmsg
podskupine	podskupina	Ncfsg
638	638	Mdc
i	i	Cc
odjeljaka	odjeljak	Ncmpg
6381	6381	Mdc
i	i	Cc
6382	6382	Mdc
brišu	brisati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
»	»	Z
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
«	«	Z
;	;	Z

–	a	Ncfpn
dodaju	dodati	Vmr3p
se	sebe	Px--sa
osnovni	osnovan	Agpmpny
računi	račun	Ncmpn
63812	63812	Mdc
Tekuće	tekući	Agpfsgy
