dostatno	dostatan	Agpnsny
utvrditi	utvrditi	Vmn
da	da	Cs
je	biti	Var3s
dio	dio	Ncmsn
članka	članak	Ncmsg
14.	14.	Mdo

ZID-a	ZID	Npmsg
ZIZHS-a	ZIZHS	Npmsg
/	/	Z
2015	2015	Mdc
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
članak	članak	Ncmsan
21.	21.	Mdo
a	a	Cc
stavak	stavak	Ncmsn
1.	1.	Mdo
i	i	Cc
prvu	prvi	Mlofsa
rečenicu	rečenica	Ncfsa
stavka	stavak	Ncmsg
2.	2.	Mdo
ZIZHS-a	ZIZHS-a	Sa
suglasan	suglasan	Agpmsann
s	sa	Si
Ustavom	ustav	Ncmsi
.	.	Z

Te	taj	Pd-fpn
odredbe	odredba	Ncfpn
glase	glasiti	Vmr3p
:	:	Z

‘	‘	Agpmsny
Članak	članak	Ncmsn
21.	21.	Mdo
a	a	Cc

Prilikom	prilikom	Sg
utvrđivanja	utvrđivanje	Ncnsg
i	i	Cc
predlaganja	predlaganje	Ncnsg
stranačkih	stranački	Agpfpgy
lista	lista	Ncfpg
i	i	Cc
neovisnih	neovisan	Agpfpgy
lista	lista	Ncfpg
za	za	Sa
izbor	izbor	Ncmsan
zastupnika	zastupnik	Ncmpg
u	u	Sa
Sabor	sabor	Ncmsan
predlagatelji	predlagatelj	Ncmpn
lista	list	Ncmsg
dužni	dužan	Agpmpny
su	biti	Var3p
poštovati	poštovati	Vmn
načelo	načelo	Ncnsa
ravnopravnosti	ravnopravnost	Ncfsg
spolova	spol	Ncmpg
i	i	Cc
voditi	voditi	Vmn
računa	račun	Ncmsg
o	o	Sl
uravnoteženoj	uravnotežen	Agpfsly
zastupljenosti	zastupljenost	Ncfsl
žena	žena	Ncfpg
i	i	Cc
muškaraca	muškarac	Ncmpg
na	na	Sl
listama	lista	Ncfpl
.	.	Z

Lista	lista	Ncfsn
za	za	Sa
izbor	izbor	Ncmsan
zastupnika	zastupnik	Ncmpg
u	u	Sl
skladu	sklad	Ncmsl
je	biti	Var3s
s	sa	Si
načelima	načelo	Ncnpi
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ako	ako	Cs
je	biti	Var3s
na	na	Sl
listi	lista	Ncfsl
najmanje	malo	Rgs
40	40	Mdc
%	%	Z
pripadnika	pripadnik	Ncmpg
svakog	svaki	Pi-msg
spola	spol	Ncmsg
.	.	Z
...	...	Z
’	’	Z
«	«	Z

Navedene	naveden	Agpfpny
odredbe	odredba	Ncfpn
postavljaju	postavljati	Vmr3p
jasna	jasan	Agpnpny
pravila	pravilo	Ncnpn
kad	kad	Cs
je	biti	Var3s
riječ	riječ	Ncfsn
o	o	Sl
obvezama	obveza	Ncfpl
predlagatelja	predlagatelj	Ncmpg
kandidacijskih	kandidacijski	Agpfpgy
lista	lista	Ncfpg
na	na	Sl
izborima	izbor	Ncmpl
zastupnika	zastupnik	Ncmpg
u	u	Sa
Hrvatski	hrvatski	Agpmsayn
sabor	sabor	Ncmsan
.	.	Z

One	oni	Pp3fpn
propisuju	propisivati	Vmr3p
da	da	Cs
su	biti	Var3p
predlagatelji	predlagatelj	Ncmpn
kandidacijskih	kandidacijski	Agpfpgy
lista	lista	Ncfpg
dužni	dužan	Agpmpny
prilikom	prilikom	Sg
njihova	njihov	Ps3nsg
utvrđivanja	utvrđivanje	Ncnsg
i	i	Cc
predlaganja	predlaganje	Ncnsg
voditi	voditi	Vmn
računa	račun	Ncmsg
da	da	Cs
na	na	Sl
svakoj	svaki	Pi-fsl
listi	lista	Ncfsl
bude	biti	Var3s
najmanje	malo	Rgs
40	40	Mdc
%	%	Z
pripadnika	pripadnik	Ncmpg
svakog	svaki	Pi-msg
spola	spol	Ncmsg
,	,	Z
neovisno	neovisno	Rgp
o	o	Sl
tome	taj	Pd-nsl
kakvim	kakav	Pi-msi
će	htjeti	Var3s
to	taj	Pd-nsn
omjerom	omjer	Ncmsi
između	između	Sg
žena	žena	Ncfpg
i	i	Cc
muškaraca	muškarac	Ncmpg
rezultirati	rezultirati	Vmn
u	u	Sl
strukturi	struktura	Ncfsl
samog	sam	Agpmsgy
Hrvatskog	hrvatski	Agpmsgy
sabora	sabor	Ncmsg
(	(	Z
što	što	Pi3n-n
se	sebe	Px--sa
ima	imati	Vmr3s
smatrati	smatrati	Vmn
posebnim	poseban	Agpnsiy
pravilom	pravilo	Ncnsi
u	u	Sl
odnosu	odnos	Ncmsl
prema	prema	Sl
onom	onaj	Agpmsly
općem	opći	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
postavio	postaviti	Vmp-sm
ZoRavSpol	zoravspol	Ncmsan
–	–	Z
v.	v.	Sa
točku	točka	Ncfsa
117.	117.	Mdo
)	)	Z
.	.	Z

121.	121.	Mdo

S	sa	Sg
druge	drugi	Mlofsg
strane	strana	Ncfsg
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
ne	ne	Qz
može	moći	Vmr3s
ocijeniti	ocijeniti	Vmn
suglasnim	suglasan	Agpmpdy
sa	sa	Si
zahtjevima	zahtjev	Ncmpi
koji	koji	Pi-mpn
za	za	Sa
zakone	zakon	Ncmpa
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
vladavine	vladavina	Ncfsg
prava	pravo	Ncnsg
(	(	Z
članak	članak	Ncmsn
3.	3.	Mdo
Ustava	ustav	Ncmsg
)	)	Z
,	,	Z
kao	kao	Cs
i	i	Qo
sa	sa	Si
zahtjevom	zahtjev	Ncmsi
za	za	Si
razmjernošću	razmjernost	Ncfsi
ograničenja	ograničenje	Ncnsg
kad	kad	Cs
je	biti	Var3s
riječ	riječ	Ncfsn
o	o	Sl
slobodi	sloboda	Ncfsl
kandidiranja	kandidiranje	Ncnsg
(	(	Z
članak	članak	Ncmsn
16.	16.	Mdo

