istovjetan	istovjetan	Agpmsnn
podatku	podatak	Ncmsd
u	u	Sl
tiskanici	tiskanica	Ncfsl
M-1P	m-	Agpmply
/	/	Z
obrazac	obrazac	Ncmsan
e		Npmsg
M-1P	M-1	Npmsg
,	,	Z
pod	pod	Sa
red	red	Ncmsan
.	.	Z
br.	br.	Y
8	8	Mdc
(	(	Z
datum	datum	Ncmsn
stjecanja	stjecanje	Ncnsg
svojstva	svojstvo	Ncnsg
osiguranika	osiguranik	Ncmpg
)	)	Z
prethodno	prethodno	Rgp
uspostavljenoj	uspostaviti	Appfsly
za	za	Sa
osiguranika	osiguranik	Ncmsay
koji	koji	Pi-msn
nije	biti	Var3s
započeo	započeti	Vmp-sm
raditi	raditi	Vmn
na	na	Sa
taj	taj	Pd-msan
datum	datum	Ncmsan
–	–	Z
obilježje	obilježje	Ncnsn
pod	pod	Si
br.	br.	Y
8.	8.	Mdo
(	(	Z
razloga	razlog	Ncmsg
prestanka	prestanak	Ncmsg
svojstva	svojstvo	Ncnsg
osiguranika	osiguranik	Ncmpg
)	)	Z
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
u	u	Sa
prostor	prostor	Ncmsan
za	za	Sa
odgovor	odgovor	Ncmsan
upiše	upisati	Vmr3s
tekst	tekst	Ncmsan
:	:	Z
»	»	Z
čl.	čl.	Y
112.	112.	Mdo
st.	st.	Y
2.	2.	Mdo
ZOMO	ZOMO	Npmsan
«	«	Z
.	.	Z
poslodavac	poslodavac	Ncmsn
pravna	pravni	Agpfsny
ili	ili	Cc
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
12.	12.	Mdo
–	–	Z
članak	članak	Ncmsn
9.	9.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
točka	točka	Ncfsn
1.	1.	Mdo
do	do	Sg
7.	7.	Mdo
i	i	Cc
stavak	stavak	Ncmsan
4.	4.	Mdo
–	–	Z
članak	članak	Ncmsn
10.	10.	Mdo
do	do	Sg
13.	13.	Mdo
osobe	osoba	Ncfsg
s	sa	Si
invaliditetom	invaliditet	Ncmsi
–	–	Z
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
prof.	prof.	Y
reh	re	Ncmsl
.	.	Z
i	i	Cc
zapošljavanja	zapošljavanje	Ncnsg
osoba	osoba	Ncfpg
s	sa	Si
invaliditetom	invaliditet	Ncmsi
i	i	Cc
članka	članak	Ncmsg
4.	4.	Mdo
Pravilnika	pravilnik	Ncmsg
o	o	Sl
sadržaju	sadržaj	Ncmsl
i	i	Cc
načinu	način	Ncmsl
vođenja	vođenje	Ncnsg
očevidnika	očevidnik	Ncmsg
zaposl	zapos	Ncmsg
.	.	Z
osoba	osoba	Ncfsn
s	sa	Si
invaliditetom	invaliditet	Ncmsi
uz	uz	Sa
prijavu	prijava	Ncfsa
o	o	Sl
početku	početak	Ncmsl
osiguranja	osiguranje	Ncnsg
(	(	Z
tiskanica	tiskanica	Ncfsn
M-1P	m-1a	Ncfsg
)	)	Z
ili	ili	Cc
prijavu	prijava	Ncfsa
o	o	Sl
promjeni	promjena	Ncfsl
tijekom	tijekom	Sg
osiguranja	osiguranje	Ncnsg
(	(	Z
tiskanica	tiskanica	Ncfsn
M-3P	m-3a	Ncfsg
)	)	Z
potrebno	potreban	Agpnsny
je	biti	Var3s
priložiti	priložiti	Vmn
odgovarajući	odgovarajući	Agpmsayn
akt	akt	Ncmsan
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
poslodavac	poslodavac	Ncmsn
pravna	pravni	Agpfsny
ili	ili	Cc
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
ili	ili	Cc
samozaposlena	samozaposlen	Agpfsny
osoba	osoba	Ncfsn

Članak	članak	Ncmsn
4.	4.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
041	041	Mdc
-	-	Z
01/15	01/15	Mdc
-	-	Z
02/1	02/1	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
341	341	Mdc
-	-	Z
99	99	Mdc
-	-	Z
01/01	01/01	Mdc
-	-	Z
15	15	Mdc
-	-	Z
4	4	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
17.	17.	Mdo
veljače	veljača	Ncfsg
2015.	2015.	Mdo

Predsjednica	predsjednica	Ncfsn
Upravnog	upravan	Agpnsgy
vijeća	vijeće	Ncnsg
Mirjana	Mirjana	Npfsn
Rađenović	Rađenović	Npfsn
,	,	Z
v.	v.	Y
r.	r.	Y

