alate	alat	Ncmpa
:	:	Z

–	–	Z
plivarica	plivarica	Ncfsn
za	za	Sa
malu	mali	Agpfsay
plavu	plav	Agpfsay
ribu	riba	Ncfsa
–	–	Z
srdelara	srdelar	Ncmpg

–	i	Agpfsny
plivarica	plivarica	Ncfsn
ciplarica	ciplarica	Ncfpg

–	i	Agpfsny
plivarica	plivarica	Ncfsn
igličara	igličar	Ncmpg

–	i	Agpfsny
plivarica	plivarica	Ncfsn
oližnica	oližnica	Ncfpg

–	i	Agpfsny
plivarica	plivarica	Ncfsn
palamidara	palamidara	Ncfpg

Ciljano	ciljati	Agpnsny
smanjenje	smanjenje	Ncnsn
uključuje	uključivati	Vmr3s
maksimalno	maksimalan	Agpnsay
smanjenje	smanjenje	Ncnsa
po	po	Sl
segmentima	segment	Ncmpl
kako	kako	Cs
je	biti	Var3s
navedeno	navesti	Appnsny
u	u	Sl
tablici	tablica	Ncfsl
u	u	Sl
ovome	ovaj	Pd-msl
prilogu	prilog	Ncmsl
,	,	Z
s	sa	Si
tim	taj	Pd-nsi
da	da	Cs
se	sebe	Px--sa
prvenstveno	prvenstveno	Rgp
uzima	uzimati	Vmr3s
u	u	Sa
obzir	obzir	Ncmsan
smanjenje	smanjenje	Ncnsa
GT-a	GT	Npmsg
po	po	Sl
segmentima	segment	Ncmpl
.	.	Z

Maksimalno	maksimalan	Agpnsny
smanjenje	smanjenje	Ncnsn
može	moći	Vmr3s
biti	biti	Van
i	i	Qo
veće	velik	Agcfpny
isključivo	isključivo	Rgp
u	u	Sl
slučajevima	slučaj	Ncmpl
kada	kada	Cs
plovilo	plovilo	Ncnsn
nakon	nakon	Sg
formiranja	formiranje	Ncnsg
Rang	rang	Ncmsn
liste	lista	Ncfsg
sa	sa	Sg
svojih	svoj	Px-mpg
50	50	Mdc
ili	ili	Cc
više	mnogo	Rgc
%	%	Z
GT-a	GT	Npmsg
premašuje	premašivati	Vmr3s
smanjenje	smanjenje	Ncnsa
propisano	propisati	Appnsny
ovim	ovaj	Pd-msi
Prilogom	prilog	Ncmsi
,	,	Z
te	te	Cc
se	sebe	Px--sa
uzima	uzimati	Vmr3s
njegov	njegov	Ps3msn
cjelokupni	cjelokupan	Agpmsny
GT	gt	Ncmsn
.	.	Z

PRILOG	prilog	Ncmsn
II	ii	Mro
.	.	Z

KRITERIJI	kriterij	Ncmpn
ZA	za	Sa
ODABIR	odabir	Ncmsan
U	u	Sl
OKVIRU	okvir	Ncmsl
MJERE	mjera	Ncfsg
I.	I.	Mro
10.	10.	Mdo

TRAJNI	trajan	Agpmsny
PRESTANAK	prestanak	Ncmsn
RIBOLOVNIH	ribolovan	Agpfpgy
AKTIVNOSTI	aktivnost	Ncfpg
U	u	Sl
OKVIRU	okvir	Ncmsl
OPERATIVNOG	operativan	Agpmsgy
PROGRAMA	program	Ncmsg
