raspisuje	raspisivati	Vmr3s
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Natječaj	natječaj	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
objavljuje	objavljivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
»		Agpfply
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
,	,	Z
na	na	Sl
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
(	(	Z
www.apprrr.hr	www.apprrr.hr	X
)	)	Z
i	i	Cc
na	na	Sl
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
Ministarstva	ministarstvo	Ncnsg
poljoprivrede	poljoprivreda	Ncfsg
(	(	Z
www.mps.hr	www.mps.hr	X
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Natječajem	natječaj	Ncmsi
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
određuju	određivati	Vmr3p
se	sebe	Px--sa
način	način	Ncmsn
,	,	Z
rokovi	rok	Ncmpn
i	i	Cc
uvjeti	uvjet	Ncmpn
za	za	Sa
podnošenje	podnošenje	Ncnsa
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
korisnici	korisnik	Ncmpn
moraju	morati	Vmr3p
dostaviti	dostaviti	Vmn
svu	sav	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
propisanu	propisati	Appfsay
natječajem	natječaj	Ncmsi
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Kad	kad	Cs
su	biti	Var3p
zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
i	i	Cc
dokumentacija	dokumentacija	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
upućeni	uputiti	Appmpny
poštom	pošta	Ncfsi
preporučeno	preporučiti	Appnsny
ili	ili	Cc
predani	predati	Appmpny
ovlaštenom	ovlastiti	Appmsly
pružatelju	pružatelj	Ncmsl
poštanskih	poštanski	Agpfpgy
usluga	usluga	Ncfpg
,	,	Z
vrijeme	vrijeme	Ncnsn
predaje	predavati	Vmr3s
pošti	pošta	Ncfsd
odnosno	odnosno	Rgp
ovlaštenom	ovlašten	Agpmsly
pružatelju	pružatelj	Ncmsl
poštanskih	poštanski	Agpfpgy
usluga	usluga	Ncfpg
(	(	Z
datum	datum	Ncmsn
,	,	Z
sat	sat	Ncmsn
,	,	Z
minuta	minuta	Ncfsn
,	,	Z
sekunda	sekunda	Ncfsn
)	)	Z
smatra	smatrati	Vmr3s
se	sebe	Px--sa
vremenom	vrijeme	Ncnsi
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Kad	kad	Cs
se	sebe	Px--sa
zahtjev	zahtjev	Ncmsn
i	i	Cc
dokumentacija	dokumentacija	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
predaju	predati	Vmr3p
neposredno	neposredno	Rgp
Agenciji	agencija	Ncfsl
za	za	Sa
plaćanja	plaćanje	Ncnpa
,	,	Z
vremenom	vrijeme	Ncnsi
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
smatra	smatrati	Vmr3s
