razvijanjem	razvijanje	Ncnsi
i	i	Cc
kontrolom	kontrola	Ncfsi
ljudskih	ljudski	Agpmpgy
,	,	Z
financijskih	financijski	Agpfpgy
,	,	Z
fizičkih	fizički	Agpmpgy
i	i	Cc
nematerijalnih	nematerijalan	Agpmpgy
resursa	resurs	Ncmpg
.	.	Z

291.142	291.14i	Agpnsny
Određivanje	određivanje	Ncnsn
je	biti	Var3s
li	li	Qq
neka	neki	Pi-fsn
aktivnost	aktivnost	Ncfsn
iz	iz	Sg
domene	domena	Ncfsg
odgovornosti	odgovornost	Ncfsg
menadžmenta	menadžment	Ncmsg
,	,	Z
ovisi	ovisiti	Vmr3s
o	o	Sl
okolnostima	okolnost	Ncfpl
i	i	Cc
zahtijeva	zahtijevati	Vmr3s
prosuđivanje	prosuđivanje	Ncnsa
.	.	Z

Primjeri	primjer	Ncmpn
aktivnosti	aktivnost	Ncfpg
za	za	Sa
koje	koji	Pi-fpa
bi	biti	Vaa3p
se	sebe	Px--sa
uobičajeno	uobičajiti	Appnsny
smatralo	smatrati	Vmp-sn
da	da	Cs
su	biti	Var3p
iz	iz	Sg
domene	domena	Ncfsg
odgovornosti	odgovornost	Ncfsg
menadžmenta	menadžment	Ncmsg
uključuju	uključivati	Vmr3p
:	:	Z

•	i	Agpnsny
određivanje	određivanje	Ncnsn
politika	politika	Ncfpg
i	i	Cc
strateško	strateški	Agpnsny
usmjeravanje	usmjeravanje	Ncnsn
;	;	Z

•	i	Agpnsny
zapošljavanje	zapošljavanje	Ncnsn
ili	ili	Cc
otpuštanje	otpuštanje	Ncnsa
zaposlenika	zaposlenik	Ncmpg
;	;	Z

•	i	Agpnsay
usmjeravanje	usmjeravanje	Ncnsa
i	i	Cc
prihvaćanje	prihvaćanje	Ncnsa
odgovornosti	odgovornost	Ncfsg
za	za	Sa
djelovanje	djelovanje	Ncnsa
zaposlenika	zaposlenik	Ncmpg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
njihovim	njihov	Agpfsiy
radom	rada	Ncfsi
za	za	Sa
subjekta	subjekt	Ncmsay
;	;	Z

•	•	Sa
autorizaciju	autorizacija	Ncfsa
transakcija	transakcija	Ncfpg
;	;	Z

•	i	Agpnsny
kontroliranje	kontroliranje	Ncnsn
ili	ili	Cc
rukovođenje	rukovođenje	Ncnsn
računima	račun	Ncmpi
otvorenim	otvoren	Agpmpiy
u	u	Sl
banci	banka	Ncfsl
ili	ili	Cc
ulaganjima	ulaganje	Ncnpl
;	;	Z

•	i	Agpnsny
određivanje	određivanje	Ncnsn
koje	koji	Pi-fpa
preporuke	preporuka	Ncfpa
revizorskog	revizorski	Agpnsgy
društva	društvo	Ncnsg
ili	ili	Cc
neke	neki	Pi-fpa
treće	treći	Mlonsn
stranke	stranka	Ncfsg
treba	trebati	Vmr3s
provesti	provesti	Vmn
;	;	Z

•	i	Agpnsny
