identične	identičan	Agpfpny
su	biti	Var3p
onima	onaj	Pd-mpd
za	za	Sa
rashode	rashod	Ncmpa
i	i	Cc
izdatke	izdatak	Ncmpa
.	.	Z

5.2.	5.2.	Mdo

ELEMENTI	element	Ncmpn
ZA	za	Sa
IZRAČUN	izračun	Ncmsan
PROMJENA	promjena	Ncfpg
U	u	Sl
BROJU	broj	Ncmsl
ZAPOSLENIH	zaposlen	Agpmpgy

U	u	Sl
ovom	ovaj	Pd-msl
dijelu	dio	Ncmsl
daje	davati	Vmr3s
se	sebe	Px--sa
detaljan	detaljan	Agpmsnn
prikaz	prikaz	Ncmsn
promjene	promjena	Ncfsg
broja	broj	Ncmsg
zaposlenih	zaposlen	Agpmpgy
kao	kao	Cs
rezultata	rezultat	Ncmpg
provedbe	provedba	Ncfsg
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
i	i	Cc
to	to	Qo
za	za	Sa
broj	broj	Ncmsan
:	:	Z

•	•	Z
rukovodećih	rukovodeći	Agpmpgy
službenika	službenik	Ncmpg

•		Agpmpgy
službenika	službenik	Ncmpg

•	•	Px-mpg
namještenika	namještenik	Ncmpg
i	i	Cc

•	•	Sg
djelatnih	djelatan	Agpfpgy
vojnih	vojni	Agpfpgy
osoba	osoba	Ncfpg

sistematiziran	sistematiziran	Agpmsnn
uredbom	uredba	Ncfsi
/	/	Z
aktom	akt	Ncmsi
o	o	Sl
unutarnjem	unutarnji	Agpnsly
ustrojstvu	ustrojstvo	Ncnsl
,	,	Z
ali	ali	Cc
i	i	Qo
za	za	Sa
broj	broj	Ncmsan
stvarno	stvarno	Rgp
popunjenih	popuniti	Agpnpgy
radnih	radni	Agpnpgy
mjesta	mjesto	Ncnpg
za	za	Sa
navedene	naveden	Agpfpay
kategorije	kategorija	Ncfpa
službenika	službenik	Ncmpg
i	i	Cc
namještenika	namještenik	Ncmpg
.	.	Z

Očekivano	očekivati	Agpnsny
povećanje	povećanje	Ncnsn
/	/	Z
