6.3	6.3	Mdc
i	i	Cc
6.4.	6.4.	Mds

9.	9.	Mdo
Svako	svaki	Pi-nsn
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
izvješćuje	izvješćivati	Vmr3s
svoja	svoj	Px-npa
tijela	tijelo	Ncnpa
koja	koji	Pi-npn
provode	provoditi	Vmr3p
prijavljivanje	prijavljivanje	Ncnsa
o	o	Sl
izdanim	izdan	Agpfply
ili	ili	Cc
povučenim	povući	Appfply
odobrenjima	odobrenje	Sg
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
i	i	Cc
periodično	periodično	Rgp
ili	ili	Cc
na	na	Sa
zahtjev	zahtjev	Ncmsan
svojim	svoj	Agpnply
tijelima	tijelo	Ncnpl
koja	koji	Pi-npn
provode	provoditi	Vmr3p
prijavljivanje	prijavljivanje	Ncnsa
stavlja	stavljati	Vmr3s
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
popis	popis	Ncmsan
odobrenja	odobrenje	Ncnsg
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
koje	koji	Pi-nsn
je	biti	Var3s
odbilo	odbiti	Vmp-sn
,	,	Z
poništilo	poništiti	Vmp-sn
ili	ili	Cc
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
ograničilo	ograničiti	Vmp-sn
.	.	Z

Svako	svaki	Pi-nsn
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
izvješćuje	izvješćivati	Vmr3s
druga	drugi	Mlofsn
prijavljena	prijaviti	Ncfsn
tijela	tijelo	Ncnsg
o	o	Sl
odobrenjima	odobrenje	Ncnsl
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
koje	koji	Pi-nsn
je	biti	Var3s
odbilo	odbiti	Vmp-sn
,	,	Z
poništilo	poništiti	Vmp-sn
,	,	Z
ili	ili	Cc
povuklo	povući	Vmp-sn
i	i	Cc
,	,	Z
na	na	Sa
zahtjev	zahtjev	Ncmsan
,	,	Z
o	o	Sl
odobrenjima	odobrenje	Ncnpl
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
koje	koji	Pi-nsn
je	biti	Var3s
izdalo	izdati	Vmp-sn
.	.	Z

10.	10.	Mdo

Ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn

Obveze	obveza	Ncfpn
proizvođača	proizvođač	Ncmpg
navedene	navesti	Appfpny
u	u	Sl
točkama	točka	Ncfpl
3.	3.	Mdo
,	,	Z
5.1.	5.1.	Mds
,	,	Z
5.5.	5.5.	Mds
,	,	Z
7.	7.	Mdo
i	i	Cc
8.	8.	Mdo
može	moći	Vmr3s
u	u	Sa
njegovo	njegov	Ps3nsa
ime	ime	Ncnsa
i	i	Cc
na	na	Sa
njegovu	njegov	Ps3fsa
odgovornost	odgovornost	Ncfsa
ispuniti	ispuniti	Vmn
njegov	njegov	Ps3msn
ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn
ako	ako	Cs
su	biti	Var3p
navedene	navesti	Appfpny
u	u	Sl
ovlaštenju	ovlaštenje	Ncnsl
.	.	Z

7.	7.	Mdo
MODUL	modul	Ncmsn
E	e	X
:	:	Z
SUKLADNOST	sukladnost	Ncfsn
S	sa	Si
TIPOM	tip	Ncmsi
NA	na	Sl
TEMELJU	temelj	Ncmsl
OSIGURANJA	osiguranje	Ncnsg
KVALITETE	kvaliteta	Ncfsg
TLAČNE	tlačni	Agpfsgy
OPREME	oprema	Ncfsg

1.	1.	Mdo
Sukladnost	sukladnost	Ncfsn
s	sa	Si
tipom	tip	Ncmsi
na	na	Sl
temelju	temelj	Ncmsl
osiguranja	osiguranje	Ncnsg
kvalitete	kvaliteta	Ncfsg
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
dio	dio	Ncmsn
je	biti	Var3s
postupka	postupak	Ncmsg
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
u	u	Sl
kojem	koji	Pi-msl
proizvođač	proizvođač	Ncmsn
ispunjava	ispunjavati	Vmr3s
obveze	obveza	Ncfpa
iz	iz	Sg
točaka	točka	Ncfpg
2.	2.	Mdo
i	i	Cc
5.	5.	Mdo
te	te	Cc
jamči	jamčiti	Vmr3s
i	i	Cc
izjavljuje	izjavljivati	Vmr3s
na	na	Sa
vlastitu	vlastit	Agpfsay
odgovornost	odgovornost	Ncfsa
da	da	Cs
je	biti	Var3s
dotična	dotičan	Agpfsny
tlačna	tlačni	Agpfsny
oprema	oprema	Ncfsn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tipom	tip	Ncmsi
opisanim	opisati	Appmsiy
u	u	Sl
certifikatu	certifikat	Ncmsl
o	o	Sl
