Korisnička	korisnički	Agpfsny
skupina	skupina	Ncfsn
koja	koji	Pi-fsn
može	moći	Vmr3s
ostvariti	ostvariti	Vmn
pravo	pravo	Ncnsa
sukladno	sukladan	Agpnsay
Zakonu	zakon	Ncmsl
o	o	Sl
socijalnoj	socijalan	Agpfsly
skrbi	skrb	Ncfsl
,	,	Z
posebnom	poseban	Agpmsly
propisu	propis	Ncmsl
ili	ili	Cc
općim	opći	Agpmpiy
aktima	akt	Ncmpi
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
Grada	grad	Ncmsg
Zagreba	Zagreb	Npmsg
.	.	Z

Članak	članak	Ncmsn
4.	4.	Mdo

Osim	osim	Sg
podataka	podatak	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
evidencija	evidencija	Ncfsn
prava	pravo	Ncnsg
koje	koji	Pi-nsn
korisnici	korisnik	Ncmpn
ostvaruju	ostvarivati	Vmr3p
temeljem	temelj	Ncmsi
Zakona	zakon	Ncmsg
o	o	Sl
socijalnoj	socijalan	Agpfsly
skrbi	skrb	Ncfsl
sadrži	sadržati	Vmr3s
i	i	Cc
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z

I.	ii	Agpmpay
Podatke	podatak	Ncmpa
o	o	Sl
pravu	pravo	Ncnsl
na	na	Sa
naknadu	naknada	Ncfsa
za	za	Sa
troškove	trošak	Ncmpa
stanovanja	stanovanje	Ncnsg

II	ii	Mrc
.	.	Z

Podatke	podatak	Ncmpa
o	o	Sl
pravu	pravo	Ncnsl
na	na	Sa
naknadu	naknada	Ncfsa
za	za	Sa
troškove	trošak	Ncmpa
prijevoza	prijevoz	Ncmsg

III	III	Mrc
.	.	Z

Podatke	podatak	Ncmpa
o	o	Sl
pravu	pravo	Ncnsl
na	na	Sa
