ponuditelja	ponuditelj	Ncmpg
u	u	Sl
obvezi	obveza	Ncfsl
je	biti	Var3s
dostaviti	dostaviti	Vmn
i	i	Cc
dokumentaciju	dokumentacija	Ncfsa
iz	iz	Sg
provedenog	provesti	Agpmsgy
postupka	postupak	Ncmsg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
.	.	Z

Potvrda	potvrda	Ncfsn
o	o	Sl
odustajanju	odustajanje	Ncnsl
i	i	Cc
odluka	odluka	Ncfpg
o	o	Sl
poništenju	poništenje	Ncnsl

Članak	članak	Ncmsn
31.	31.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
korisnik	korisnik	Ncmsn
želi	željeti	Vmr3s
odustati	odustati	Vmn
od	od	Sg
dodjele	dodjela	Ncfsg
sredstava	sredstvo	Ncnpg
iz	iz	Sg
EPFRR-a	EPFRR	Npmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
podnijeti	podnijeti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
odustajanje	odustajanje	Ncnsa
putem	put	Sg
AGRONET-a	AGRONET	Npmsg
na	na	Sa
način	način	Ncmsan
opisan	opisati	Appmsnn
u	u	Sl
vodiču	vodič	Ncmsl
za	za	Sa
korisnike	korisnik	Ncmpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
podnese	podnijeti	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
odustajanje	odustajanje	Ncnsa
tijekom	tijekom	Sg
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
odnosno	odnosno	Rgp
prije	prije	Sg
donošenja	donošenje	Ncnsg
odluke	odluka	Ncfsg
o	o	Sl
prihvatljivosti	prihvatljivost	Ncfsl
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
prekinuti	prekinuti	Vmn
sve	sav	Agpfpay
aktivnosti	aktivnost	Ncfpa
nad	nad	Si
zahtjevom	zahtjev	Ncmsi
za	za	Sa
potporu	potpora	Ncfsa
te	te	Cc
će	htjeti	Var3s
korisniku	korisnik	Ncmsd
izdati	izdati	Vmn
potvrdu	potvrda	Ncfsa
o	o	Sl
odustajanju	odustajanje	Ncnsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
podnese	podnijeti	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
