ostao	ostati	Vmp-sm
»	»	Z
neaktivan	neaktivan	Agpmsnn
«	«	Z
,	,	Z
to	taj	Pd-nsn
je	biti	Var3s
u	u	Sl
navedenom	naveden	Agpmsly
slučaju	slučaj	Ncmsl
zainteresirana	zainteresiran	Agpfsny
osoba	osoba	Ncfsn
kao	kao	Cs
primatelj	primatelj	Ncmsn
broja	broj	Ncmsg
ipak	ipak	Rgp
trebala	trebati	Vmp-sf
bez	bez	Sg
odgode	odgoda	Ncfsg
uputiti	uputiti	Vmn
prigovor	prigovor	Ncmsan
davatelju	davatelj	Ncmsd
broja	broj	Ncmsg
putem	put	Sg
kontakt-osoba	kontakt-osob	Ncmsg
za	za	Sa
postupak	postupak	Ncmsan
prenosivosti	prenosivost	Ncfsg
broja	broj	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
a	a	Cc
što	što	Pi3n-n
ista	isti	Agpfsny
nije	biti	Var3s
učinila	učiniti	Vmp-sf
,	,	Z
čime	što	Pi3n-i
je	biti	Var3s
povrijeđena	povrijediti	Appfsny
odredba	odredba	Ncfsn
članka	članak	Ncmsg
19.	19.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Pravilnika	pravilnik	Ncmsg
.	.	Z

Stoga	stoga	Rgp
će	htjeti	Var3s
tuženik	tuženik	Ncmsn
u	u	Sl
ponovnom	ponovan	Agpmsly
postupku	postupak	Ncmsl
utvrditi	utvrditi	Vmn
je	biti	Var3s
li	li	Qq
zainteresirana	zainteresiran	Agpfsny
osoba	osoba	Ncfsn
postupila	postupiti	Vmp-sf
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbom	odredba	Ncfsi
članka	članak	Ncmsg
18.	18.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
Pravilnika	pravilnik	Ncmsg
i	i	Cc
obavijestila	obavijestiti	Vmp-sf
ovdje	ovdje	Rgp
tužitelja	tužitelj	Ncmpg
o	o	Sl
razlozima	razlog	Ncmpl
odbijanja	odbijanje	Ncnsg
njegovog	njegov	Ps3msg
zahtjeva	zahtjev	Ncmsg
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
od	od	Sg
strane	strana	Ncfsg
Tele2	Tele	Npmsg
,	,	Z
zatraživši	zatražiti	Rr
o	o	Sl
navedenoj	naveden	Agpfsly
činjenici	činjenica	Ncfsl
dopunsko	dopunski	Agpnsny
očitovanje	očitovanje	Ncnsn
od	od	Sg
strane	strana	Ncfsg
zainteresirane	zainteresiran	Agpfsgy
osobe	osoba	Ncfsg
,	,	Z
pa	pa	Cc
će	htjeti	Var3s
imajući	imati	Rr
u	u	Sl
vidu	vid	Ncmsl
sadržaj	sadržaj	Ncmsan
zahtjeva	zahtjev	Ncmpg
tužitelja	tužitelj	Ncmpg
od	od	Sg
11.	11.	Mdo
srpnja	srpanj	Ncmsg
2013.	2013.	Mdo
istog	isti	Agpmsgy
tretirati	tretirati	Vmn
ne	ne	Qz
samo	samo	Rgp
kao	kao	Cs
prigovor	prigovor	Ncmsn
tužitelja	tužitelj	Ncmpg
za	za	Sa
pokretanjem	pokretanje	Ncnsi
postupka	postupak	Ncmsg
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
nad	nad	Si
ovdje	ovdje	Rgp
zainteresiranom	zainteresiran	Agpfsiy
osobom	osoba	Ncfsi
,	,	Z
nego	nego	Cc
i	i	Qo
nad	nad	Si
Tele2	Tele	Npmsl
,	,	Z
te	te	Cc
će	htjeti	Var3s
sukladno	sukladno	Rgp
zatraženom	zatražiti	Agpnsly
dopunskom	dopunski	Agpnsly
očitovanju	očitovanje	Ncnsl
od	od	Sg
strane	strana	Ncfsg
zainteresirane	zainteresiran	Agpfsgy
osobe	osoba	Ncfsg
i	i	Cc
već	već	Rgp
zaprimljenom	zaprimiti	Agpnsly
očitovanju	očitovanje	Ncnsl
od	od	Sg
strane	strana	Ncfsg
ovdje	ovdje	Rgp
zainteresirane	zainteresiran	Agpfsgy
osobe	osoba	Ncfsg
,	,	Z
kao	kao	Cs
