ishođenja	ishođenje	Ncnsg
rješenja	rješenje	Ncnsg
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl
uvjeta	uvjet	Ncmsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
pogrebničke	pogrebnički	Agpfsgy
djelatnosti	djelatnost	Ncfsg
odgovarajuće	odgovarajući	Agpfsgy
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
na	na	Sa
podružnicu	podružnica	Ncfsa
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
izdvojeni	izdvojiti	Appmsayn
pogon	pogon	Ncmsan
obrtnika	obrtnik	Ncmpg
.	.	Z

Članak	članak	Ncmsn
13.	13.	Mdo

Poslovni	poslovan	Agpmsny
ugled	ugled	Ncmsn
u	u	Sl
smislu	smisao	Ncmsl
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
nema	nemati	Vmr3s
odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
pogrebnika	pogrebnik	Ncmsg
koja	koji	Pi-fsn
je	biti	Var3s
:	:	Z

–		Ncmpd
pravomoćno	pravomoćno	Rgp
osuđena	osuditi	Appfsny
zbog	zbog	Sg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
protiv	protiv	Sg
života	život	Ncmsg
i	i	Cc
tijela	tijelo	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
povrede	povreda	Ncfsg
mira	mir	Ncmsg
pokojnika	pokojnik	Ncmpg

–	–	Si
pravomoćnom	pravomoćan	Agpfsiy
odlukom	odluka	Ncfsi
suda	sud	Ncmsg
za	za	Sa
prekršaje	prekršaj	Ncmpa
,	,	Z
bila	biti	Vap-sf
tijekom	tijekom	Sg
jedne	jedan	Agpfsgy
godine	godina	Ncfsg
dva	dva	Mlc
puta	puta	Rgp
kažnjena	kazniti	Appfsny
za	za	Sa
prekršaj	prekršaj	Ncmsan
povezan	povezan	Agpmsann
s	sa	Si
obavljanjem	obavljanje	Ncnsi
pogrebničke	pogrebnički	Agpfsgy
djelatnosti	djelatnost	Ncfsg
,	,	Z
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
mjesno	mjesno	Rgp
nadležni	nadležan	Agpmsny
ured	ured	Ncmsn
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
u	u	Sl
županiji	županija	Ncfsl
,	,	Z
odnosno	odnosno	Rgp
nadležni	nadležan	Agpmsny
ured	ured	Ncmsn
Grada	grad	Ncmsg
Zagreba	Zagreb	Npmsg
uvidom	uvid	Ncmsi
u	u	Sa
dokaze	dokaz	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
12.	12.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
su	biti	Var3p
ispunjeni	ispuniti	Appmpny
traženi	tražiti	Appmpny
uvjeti	uvjet	Ncmpn
,	,	Z
donijet	donijeti	Vmn
će	htjeti	Var3s
rješenje	rješenje	Ncnsn
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl
uvjeta	uvjet	Ncmsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
pogrebničke	pogrebnički	Agpfsgy
djelatnosti	djelatnost	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ured	ured	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
će	htjeti	Var3s
bez	bez	Sg
odgađanja	odgađanje	Ncnsg
dostaviti	dostaviti	Vmn
rješenje	rješenje	Ncnsa
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl
uvjeta	uvjet	Ncmsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
pogrebničke	pogrebnički	Agpfsgy
djelatnosti	djelatnost	Ncfsg
pogrebniku	pogrebnik	Ncmsd
,	,	Z
nadležnom	nadležan	Agpnsly
registarskom	registarski	Agpnsly
tijelu	tijelo	Ncnsl
,	,	Z
mjesno	mjesno	Rgp
nadležnoj	nadležan	Agpfsly
Poreznoj	porezni	Agpfsly
upravi	uprava	Ncfsl
i	i	Cc
nadležnim	nadležan	Agpfply
inspekcijama	inspekcija	Ncfpl
sukladno	sukladno	Rgp
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Pogrebnik	pogrebnik	Ncmsn
može	moći	Vmr3s
započeti	započeti	Vmn
obavljati	obavljati	Vmn
djelatnost	djelatnost	Ncfsa
danom	dati	Appmsly
izvršnosti	izvršnost	Ncfsd
rješenja	rješenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Članak	članak	Ncmsn
15.	15.	Mdo

Ako	ako	Cs
ured	ured	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
14.	14.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
odbije	odbiti	Vmr3s
zahtjev	zahtjev	Ncmsan
pogrebnika	pogrebnik	Ncmpg
za	za	Sa
donošenje	donošenje	Ncnsa
rješenja	rješenje	Ncnsg
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl
uvjeta	uvjet	Ncmsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
pogrebničke	pogrebnički	Agpfsgy
djelatnosti	djelatnost	Ncfsg
,	,	Z
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
može	moći	Vmr3s
raskinuti	raskinuti	Vmn
ugovor	ugovor	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
11.	11.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
