Hrvatske	Hrvatska	Npfsg
vodio	voditi	Vmp-sm
je	biti	Var3s
računa	račun	Ncmsg
o	o	Sl
težini	težina	Ncfsl
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
i	i	Cc
osobnim	osoban	Agpmply
podacima	podatak	Ncmpl
te	te	Cc
imovnom	imovni	Agpnsly
stanju	stanje	Ncnsl
optuženika	optuženik	Ncmpg
prema	prema	Sl
podacima	podatak	Ncmpl
koji	koji	Pi-mpn
su	biti	Var3p
mu	on	Pp3msd
iz	iz	Sg
stanja	stanje	Ncnsg
spisa	spis	Ncmsg
bili	biti	Vap-pm
poznati	poznat	Agpmpny
u	u	Sl
trenutku	trenutak	Ncmsl
odlučivanja	odlučivanje	Ncnsg
,	,	Z
a	a	Cc
prvenstveno	prvenstveno	Rgp
o	o	Sl
okolnosti	okolnost	Ncfsl
da	da	Cs
je	biti	Var3s
upravo	upravo	Rgp
sam	sam	Agpmsny
optuženik	optuženik	Ncmsn
u	u	Sl
ranijem	raniji	Agpmsly
tijeku	tijek	Ncmsl
postupka	postupak	Ncmsg
predložio	predložiti	Vmp-sm
da	da	Cs
mu	on	Pp3msd
se	sebe	Px--sa
istražni	istražni	Agpmsny
zatvor	zatvor	Ncmsn
zamjeni	zamjena	Ncfsl
jamstvom	jamstvo	Ncnsi
u	u	Sl
visini	visina	Ncfsl
od	od	Sg
12,400.000,00	12,400.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z
što	što	Pi3n-n
je	biti	Var3s
bilo	biti	Vap-sn
i	i	Cc
pravomoćno	pravomoćan	Agpnsny
prihvaćeno	prihvatiti	Appnsny
.	.	Z
«	«	Z

III	III	Mrc
.	.	Z

PRIGOVORI	prigovor	Ncmpn
PODNOSITELJA	podnositelj	Ncmsay

23.	23.	Mdo

Podnositelj	podnositelj	Ncmsn
smatra	smatrati	Vmr3s
da	da	Cs
je	biti	Var3s
Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
osporeno	osporiti	Agpnsay
rješenje	rješenje	Ncnsa
donio	donijeti	Vmp-sm
uz	uz	Sa
»	i	Agpnsay
lakonsko	lakonski	Agpnsay
obrazloženje	obrazloženje	Ncnsa
da	da	Cs
i	i	Qo
dalje	daleko	Rgc
egzistira	egzistirati	Vmr3s
ista	isti	Agpfsny
osnova	osnova	Ncfsn
zbog	zbog	Sg
koje	koji	Pi-fsg
je	biti	Var3s
istražni	istražni	Agpmsny
zatvor	zatvor	Ncmsn
prvotno	prvotno	Rgp
bio	biti	Vap-sm
određen	određen	Agpmsnn
«	«	Z
(	(	Z
18.	18.	Mdo
srpnja	srpanj	Ncmsg
2011.	2011.	Mdo
)	)	Z
.	.	Z

Tvrdi	tvrditi	Vmr3s
da	da	Cs
se	sebe	Px--sa
Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
»	»	Z
nije	biti	Var3s
uopće	uopće	Rgp
upustio	upustiti	Vmp-sm
u	u	Sa
obrazlaganje	obrazlaganje	Ncnsa
svog	svoj	Px-msg
stava	stav	Ncmsg
«	«	Z
o	o	Sl
tome	taj	Pd-nsl
da	da	Cs
i	i	Qo
dalje	daleko	Rgc
postoje	postojati	Vmr3p
posebni	poseban	Agpmpny
razlozi	razlog	Ncmpn
za	za	Sa
određivanje	određivanje	Ncnsa
istražnog	istražni	Agpmsgy
zatvora	zatvor	Ncmsg
zbog	zbog	Sg
opasnosti	opasnost	Ncfsg
od	od	Sg
bijega	bijeg	Ncmsg
.	.	Z

Također	također	Rgp
tvrdi	tvrditi	Vmr3s
kako	kako	Cs
je	biti	Var3s
Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
»	»	Z
zanemario	zanemariti	Vmp-sm
«	«	Z
činjenicu	činjenica	Ncfsa
da	da	Cs
su	biti	Var3p
se	sebe	Px--sa
u	u	Sl
međuvremenu	međuvrijeme	Ncnsl
,	,	Z
to	taj	Pd-nsn
jest	biti	Var3s
od	od	Sg
određivanja	određivanje	Ncnsg
istražnog	istražni	Agpmsgy
zatvora	zatvor	Ncmsg
do	do	Sg
trenutka	trenutak	Ncmsg
donošenja	donošenje	Ncnsg
osporenog	osporiti	Agpnsgy
rješenja	rješenje	Ncnsg
,	,	Z
okolnosti	okolnost	Ncfsg
»	»	Z
znatno	znatno	Rgp
izmijenile	izmijeniti	Vmp-pf
«	«	Z
.	.	Z

24.	24.	Mdo

Nadalje	nadalje	Rgp
,	,	Z
podnositelj	podnositelj	Ncmsn
navodi	navoditi	Vmr3s
kako	kako	Cs
je	biti	Var3s
netočna	netočan	Agpfsny
tvrdnja	tvrdnja	Ncfsn
Vrhovnog	vrhovni	Agpmsgy
suda	sud	Ncmsg
da	da	Cs
»	»	Z
pravomoćno	pravomoćno	Rgp
utvrđene	utvrditi	Agpfpay
okolnosti	okolnost	Ncfpa
koje	koji	Pi-fpn
upućuju	upućivati	Vmr3p
na	na	Sa
opasnost	opasnost	Ncfsa
od	od	Sg
bijega	bijeg	Ncmsg
u	u	Sl
ovom	ovaj	Pd-msl
predmetu	predmet	Ncmsl
nikada	nikada	Rgp
nisu	biti	Var3p
prestale	prestati	Vmp-pf
postojati	postojati	Vmn
«	«	Z
.	.	Z

Naime	naime	Qo
,	,	Z
nadležni	nadležan	Agpmsny
sud	sud	Ncmsn
je	biti	Var3s
u	u	Sl
ovom	ovaj	Pd-msl
kaznenom	kazneni	Agpmsly
predmetu	predmet	Ncmsl
već	već	Rgp
prethodno	prethodno	Rgp
utvrdio	utvrditi	Vmp-sm
da	da	Cs
su	biti	Var3p
se	sebe	Px--sa
okolnosti	okolnost	Ncfpn
izmijenile	izmijeniti	Vmp-pf
odnosno	odnosno	Rgp
da	da	Cs
se	sebe	Px--sa
intenzitet	intenzitet	Ncmsn
opasnosti	opasnost	Ncfsg
od	od	Sg
bijega	bijeg	Ncmsg
smanjio	smanjiti	Vmp-sm
,	,	Z
budući	budući	Cs
da	da	Cs
je	biti	Var3s
istražni	istražni	Agpmsny
zatvor	zatvor	Ncmsn
zamijenjen	zamijeniti	Appmsnn
jamčevinom	jamčevina	Ncfsi
.	.	Z

Stoga	stoga	Rgp
podnositeljeva	podnositeljev	Vmr3s
prisutnost	prisutnost	Ncfsn
na	na	Sl
suđenju	suđenje	Ncnsl
nije	biti	Var3s
bila	biti	Vap-sf
osigurana	osigurati	Appfsny
time	taj	Pd-nsi
što	što	Cs
je	biti	Var3s
on	on	Pp3msn
bio	biti	Vap-sm
lišen	lišiti	Appmsnn
slobode	sloboda	Ncfsg
u	u	Sl
drugom	drugi	Mlomsl
kaznenom	kazneni	Agpmsly
postupku	postupak	Ncmsl
.	.	Z

Naprotiv	naprotiv	Rgp
,	,	Z
on	on	Pp3msn
se	sebe	Px--sa
uz	uz	Sa
jamčevinu	jamčevina	Ncfsa
gotovo	gotovo	Rgp
godinu	godina	Ncfsa
dana	dan	Ncmpg
nalazio	nalaziti	Vmp-sm
na	na	Sl
slobodi	sloboda	Ncfsl
i	i	Cc
uredno	uredno	Rgp
dolazio	dolaziti	Vmp-sm
na	na	Sa
rasprave	rasprava	Ncfpa
te	te	Cc
ispunjavao	ispunjavati	Vmp-sm
sve	sav	Agpmpay
zahtjeve	zahtjev	Ncmpa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
izrečenim	izreći	Agpfpiy
