osiguran	osigurati	Appmsnn
vozni	vozan	Agpmsny
put	put	Ncmsn
vlaka	vlak	Ncmsg
može	moći	Vmr3s
biti	biti	Van
:	:	Z

–	–	Z
ulazni	ulazan	Agpmpny
,	,	Z

–	–	Z
izlazni	izlazni	Agpmpny
,	,	Z

–	–	Pd-mpn
složeni	složiti	Appmpny
,	,	Z

–	–	Z
redovni	redovan	Agpmsny
/	/	Z
obilazni	obilazan	Agpmpny
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Vozni	vozan	Agpmsny
put	put	Ncmsn
vlaka	vlak	Ncmsg
počinje	počinjati	Vmr3s
(	(	Z
»	»	Z
start	start	Ncmsn
«	«	Z
voznog	vozan	Agpmsgy
puta	put	Ncmsg
)	)	Z
:	:	Z

–	–	Z
od	od	Sg
ulaznog	ulazan	Agpmsgy
signala	signal	Ncmsg
:	:	Z
ulazni	ulazan	Agpmpny
vozni	vozan	Agpmpny
putevi	put	Ncmpn
,	,	Z

–	–	Z
od	od	Sg
posljednjeg	posljednji	Agpmsgy
vagona	vagon	Ncmsg
vlaka	vlak	Ncmsg
na	na	Sl
kolosijeku	kolosijek	Ncmsl
:	:	Z
izlazni	izlazni	Agpmpny
vozni	vozan	Agpmpny
putevi	put	Ncmpn
ili	ili	Cc
vozni	vozan	Agpmpny
putevi	put	Ncmpn
od	od	Sg
kolodvorskog	kolodvorski	Agpmsgy
zaštitnog	zaštitni	Agpmsgy
signala	signal	Ncmsg
do	do	Sg
izlaznog	izlazni	Agpmsgy
signala	signal	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ulazni	ulazan	Agpmsny
vozni	vozan	Agpmsny
put	put	Ncmsn
vlaka	vlak	Ncmsg
završava	završavati	Vmr3s
(	(	Z
»	»	Z
cilj	cilj	Ncmsn
«	«	Z
voznog	vozan	Agpmsgy
puta	put	Ncmsg
)	)	Z
:	:	Z

–	–	Z
kod	kod	Sg
izlaznog	izlazni	Agpmsgy
ili	ili	Cc
zaštitnog	zaštitni	Agpmsgy
signala	signal	Ncmsg
na	na	Sl
kraju	kraj	Ncmsl
kolosijeka	kolosijek	Ncmsg
,	,	Z

–	–	Z
kod	kod	Sg
graničnog	graničan	Agpmsgy
kolosiječnog	kolosiječan	Agpmsgy
signala	signal	Ncmsg
na	na	Sl
kraju	kraj	Ncmsl
kolosijeka	kolosijek	Ncmsg
ako	ako	Cs
nema	nemati	Vmr3s
kolosiječnog	kolosiječnoa	Ncfsg
izlaznog	izlazni	Agpmsgy
signala	signal	Ncmsg
,	,	Z

–	–	Z
kod	kod	Sg
graničnog	graničan	Agpmsgy
kolosiječnog	kolosiječan	Agpmsgy
signala	signal	Ncmsg
kolosijeka	kolosijek	Ncmsg
podijeljenog	podijeliti	Appmsgy
na	na	Sa
ograničene	ograničiti	Agpfpay
odsjeke	odsjeka	Ncfpa
voznog	vozan	Agpmsgy
puta	put	Ncmsg
,	,	Z

–	–	Ncmsn
na	na	Sl
kraju	kraj	Ncmsl
krnjeg	krnj	Agpmsgy
kolosijeka	kolosijek	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Izlazni	izlazni	Agpmsny
vozni	vozan	Agpmsny
put	put	Ncmsn
vlaka	vlak	Ncmsg
završava	završavati	Vmr3s
(	(	Z
»	»	Z
cilj	cilj	Ncmsn
«	«	Z
voznog	vozan	Agpmsgy
puta	put	Ncmsg
)	)	Z
:	:	Z

–	–	Z
na	na	Sl
posljednjem	posljednji	Agpmsly
kolodvorskom	kolodvorski	Agpmsly
kontroliranom	kontrolirati	Agpmsly
odsjeku	odsjek	Ncmsl
.	.	Z

–	–	Ncmsn
kad	kad	Cs
vozni	vozan	Agpmsny
put	put	Ncmsn
započinje	započinjati	Vmr3s
kod	kod	Sg
kolodvorskog	kolodvorski	Agpmsgy
zaštitnog	zaštitni	Agpmsgy
signala	signal	Ncmsg
on	on	Pp3msn
završava	završavati	Vmr3s
na	na	Sl
kolosijeku	kolosijek	Ncmsl
kod	kod	Sg
narednog	naredan	Agpmsgy
glavnog	glavni	Agpmsgy
signala	signal	Ncmsg
,	,	Z
a	a	Cc
ako	ako	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
zaštitnom	zaštitni	Agpmsly
