identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
(	(	Z
OIB	OIB	Npmsn
)	)	Z
savjetovališta	savjetovalište	Ncnsg
kod	kod	Sg
kojega	koji	Pi-msg
posrednika	posrednik	Ncmsg
provodi	provoditi	Vmr3s
izvansudski	izvansudski	Agpmsayn
postupak	postupak	Ncmsan

5.	5.	Mdo
poslovni	poslovan	Agpmsayn
broj	broj	Ncmsan
i	i	Cc
datum	datum	Ncmsan
donošenja	donošenje	Ncnsg
rješenja	rješenje	Ncnsg
kojim	koji	Pi-npi
se	sebe	Px--sa
izdaje	izdavati	Vmr3s
dozvola	dozvola	Ncfsn
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
posrednika	posrednik	Ncmpg

6.	6.	Mdo
promjena	promjena	Ncfsn
podataka	podatak	Ncmpg

7.	7.	Mdo
poslovni	poslovan	Agpmsayn
broj	broj	Ncmsan
i	i	Cc
datum	datum	Ncmsan
donošenja	donošenje	Ncnsg
rješenja	rješenje	Ncnsg
o	o	Sl
prestanku	prestanak	Ncmsl
obavljanja	obavljanje	Ncnsg
poslova	posao	Ncmpg
posrednika	posrednik	Ncmpg
odnosno	odnosno	Rgp
gubitku	gubitak	Ncmsl
dozvole	dozvola	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
posrednika	posrednik	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Posrednik	posrednik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
bez	bez	Sg
odgode	odgoda	Ncfsg
pisanim	pisan	Agpmsiy
putem	put	Ncmsi
obavijestiti	obavijestiti	Vmn
Ministarstvo	ministarstvo	Ncnsa
o	o	Sl
svakoj	svaki	Pi-fsl
promjeni	promjena	Ncfsl
podataka	podatak	Ncmpg
upisanih	upisati	Appmpgy
u	u	Sa
Očevidnik	očevidnik	Ncmsan
i	i	Cc
zatražiti	zatražiti	Vmn
upis	upis	Ncmsan
nastale	nastao	Agpfsgy
promjene	promjena	Ncfsg
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

Ministarstvo	ministarstvo	Ncnsn
će	htjeti	Var3s
donijeti	donijeti	Vmn
rješenje	rješenje	Ncnsa
o	o	Sl
brisanju	brisanje	Ncnsl
posrednika	posrednik	Ncmpg
iz	iz	Sg
Očevidnika	očevidnik	Ncmsg
na	na	Sa
zahtjev	zahtjev	Ncmsan
posrednika	posrednik	Ncmpg
ili	ili	Cc
po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
kada	kada	Cs
posrednik	posrednik	Ncmsn
umre	umrijeti	Vmr3s
ili	ili	Cc
prestane	prestati	Vmr3s
biti	biti	Van
dostojan	dostojan	Agpmsnn
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
posrednika	posrednik	Ncmpg
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
prvog	prvi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
01/15	01/15	Mdc
-	-	Z
01/147	01/147	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
514	514	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
02	02	Mdc
-	-	Z
15	15	Mdc
-	-	Z
02	02	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
18.	18.	Mdo
siječnja	siječanj	Ncmsg
2016.	2016.	Mdo

Ministar	ministar	Ncmsn
Orsat	Orsat	Npmsn
Miljenić	Miljenić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

