AGRONET	AGRONET	Npmsn
svu	sav	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
propisanu	propisati	Appfsay
Natječajem	natječaj	Ncmsi
.	.	Z

Dokumentacija	dokumentacija	Ncfsn
koju	koji	Pi-fsa
je	biti	Var3s
obvezno	obvezno	Rgp
dostaviti	dostaviti	Vmn
i	i	Cc
u	u	Sl
izvorniku	izvornik	Ncmsl
propisuje	propisivati	Vmr3s
se	sebe	Px--sa
Natječajem	natječaj	Ncmsi
.	.	Z

(	(	Z
13	13	Mdc
)	)	Z
Nakon	nakon	Sg
podnošenja	podnošenje	Ncnsg
elektronskog	elektronski	Agpmsgy
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
/	/	Z
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
u	u	Sl
AGRONET-u	AGRONET	Npmsl
,	,	Z
korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
u	u	Sl
roku	rok	Ncmsl
propisanom	propisati	Agpmsly
Natječajem	Natječaji	Npmsl
osobno	osobno	Rgp
ili	ili	Cc
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
dostaviti	dostaviti	Vmn
ovjerenu	ovjeriti	Agpfsay
Potvrdu	potvrda	Ncfsa
o	o	Sl
podnošenju	podnošenje	Ncnsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
/	/	Z
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
,	,	Z
zajedno	zajedno	Rgp
s	sa	Si
propisanom	propisati	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
u	u	Sl
izvorniku	izvornik	Ncmsl
u	u	Sl
papirnatom	papirnat	Agpmsly
obliku	oblik	Ncmsl
na	na	Sa
adresu	adresa	Ncfsa
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

(	(	Z
14	14	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
podrazumijeva	podrazumijevati	Vmr3s
Potvrdu	potvrda	Ncfsa
o	o	Sl
podnošenju	podnošenje	Ncnsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
