inženjerijska	inženjerijski	Agpfsny
oprema	oprema	Ncfsn
posebno	posebno	Rgp
namijenjena	namijeniti	Appfsny
korištenju	korištenje	Ncnsd
u	u	Sl
borbenom	borben	Agpnsly
području	područje	Ncnsl
;	;	Z

e.	e.	Mro
»	»	Z
Roboti	robot	Ncmpn
«	«	Z
,	,	Z
kontrolori	kontrolor	Ncmpn
»	»	Z
robota	robot	Ncmsg
«	«	Z
,	,	Z
»	»	Z
krajnje	krajnji	Agpfsgy
jedinice	jedinica	Ncfsg
«	«	Z
koji	koji	Pi-mpn
imaju	imati	Vmr3p
bilo	bilo	Qo
koju	koji	Pi-fsa
od	od	Sg
sljedećih	sljedeći	Agpfpgy
značajki	značajka	Ncfpg
:	:	Z

1.	1.	Mdo
Posebno	posebno	Rgp
su	biti	Var3p
namijenjeni	namijeniti	Appmpny
vojnoj	vojni	Agpfsly
uporabi	uporaba	Ncfsl
;	;	Z

2.	2.	Mdo
Uključuju	uključivati	Vmr3p
sredstva	sredstvo	Ncnpa
za	za	Sa
zaštitu	zaštita	Ncfsa
hidrauličnih	hidrauličan	Agpfpgy
linija	linija	Ncfpg
od	od	Sg
puknuća	puknuće	Ncnsg
uzrokovanih	uzrokovati	Appfpgy
balističkim	balistički	Agpmpiy
fragmentima	fragment	Ncmpi
(	(	Z
npr.	npr.	Y
uključuju	uključivati	Vmr3p
samoljepljive	samoljepljiv	Agpfpny
linije	linija	Ncfpn
)	)	Z
te	te	Cc
koriste	koristiti	Vmr3p
hidrauličke	hidraulički	Agpfpay
tekućine	tekućina	Ncfpa
točke	točka	Ncfsg
žarišta	žarište	Ncnsg
veće	velik	Agcfpny
od	od	Sg
839	839	Mdc
K	k	Y
(	(	Z
566	566	Mdc
°	°	Z
C	C	X
)	)	Z
;	;	Z
ili	ili	Cc

3.	3.	Mdo
Posebno	posebno	Rgp
su	biti	Var3p
konstruirani	konstruirati	Appmpny
ili	ili	Cc
vrednovani	vrednovati	Agpmpny
za	za	Sa
rad	rad	Ncmsan
u	u	Sl
okruženju	okruženje	Ncnsl
elektromagnetskog	elektromagnetski	Agpmsgy
impulsa	impuls	Ncmsg
(	(	Z
EMP	EMP	Npmsn
)	)	Z
;	;	Z

Tehnička	tehnički	Agpfsny
napomena	napomena	Ncfsn

Elektromagnetski	elektromagnetski	Agpmsny
impuls	impuls	Ncmsn
ne	ne	Qz
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
uzajamni	uzajaman	Agpmsayn
nenamjerni	nenamjeran	Agpmsayn
utjecaj	utjecaj	Ncmsan
uzrokovan	uzrokovati	Appmsnn
elektromagnetskom	elektromagnetski	Agpfsiy
radijacijom	radijacija	Ncfsi
obližnje	obližnji	Agpfsgy
opreme	oprema	Ncfsg
(	(	Z
npr.	npr.	Y
strojeva	stroj	Ncmpg
,	,	Z
naprava	naprava	Ncfsn
ili	ili	Cc
elektroničkih	elektronički	Agpmpgy
uređaja	uređaj	Ncmpg
)	)	Z
ili	ili	Cc
udarom	udar	Ncmsi
groma	grom	Ncmsg
.	.	Z

f.	f.	I
»	»	Z
Knjižnice	knjižnica	Ncfpn
«	«	Z
posebno	posebno	Rgp
izrađene	izraditi	Appfpny
ili	ili	Cc
izmijenjene	izmijeniti	Agpfpny
za	za	Sa
vojnu	vojni	Agpfsay
uporabu	uporaba	Ncfsa
sa	sa	Si
sustavima	sustav	Ncmpi
,	,	Z
opremom	oprema	Ncfsi
ili	ili	Cc
komponentama	komponenta	Ncfpi
,	,	Z
kako	kako	Cs
su	biti	Var3p
navedene	navesti	Appfpny
u	u	Sl
Zajedničkom	zajednički	Agpmsly
popisu	popis	Ncmsl
robe	roba	Ncfsg
vojne	vojni	Agpfsgy
namjene	namjena	Ncfsg
EU-a	EU	Npmsg
;	;	Z

g.	g.	Y
Nuklearna	nuklearan	Agpfsny
oprema	oprema	Ncfsn
ili	ili	Cc
pogonska	pogonski	Agpfsny
oprema	oprema	Ncfsn
,	,	Z
uključujući	uključivati	Rr
»	»	Z
nuklearne	nuklearan	Agpmpay
reaktore	reaktor	Ncmpa
«	«	Z
posebno	posebno	Rgp
konstruirane	konstruirati	Appmpay
za	za	Sa
vojnu	vojni	Agpfsay
uporabu	uporaba	Ncfsa
te	te	Cc
posebno	posebno	Rgp
izrađene	izraditi	Appmpay
ili	ili	Cc
,	,	Z
izmijenjene	izmijeniti	Appfpny
’	’	Z
komponente	komponenta	Ncfsg
za	za	Sa
vojnu	vojni	Agpfsay
uporabu	uporaba	Ncfsa
;	;	Z

h.	hi	Agpfsny
Oprema	oprema	Ncfsn
i	i	Cc
materijal	materijal	Ncmsn
,	,	Z
presvučen	presvući	Appmsnn
ili	ili	Cc
tretiran	tretirati	Appmsnn
za	za	Sa
smanjivanje	smanjivanje	Ncnsa
mogućnosti	mogućnost	Ncfsg
otkrivanja	otkrivanje	Ncnsg
položaja	položaj	Ncmpg
,	,	Z
posebno	posebno	Rgp
izrađeni	izraditi	Appmpny
za	za	Sa
vojnu	vojni	Agpfsay
uporabu	uporaba	Ncfsa
,	,	Z
osim	osim	Sg
onih	onaj	Pd-mpg
navedenih	naveden	Agpmpgy
drugdje	drugdje	Rgp
u	u	Sl
Zajedničkom	zajednički	Agpmsly
popisu	popis	Ncmsl
robe	roba	Ncfsg
vojne	vojni	Agpfsgy
namjene	namjena	Ncfsg
EU-a	EU	Npmsg
;	;	Z

i.	i.	Pd-mpn
Simulatori	simulator	Ncmpn
posebno	posebno	Rgp
izrađeni	izraditi	Appmpny
za	za	Sa
vojne	vojni	Agpmpay
»	»	Z
nuklearne	nuklearan	Agpmpay
reaktore	reaktor	Ncmpa
«	«	Z
;	;	Z

j.	ji	Agpfpny
Pokretne	pokretan	Agpfpny
radionice	radionica	Ncfpn
posebno	posebno	Rgp
izrađene	izraditi	Appfsgy
ili	ili	Cc
,	,	Z
izmijenjene	izmijeniti	Appfpny
’	’	Z
za	za	Sa
servisiranje	servisiranje	Ncnsa
vojne	vojni	Agpfsgy
opreme	oprema	Ncfsg
;	;	Z

k.	k.	Mdo
Terenski	terenski	Agpmpny
generatori	generator	Ncmpn
posebno	posebno	Rgp
izrađeni	izraditi	Appmpny
ili	ili	Cc
,	,	Z
izmijenjeni	izmijeniti	Appmpny
’	’	Z
za	za	Sa
vojnu	vojni	Agpfsay
uporabu	uporaba	Ncfsa
;	;	Z

l.	l.	Agpmpny
Spremnici	spremnik	Ncmpn
,	,	Z
posebno	posebno	Rgp
izrađeni	izraditi	Appmpny
ili	ili	Cc
,	,	Z
izmijenjeni	izmijeniti	Appmpny
’	’	Z
za	za	Sa
vojnu	vojni	Agpfsay
uporabu	uporaba	Ncfsa
;	;	Z

m.	m.	Agpmpny
Trajekti	trajekt	Ncmpn
,	,	Z
