dvostrukog	dvostruk	Agpnsgy
financiranja	financiranje	Ncnsg

–	–	Z
da	da	Cs
se	sebe	Px--sa
,	,	Z
uvažavajući	uvažavati	Rr
odredbe	odredba	Ncfpa
Zakona	zakon	Ncmsg
o	o	Sl
javnoj	javan	Agpfsly
nabavi	nabava	Ncfsl
i	i	Cc
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
utvrdi	utvrditi	Vmr3s
da	da	Cs
dokumentacija	dokumentacija	Ncfsn
iz	iz	Sg
provedenog	provesti	Agpmsgy
postupka	postupak	Ncmsg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
nije	biti	Var3s
dostavljena	dostaviti	Appfsny
Agenciji	agencija	Ncfsl
za	za	Sa
plaćanja	plaćanje	Ncnpa
i	i	Cc
/	/	Z
ili	ili	Cc
nije	biti	Var3s
prihvatljiva	prihvatljiv	Agpfsny
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
proveo	provesti	Vmp-sm
više	mnogo	Rgc
postupaka	postupak	Ncmpg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
unutar	unutar	Sg
jednog	jedan	Mlcmsg
zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
a	a	Cc
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
utvrdi	utvrditi	Vmr3s
da	da	Cs
dokumentacija	dokumentacija	Ncfsn
iz	iz	Sg
jednog	jedan	Mlcmsg
od	od	Sg
provedenih	provesti	Appmpgy
postupka	postupak	Ncmsg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
nije	biti	Var3s
dostavljena	dostaviti	Appfsny
Agenciji	agencija	Ncfsl
za	za	Sa
plaćanja	plaćanje	Ncnpa
i	i	Cc
/	/	Z
ili	ili	Cc
nije	biti	Var3s
prihvatljiva	prihvatljiv	Agpnsny
za	za	Sa
odobrenje	odobrenje	Ncnsa
,	,	Z
uvažavajući	uvažavati	Rr
odredbe	odredba	Ncfpa
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
kao	kao	Cs
i	i	Qo
posebne	poseban	Agpmpay
propise	propis	Ncmpa
koji	koji	Pi-mpn
uređuju	uređivati	Vmr3p
javnu	javan	Agpfsay
nabavu	nabava	Ncfsa
,	,	Z
donijet	donijeti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
odluka	odluka	Ncfsn
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
ili	ili	Cc
odluka	odluka	Ncfsn
o	o	Sl
odbijanju	odbijanje	Ncnsl
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
cilj	cilj	Ncmsan
ove	ovaj	Pd-fsg
potpore	potpora	Ncfsg
sukladno	sukladno	Rgp
