dužan	dužan	Agpmsnn
prijaviti	prijaviti	Vmn
Agenciji	agencija	Ncfsd
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
njihova	njihov	Ps3msg
nastanka	nastanak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
promjena	promjena	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
može	moći	Vmr3s
uskladiti	uskladiti	Vmn
granice	granica	Ncfpa
ARKOD	arkoi	Agpfpay
parcele	parcela	Ncfpa
određenog	određen	Agpmsgy
poljoprivrednika	poljoprivrednik	Ncmsg
čime	što	Pi3n-i
se	sebe	Px--sa
površina	površina	Ncfsn
pojedine	pojedini	Agpfsgy
ARKOD	ARKOD	Sg
parcele	parcela	Ncfsg
ne	ne	Qz
povećava	povećavati	Vmr3s
za	za	Sa
više	mnogo	Rgc
od	od	Sg
20	20	Mdc
%	%	Z
,	,	Z
a	a	Cc
da	da	Cs
pri	pri	Sl
tome	taj	Pd-nsl
ne	ne	Qz
poziva	pozivati	Vmr3s
poljoprivrednika	poljoprivrednik	Ncmpg
na	na	Sa
sastanak	sastanak	Ncmsan
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
promjene	promjena	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
može	moći	Vmr3s
uskladiti	uskladiti	Vmn
granice	granica	Ncfpa
i	i	Cc
druge	drugi	Mlompa
podatke	podatak	Ncmpa
pojedine	pojedini	Agpfpay
ARKOD	arkoa	Ncfpa
parcele	parcela	Ncfsg
,	,	Z
a	a	Cc
da	da	Cs
pri	pri	Sl
tome	taj	Pd-nsl
ne	ne	Qz
poziva	pozivati	Vmr3s
poljoprivrednika	poljoprivrednik	Ncmpg
na	na	Sa
sastanak	sastanak	Ncmsan
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Promjene	promjena	Ncfpn
su	biti	Var3p
poljoprivrednicima	poljoprivrednik	Ncmpi
vidljive	vidljiv	Agpfpny
u	u	Sl
ARKOD	arko	Ncmsl
pregledniku	preglednik	Ncmsl
i	i	Cc
AGRONET-u	AGRONET	Npmsl
.	.	Z

Ekološki	ekološki	Rgp
značajne	značajan	Agpfsgy
površine	površina	Ncfsg

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Unutar	unutar	Sg
ARKOD	ARKO	Npmsg
sustava	sustav	Ncmsg
vodi	voditi	Vmr3s
se	sebe	Px--sa
evidencija	evidencija	Ncfsn
stabilnih	stabilan	Agpmpgy
elemenata	element	Ncmpg
EZP-a	EZP	Npmsg
koja	koji	Pi-fsn
uključuje	uključivati	Vmr3s
sljedeće	sljedeći	Agpmpay
elemente	element	Ncmpa
:	:	Z

–	i	Agpnsgy
obilježja	obilježje	Ncnsg
krajobraza	krajobraz	Ncmsg
,	,	Z

–	i	Agpmpay
pojaseve	pojas	Ncmpa
prihvatljivih	prihvatljiv	Agpmpgy
hektara	hektar	Ncmpg
uz	uz	Sa
rubove	rub	Ncmpa
šuma	šum	Ncmsg
,	,	Z

–	i	Agpmpay
rubne	rubni	Agpmpay
pojaseve	pojas	Ncmpa
duž	duž	Sg
vodotoka	vodotok	Ncmsg
i	i	Cc
stajaćih	stajaći	Agpfpgy
voda	voda	Ncfpg
,	,	Z

–	–	Sg
površine	površina	Ncfsg
pod	pod	Si
kulturama	kultura	Ncfpi
kratkih	kratak	Agpfpgy
ophodnji	ophodnja	Ncfpg
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
se	sebe	Px--sa
ne	ne	Qz
primjenjuje	primjenjivati	Vmr3s
gnojidba	gnojidba	Ncfsn
niti	niti	Cc
uporaba	uporaba	Ncfsn
zaštitnih	zaštitni	Agpnpgy
sredstva	sredstvo	Ncnpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
