III	III	Mrc
.	.	Z

Protustranke	protustranka	Ncfpn

5.	5.	Mdo
Izvještajne	izvještajni	Agpfpny
institucije	institucija	Ncfpn
podatke	podatak	Ncmpa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
ovom	ovaj	Pd-fsi
Uputom	uputa	Ncfsi
dostavljaju	dostavljati	Vmr3p
za	za	Sa
sve	sav	Agpfpay
protustranke	protustranka	Ncfpa
(	(	Z
rezidente	rezident	Ncmpa
i	i	Cc
nerezidente	nerezident	Ncmpa
)	)	Z
.	.	Z

Protustrankom	Protustranko	Npmsi
u	u	Sl
smislu	smisao	Ncmsl
ove	ovaj	Pd-fsg
Upute	uputa	Ncfsg
ne	ne	Qz
smatra	smatrati	Vmr3s
se	sebe	Px--sa
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
(	(	Z
u	u	Sl
nastavku	nastavak	Ncmsl
teksta	tekst	Ncmsg
:	:	Z
HNB	HNB	Npmsn
)	)	Z
.	.	Z

IV	IV	Mrc
.	.	Z

Obuhvat	obuhvat	Ncmsn
podataka	podatak	Ncmpg

6.	6.	Mdo
Svi	sav	Agpmpny
podaci	podatak	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
dostavljaju	dostavljati	Vmr3p
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
ovom	ovaj	Pd-fsi
Uputom	uputa	Ncfsi
odnose	odnositi	Vmr3p
se	sebe	Px--sa
na	na	Sa
pojedinačne	pojedinačan	Agpfpay
transakcije	transakcija	Ncfpa
instrumentima	instrument	Ncmpi
definiranima	definirati	Agpmpiy
Skupinom	skupina	Ncfsi
obilježja	obilježje	Ncnsg
B	b	X
,	,	Z
obilježje	obilježje	Ncnsn
9.	9.	Mdo
Instrument	instrument	Ncmsn
,	,	Z
koje	koji	Pi-fpn
su	biti	Var3p
sklopljene	sklopiti	Appfpny
s	sa	Si
protustrankama	protustranka	Ncfpi
iz	iz	Sg
točke	točka	Ncfsg
5.	5.	Mdo
ove	ovaj	Pd-fsg
Upute	uputa	Ncfsg
.	.	Z

Iznimno	iznimno	Rgp
,	,	Z
za	za	Sa
protustranke	protustranki	Agpfpay
fizičke	fizički	Agpfpay
osobe	osoba	Ncfpa
rezidente	rezident	Ncmpa
koji	koji	Pi-mpn
nisu	biti	Var3p
obrtnici	obrtnik	Ncmpn
te	te	Cc
za	za	Sa
fizičke	fizički	Agpfpay
osobe	osoba	Ncfpa
nerezidente	nerezident	Ncmpa
za	za	Sa
instrumente	instrument	Ncmpa
SPT	sti	Appmpay
,	,	Z
PSP	PSP	Npmsn
i	i	Cc
EFK	efk	Agpmpny
podaci	podatak	Ncmpn
se	sebe	Px--sa
dostavljaju	dostavljati	Vmr3p
na	na	Sl
skupnoj	skupni	Agpfsly
osnovi	osnova	Ncfsl
