izvanrednoj	izvanredan	Agpfsly
provjeri	provjera	Ncfsl
osposobljenosti	osposobljenost	Ncfsg
prijavljenog	prijaviti	Appnsgy
tijela	tijelo	Ncnsg
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
to	taj	Pd-nsn
tijelo	tijelo	Ncnsn
ne	ne	Qz
ispunjava	ispunjavati	Vmr3s
uvjete	uvjet	Ncmpa
propisane	propisati	Appmpay
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
,	,	Z
o	o	Sl
tome	taj	Pd-nsl
će	htjeti	Var3s
bez	bez	Sg
odgode	odgoda	Ncfsg
izvijestiti	izvijestiti	Vmn
Ministarstvo	ministarstvo	Ncnsa
.	.	Z

(	(	Z
13	13	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
12.	12.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ministar	ministar	Ncmsn
će	htjeti	Var3s
ukinuti	ukinuti	Vmn
rješenje	rješenje	Ncnsa
o	o	Sl
ovlaštenju	ovlaštenje	Ncnsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
i	i	Cc
to	to	Qo
u	u	Sl
cijelosti	cijelost	Ncfsl
ili	ili	Cc
u	u	Sl
dijelu	dio	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
je	biti	Var3s
ovlašteno	ovlašten	Agpnsny
tijelo	tijelo	Ncnsn
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
prestalo	prestati	Vmp-sn
ispunjavati	ispunjavati	Vmn
propisane	propisati	Agpmpay
uvjete	uvjet	Ncmpa
.	.	Z

(	(	Z
14	14	Mdc
)	)	Z
Popis	popis	Ncmsan
prijavljenih	prijaviti	Appmpgy
tijela	tijelo	Ncnsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
postupka	postupak	Ncmsg
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
radijske	radijski	Agpfsgy
opreme	oprema	Ncfsg
vodi	voditi	Vmr3s
Ministarstvo	ministarstvo	Ncnsn
,	,	Z
koje	koji	Pi-nsn
ga	on	Pp3msa
redovito	redovito	Rgp
dopunjuje	dopunjivati	Vmr3s
i	i	Cc
objavljuje	objavljivati	Vmr3s
na	na	Sl
svojim	svoj	Px-fpl
internetskim	internetski	Agpfply
stranicama	stranica	Ncfpl
.	.	Z

(	(	Z
15	15	Mdc
)	)	Z
Prijavljena	prijaviti	Appnpny
tijela	tijelo	Ncnpn
osiguravaju	osiguravati	Vmr3p
dostupnost	dostupnost	Ncfsa
žalbenog	žalbeni	Agpmsgy
postupka	postupak	Ncmsg
na	na	Sa
svoje	svoj	Px-fpa
odluke	odluka	Ncfpa
.	.	Z

Naknade	naknada	Ncfpn

Članak	članak	Ncmsn
25.	25.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
izdavanje	izdavanje	Ncnsa
rješenja	rješenje	Ncnsg
o	o	Sl
ovlaštenju	ovlaštenje	Ncnsl
iz	iz	Sg
članka	članak	Ncmsg
24.	24.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
plaća	plaćati	Vmr3s
se	sebe	Px--sa
upravna	upravan	Agpfsny
pristojba	pristojba	Ncfsn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
posebnim	poseban	Agpmsiy
propisom	propis	Ncmsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
za	za	Sa
izdavanje	izdavanje	Ncnsa
rješenja	rješenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
plaća	plaćati	Vmr3s
troškove	trošak	Ncmpa
provedbe	provedba	Ncfsg
postupka	postupak	Ncmsg
utvrđivanja	utvrđivanje	Ncnsg
osposobljenosti	osposobljenost	Ncfsg
tijela	tijelo	Ncnsg
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
u	u	Sa
korist	korist	Ncfsa
hrvatskog	hrvatski	Agpnsgy
nacionalnog	nacionalan	Agpnsgy
akreditacijskog	akreditacijski	Agpnsgy
tijela	tijelo	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Troškove	trošak	Ncmpa
provedbe	provedba	Ncfsg
postupka	postupak	Ncmsg
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
