F3	F3	Mds
ili	ili	Cc
F4	fi	Agpfpny
za	za	Sa
pirotehnička	pirotehnički	Agpnpay
sredstva	sredstvo	Ncnpa
za	za	Sa
vatromet	vatromet	Ncmsan
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
,	,	Z
odnosno	odnosno	Rgp
4.	4.	Mdo
kategorije	kategorija	Ncfsg

–	–	Z
T1	T1	Y
ili	ili	Cc
T2	ti	Agpfpny
za	za	Sa
pirotehnička	pirotehnički	Agpnpay
sredstva	sredstvo	Ncnpa
za	za	Sa
primjenu	primjena	Ncfsa
u	u	Sl
kazalištima	kazalište	Ncnpl
kategorije	kategorija	Ncfsg
T1	ti	Agpnsny
,	,	Z
odnosno	odnosno	Rgp
T2	ti	Agpnsny
,	,	Z

–	–	Z
P1	P1	X
ili	ili	Cc
P2	p2	Ncfsn
za	za	Sa
ostala	ostali	Agpnpay
pirotehnička	pirotehnički	Agpnpay
sredstva	sredstvo	Ncnpa
kategorije	kategorija	Ncfsg
P1	P1	Npfsg
,	,	Z
odnosno	odnosno	Rgp
P2	pi	Agpnsny

c	C	Npmsn
)	)	Z
Broja	broj	Ncmsg
obrade	obrada	Ncfsg
koji	koji	Pi-msn
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsa
rabi	rabiti	Vmr3s
za	za	Sa
pirotehničko	pirotehnički	Agpnsay
sredstvo	sredstvo	Ncnsa
.	.	Z

Struktura	struktura	Ncfsn
registracijskog	registracijski	Agpmsgy
broja	broj	Ncmsg
je	biti	Var3s
sljedeća	sljedeći	Agpfsny
:	:	Z
»	»	Z
XXXX-YY-ZZZZ	XXXX-YY-ZZZZ	I
…	…	Z
.	.	Z
«	«	Z
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
se	sebe	Px--sa
XXXX	XXXX	Npmsn
odnosi	odnositi	Vmr3s
na	na	Sa
točku	točka	Ncfsa
a	a	Cc
)	)	Z
,	,	Z
YY	YY	Npmsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
točku	točka	Ncfsa
b	b	Agpmply
)	)	Z
i	i	Cc
ZZZZ	ZZZZ	Npmsn
…	…	Z
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
točku	točka	Ncfsa
c	C	Npmsn
)	)	Z
.	.	Z

