kod	kod	Sg
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
ostvarivati	ostvarivati	Vmn
osobne	osoban	Agpmpay
odnose	odnos	Ncmpa
s	sa	Si
djetetom	dijete	Ncnsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Osobni	osoban	Agpmpny
odnosi	odnos	Ncmpn
s	sa	Si
djetetom	dijete	Ncnsi
mogu	moći	Vmr3p
se	sebe	Px--sa
ostvarivati	ostvarivati	Vmn
neizravno	neizravno	Rgp
korištenjem	korištenje	Ncnsi
različitih	različit	Agpfpgy
komunikacijskih	komunikacijski	Agpnpgy
sredstava	sredstvo	Ncnpg
,	,	Z
slanjem	slanje	Ncnsi
pisama	pismo	Ncmpg
,	,	Z
darova	dar	Ncmpg
i	i	Cc
slično	sličan	Agpnsay
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Osobni	osoban	Agpmpny
odnosi	odnos	Ncmpn
s	sa	Si
djetetom	dijete	Ncnsi
mogu	moći	Vmr3p
se	sebe	Px--sa
ostvarivati	ostvarivati	Vmn
davanjem	davanje	Ncnsi
informacija	informacija	Ncfpg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
osobnim	osoban	Agpnpiy
pravima	pravo	Ncnpi
djeteta	dijete	Ncnsg
,	,	Z
osobi	osoba	Ncfsl
koja	koji	Pi-fsn
na	na	Sa
to	taj	Pd-nsa
ima	imati	Vmr3s
pravo	pravo	Ncnsa
i	i	Cc
djetetu	dijete	Ncnsd
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Informacija	informacija	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
zahtijevati	zahtijevati	Vmn
od	od	Sg
svake	svaki	Pi-fsg
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
skrbi	skrbiti	Vmr3s
o	o	Sl
djetetu	dijete	Ncnsl
,	,	Z
ako	ako	Cs
za	za	Sa
to	taj	Pd-nsa
postoji	postojati	Vmr3s
pravni	pravni	Agpmsny
interes	interes	Ncmsn
i	i	Cc
ako	ako	Cs
to	taj	Pd-nsa
ne	ne	Qz
bi	biti	Vaa3s
bilo	biti	Vap-sn
na	na	Sa
štetu	šteta	Ncfsa
djetetove	djetetov	Agpfsgy
dobrobiti	dobrobit	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
spora	spor	Ncmsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
ostvarivanjem	ostvarivanje	Ncnsi
prava	pravo	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
sud	sud	Ncmsn
će	htjeti	Var3s
u	u	Sl
izvanparničnom	izvanparnični	Agpmsly
postupku	postupak	Ncmsl
na	na	Sa
prijedlog	prijedlog	Ncmsan
djeteta	dijete	Ncnsg
ili	ili	Cc
roditelja	roditelj	Ncmpg
ili	ili	Cc
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
informaciju	informacija	Ncfsa
donijeti	donijeti	Vmn
rješenje	rješenje	Ncnsa
radi	radi	Sg
zaštite	zaštita	Ncfsg
dobrobiti	dobrobit	Ncfsg
djeteta	dijete	Ncnsg
.	.	Z

Sporazum	sporazum	Ncmsn
,	,	Z
provjera	provjera	Ncfsn
sporazuma	sporazum	Ncmsg
i	i	Cc
potvrda	potvrda	Ncfsn
ovršnosti	ovršnost	Ncfsg

Članak	članak	Ncmsn
122.	122.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Roditelji	roditelj	Ncmpn
,	,	Z
srodnici	srodnik	Ncmpn
i	i	Cc
druge	drugi	Mlofpn
osobe	osoba	Ncfpn
iz	iz	Sg
članka	članak	Ncmsg
120.	120.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
mogu	moći	Vmr3p
sklopiti	sklopiti	Vmn
sporazum	sporazum	Ncmsan
o	o	Sl
ostvarivanju	ostvarivanje	Ncnsl
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
s	sa	Si
djetetom	dijete	Ncnsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sporazum	sporazum	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
mora	morati	Vmr3s
biti	biti	Van
sastavljen	sastaviti	Appmsnn
u	u	Sl
pisanom	pisan	Agpmsly
obliku	oblik	Ncmsl
,	,	Z
sadržavati	sadržavati	Vmn
detaljne	detaljan	Agpmpay
podatke	podatak	Ncmpa
o	o	Sl
načinu	način	Ncmsl
,	,	Z
