pravovremene	pravovremen	Agpfpny
i	i	Cc
prihvatljive	prihvatljiv	Agpmpay
zahtjeve	zahtjev	Ncmpa
korisnika	korisnik	Ncmpg
,	,	Z
a	a	Cc
određeni	određen	Agpmpny
su	biti	Var3p
u	u	Sl
Prilogu	Prilog	Npmsl
V.	va	Ncfsl
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kriterije	kriterij	Ncnsn
odabira	odabir	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
prethodno	prethodno	Rgp
odobrava	odobravati	Vmr3s
Odbor	odbor	Ncmsn
za	za	Sa
praćenje	praćenje	Ncnsa
provedbe	provedba	Ncfsg
Programa	program	Ncmsg
ruralnog	ruralan	Agpmsgy
razvoja	razvoj	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
za	za	Sa
razdoblje	razdoblje	Ncnsa
2014.	2014.	Mdo
–	–	Z
2020.	2020.	Mdo

(	(	Z
3	3	Mdc
)	)	Z
Da	da	Cs
bi	biti	Vaa3s
korisnik	korisnik	Ncmsn
bio	biti	Vap-sm
prihvatljiv	prihvatljiv	Agpmsnn
za	za	Sa
dodjelu	dodjela	Ncfsa
potpore	potpora	Ncfsg
,	,	Z
mora	morati	Vmr3s
mu	on	Pp3msd
biti	biti	Van
dodijeljen	dodijeliti	Appmsnn
minimalan	minimalan	Agpmsnn
broj	broj	Ncmsn
bodova	bod	Ncmpg
sukladno	sukladno	Rgp
Prilogu	Prilogu	Npmsn
V.	V.	Npmsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

III	III	Mrc
.	.	Z

ZAHTJEV	zahtjev	Ncmsn
ZA	za	Sa
POTPORU	potpora	Ncfsa
,	,	Z
POSTUPAK	postupak	Ncmsan
OBRADE	obrada	Ncfsg
I	i	Cc
DONOŠENJE	donošenje	Ncnsa
ODLUKE	odluka	Ncfsg

Podnošenje	podnošenje	Ncnsn
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa

Članak	članak	Ncmsn
16.	16.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
se	sebe	Px--sa
podnosi	podnositi	Vmr3s
temeljem	temelj	Ncmsi
natječaja	natječaj	Ncmsg
o	o	Sl
provedbi	provedba	Ncfsl
mjere	mjera	Ncfsg
M04	m0	Agpnpgy
»	»	Z
Ulaganja	ulaganje	Ncnsg
u	u	Sa
fizičku	fizički	Agpfsay
imovinu	imovina	Ncfsa
«	«	Z
,	,	Z
podmjere	podmjer	Ncmpa
4.3.	4.3.	Mds

»	»	Z
Potpora	potpora	Ncfsn
za	za	Sa
ulaganja	ulaganje	Ncnpa
