praš	praš	Qr
.	.	Z
i	i	Cc
otap	otap	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inj	inj	Ncmsan
.	.	Z
,	,	Z
boč	bo	Mlompg
.	.	Z
1	1	Mdc
x500	x500	Mdc
IU	I	Npmsl
FVIII	fviia	Ncfsl
/	/	Z
375	375	Mdc
IU	I	Npmsg
vWF	vW	Npmsg
B02BD06	B02BD0	Npmsg
075	075	Mdc
koagulacijski	koagulacijski	Agpmsny
faktor	faktor	Ncmsn
VIII	viii	Mro
,	,	Z
ljudski	ljudski	Agpmsny
,	,	Z
von	von	Ncmsn
Willebrandov	willebrandov	Aspmsnn
faktor	faktor	Ncmsn
,	,	Z
ljudski	ljudski	Agpmsny
Wilate	Wilate	Npmsn
500	500	Mdc
,	,	Z
500	500	Mdc
IU	I	Npmsg
FVIII	FVII	Npmsg
i	i	Cc
500	500	Mdc
IU	I	Npmsl
vWF	vWF	Pi3n-a
praš	prati	Vmr2s
.	.	Z
i	i	Cc
otap	otap	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inj	inj	Ncmsan
.	.	Z
,	,	Z
boč	bo	Mlompg
.	.	Z
1	1	Mdc
x500	x500	Mdc
IU	I	Npmsl
i	i	Cc
500	500	Mdc
IU	I	Npmsl
B02BD08	b02bd0i	Agpnsny
084	084	Mdc
aktivirani	aktivirati	Appmsayn
rekombinantni	rekombinantan	Agpmsayn
čimbenik	čimbenik	Ncmsan
VII	vii	Mrc
A	a	Cc
NovoSeven	NovoSeven	Npmsn
praš	prati	Vmr2s
.	.	Z
i	i	Cc
otap	otap	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inj	inj	Ncmsan
.	.	Z
,	,	Z
1	1	Mdc
x1	x1	Xf
mg	mg	Xf
(	(	Z
50	50	Mdc
KIU	KI	Npmsl
)	)	Z
B02BD08	b02bd0i	Agpnsny
088	088	Mdc
aktivirani	aktivirati	Appmsayn
rekombinantni	rekombinantan	Agpmsayn
čimbenik	čimbenik	Ncmsan
VII	vii	Mrc
A	a	Cc
NovoSeven	NovoSeven	Npmsn
praš	prati	Vmr2s
.	.	Z
i	i	Cc
otap	otap	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inj	inj	Ncmsan
.	.	Z
,	,	Z
1	1	Mdc
x2	x2	Xf
mg	mg	Xf
(	(	Z
100	100	Mdc
KIU	KI	Npmsl
)	)	Z
B02BD08	b02bd0i	Agpnsny
089	089	Mdc
aktivirani	aktivirati	Appmsayn
rekombinantni	rekombinantan	Agpmsayn
čimbenik	čimbenik	Ncmsan
VII	vii	Mrc
A	a	Cc
NovoSeven	NovoSeven	Npmsn
praš	prati	Vmr2s
.	.	Z
i	i	Cc
otap	otap	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inj	inj	Ncmsan
.	.	Z
,	,	Z
1	1	Mdc
x5	x5	Xf
mg	mg	Xf
(	(	Z
250	250	Mdc
KIU	KI	Npmsl
)	)	Z
B02BD09	B02BD09	Mdc
061	061	Mdc
rekombinantni	rekombinantan	Agpmsny
čimbenik	čimbenik	Ncmsn
IX	IX	Mrc
(	(	Z
nonakog	nonakan	Agpfsny
alfa	alfa	Ncfsn
)	)	Z
BeneFIX	BeneFIX	Pq3n-a
praš	prati	Vmr2s
.	.	Z
i	i	Cc
otap	otap	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
