tercijarnoj	tercijaran	Agpfsly
razini	razina	Ncfsl
bolničke	bolnički	Agpfsgy
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
bavi	baviti	Vmr3s
isključivo	isključivo	Rgp
zbrinjavanjem	zbrinjavanje	Ncnsi
osoba	osoba	Ncfpg
s	sa	Si
duševnim	duševan	Agpfpiy
smetnjama	smetnja	Ncfpi
.	.	Z

Njezin	njezin	Ps3msn
daljnji	daljnji	Agpmsny
razvoj	razvoj	Ncmsn
bit	biti	Van
će	htjeti	Var3s
planiran	planirati	Appmsnn
u	u	Sl
kontekstu	kontekst	Ncmsl
cjelokupnog	cjelokupan	Agpmsgy
razvoja	razvoj	Ncmsg
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
osoba	osoba	Ncfpg
s	sa	Si
duševnim	duševan	Agpfpiy
smetnjama	smetnja	Ncfpi
koji	koji	Pi-mpn
će	htjeti	Var3p
se	sebe	Px--sa
temeljiti	temeljiti	Vmn
na	na	Sl
deinstitucionalizaciji	deinstitucionalizacija	Ncfsl
,	,	Z
jačanju	jačanje	Ncnsl
zaštite	zaštita	Ncfsg
mentalnog	mentalan	Agpnsgy
zdravlja	zdravlje	Ncnsg
u	u	Sl
zajednici	zajednica	Ncfsl
,	,	Z
ali	ali	Cc
i	i	Cc
osuvremenjivanju	osuvremenjivanje	Ncnsl
potrebnih	potreban	Agpmpgy
bolničkih	bolnički	Agpmpgy
kapaciteta	kapacitet	Ncmpg
i	i	Cc
razvoju	razvoj	Ncmsl
referentnih	referentan	Agpmpgy
centara	centar	Ncmpg
u	u	Sl
tom	taj	Pd-nsl
području	područje	Ncnsl
.	.	Z

Ovim	ovaj	Pd-msi
Nacionalnim	nacionalan	Agpmsiy
planom	plan	Ncmsi
obuhvaćene	obuhvatiti	Appfpny
su	biti	Var3p
samo	samo	Rgp
osnovne	osnovan	Agpfpny
djelatnosti	djelatnost	Ncfpn
ali	ali	Cc
ne	ne	Qz
i	i	Qo
poddjelatnosti	poddjelatnost	Ncmpn
.	.	Z

Organizacija	organizacija	Ncfsn
poddjelatnosti	poddjelatnost	Ncfsg
–	–	Z
užih	uzak	Agcfpgy
specijalizacija	specijalizacija	Ncfpg
kao	kao	Cs
i	i	Cc
specijalizacija	specijalizacija	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
odvojene	odvojiti	Appfpny
od	od	Sg
osnovnih	osnovan	Agpfpgy
ali	ali	Cc
koje	koji	Pi-nsn
se	sebe	Px--sa
i	i	Qo
dalje	daleko	Rgc
vežu	vezati	Vmr3p
uz	uz	Sa
osnovne	osnovan	Agpmpay
kapacitete	kapacitet	Ncmpa
(	(	Z
primjerice	primjerice	Rgp
pedijatrijska	pedijatrijski	Agpfsny
infektologija	infektologija	Ncfsn
,	,	Z
dječja	dječji	Agpfsny
i	i	Cc
adolescentna	adolescentni	Agpfsny
psihijatrija	psihijatrija	Ncfsn
i	i	Cc
druge	drugi	Mlofpn
)	)	Z
,	,	Z
nije	biti	Var3s
obuhvaćena	obuhvatiti	Appfsny
ovim	ovaj	Pd-msi
nacionalnim	nacionalan	Agpmsiy
planom	plan	Ncmsi
.	.	Z

