LH074	LH074	Mdm
CMV-DNA	CMV-DNA	Sa
hitno	hitan	Agpnsay
testiranje	testiranje	Ncnsa
39,30	39,30	Mdc
8.646,00	8.646,00	Mdc
LH075	LH075	Mdc
CMV-DNA	cmv-dni	Agpnsay
ultrahitno	ultrahitan	Agpnsay
testiranje	testiranje	Ncnsa
51,59	51,59	Mdc
11.349,80	11.349,80	Mdc
LH076	LH076	Mdc
EBV-DNA	ebv-dn	Ncmpg
20,84	20,84	Mdc
4.584,80	4.584,80	Mdc
LH077	LH077	Mdc
EBV-DNA	EBV-DNA	Sa
hitno	hitan	Agpnsay
testiranje	testiranje	Ncnsa
40,56	40,56	Mdc
8.923,20	8.923,20	Mdc
LH078	LH078	Mdc
EBV-DNA	ebv-dni	Agpnsay
ultrahitno	ultrahitan	Agpnsay
testiranje	testiranje	Ncnsa
53,07	53,07	Mdc
11.675,40	11.675,40	Mdc
LI001	LI001	Mdc
Imunostatus	Imunostatus	Xf
(	(	Z
StAg	StAg	Npmsn
,	,	Z
VGL	VGL	Npmsn
,	,	Z
Nka	Nka	Npfsn
,	,	Z
Grin	Grin	Npmsn
,	,	Z
GrMC	GrMC	Npmsn
,	,	Z
Molin	Molin	Npmsn
,	,	Z
MoMC	MoMC	Npmsn
)	)	Z
određivanje	određivanje	Ncnsn
staničnih	stanični	Agpmpgy
antigena	antigen	Ncmpg
3,85	3,85	Mdc
847,00	847,00	Mdc
LI002	LI002	Mdc
Imunostatus	Imunostatus	Xf
(	(	Z
StAg	StAg	Npmsn
,	,	Z
VGL	VGL	Npmsn
,	,	Z
Nka	Nka	Npfsn
,	,	Z
Grin	Grin	Npmsn
,	,	Z
GrMC	GrMC	Npmsn
,	,	Z
Molin	Molin	Npmsn
,	,	Z
MoMC	MoMC	Npmsn
)	)	Z
LKCI-test	lkci-test	Ncmsan
na	na	Sa
sposobnost	sposobnost	Ncfsa
fagocitoze	fagocitoza	Ncfsg
3,85	3,85	Mdc
847,00	847,00	Mdc
LI003	LI003	Mdc
Imunostatus	Imunostatus	Xf
(	(	Z
StAg	StAg	Npmsn
,	,	Z
VGL	VGL	Npmsn
,	,	Z
Nka	Nka	Npfsn
,	,	Z
Grin	Grin	Npmsn
,	,	Z
GrMC	GrMC	Npmsn
,	,	Z
Molin	Molin	Npmsn
,	,	Z
MoMC	MoMC	Npmsn
)	)	Z
određivanje	određivanje	Ncnsn
fagocitne	fagocitan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
mono	mono	Rgp
3,85	3,85	Mdc
847,00	847,00	Mdc
LI004	LI004	Mdc
Imunostatus	Imunostatus	Xf
(	(	Z
StAg	StAg	Npmsn
,	,	Z
VGL	VGL	Npmsn
,	,	Z
Nka	Nka	Npfsn
,	,	Z
Grin	Grin	Npmsn
,	,	Z
GrMC	GrMC	Npmsn
,	,	Z
Molin	Molin	Npmsn
,	,	Z
MoMC	MoMC	Npmsn
)	)	Z
test	test	Ncmsan
digestije	digestija	Ncfsg
fagocitnih	fagocitan	Agpfpgy
čestica	čestica	Ncfpg
3,85	3,85	Mdc
847,00	847,00	Mdc
LI005	LI005	Mdc
Imunostatus	Imunostatus	Xf
(	(	Z
StAg	StAg	Npmsn
,	,	Z
VGL	VGL	Npmsn
,	,	Z
Nka	Nka	Npfsn
,	,	Z
Grin	Grin	Npmsn
,	,	Z
GrMC	GrMC	Npmsn
,	,	Z
Molin	Molin	Npmsn
,	,	Z
MoMC	MoMC	Npmsn
)	)	Z
određivanje	određivanje	Ncnsn
aktivnosti	aktivnost	Ncfsg
urođeno	urođen	Agpnsny
ubilačke	ubilački	Agpfsgy
3,85	3,85	Mdc
847,00	847,00	Mdc
LI006	LI006	Mdc
Imunostatus	Imunostatus	Xf
(	(	Z
StAg	StAg	Npmsn
,	,	Z
VGL	VGL	Npmsn
,	,	Z
Nka	Nka	Npfsn
,	,	Z
Grin	Grin	Npmsn
,	,	Z
GrMC	GrMC	Npmsn
,	,	Z
Molin	Molin	Npmsn
,	,	Z
MoMC	MoMC	Npmsn
)	)	Z
kvalitativna	kvalitativan	Agpfsny
i	i	Cc
kvantitativna	kvantitativan	Agpfsny
citološka	citološki	Agpfsny
a.	a.	Ncfsn
3,85	3,85	Mdc
847,00	847,00	Mdc
LI007	LI007	Mdc
Interleukin	Interleukin	Npmsn
6	6	Mdc
3,85	3,85	Mdc
847,00	847,00	Mdc
LI008	LI008	Mdc
S-100	S-100	Mdc
3,85	3,85	Mdc
847,00	847,00	Mdc
LI009	LI009	Mdo
Veliki	velik	Agpmpny
granulirani	granulirati	Agpmpny
limfociti	limfocit	Ncmpn
(	(	Z
VGL	VGL	Npmsn
)	)	Z
kvalitativna	kvalitativan	Agpfsny
i	i	Cc
kvantitativna	kvantitativan	Agpfsny
citološka	citološki	Agpfsny
a.	a.	Ncfsn
3,85	3,85	Mdc
847,00	847,00	Mdc
LI010	LI010	Npmsn
TNF	TNF	Npmsn
(	(	Z
interleukin	interleukin	Ncmsn
)	)	Z
4,57	4,57	Mdc
1.005,40	1.005,40	Mdc
LI011	LI011	Mdc
Granulocitna	granulocitan	Agpfsny
ingestija	ingestija	Ncfsn
Lkcl-test	lkcl-teti	Appfsny
na	na	Sa
sposobnost	sposobnost	Ncfsa
fagocitoze	fagocitoza	Ncfsg
1,92	1,92	Mdc
422,40	422,40	Mdc
LI012	LI012	Mdc
Monocitna	monocitan	Agpfsny
ingestija	ingestija	Ncfsn
određivanje	određivanje	Ncnsn
fagocitne	fagocitan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
mono	mono	Rgp
1,92	1,92	Mdc
422,40	422,40	Mdc
LI013	LI013	Mdc
Granulocitna	Granulocitn	Npmsg
mikrobicidnost	mikrobicidnost	Agpmsann
test	test	Ncmsan
digestije	digestije	Ncfpg
fagocitiranih	fagocitirati	Agpfpgy
čestica	čestica	Ncfpg
1,92	1,92	Mdc
422,40	422,40	Mdc
LI014	LI014	Mdc
Monocitna	Monocitna	Npfsn
mikrobicidnost	mikrobicidnost	Ncfsn
Lkcl-test	lkcl-test	Ncfpg
digestije	digestije	Ncfpg
fagocitiranih	fagocitirati	Agpfpgy
čestica	čestica	Ncfpg
1,92	1,92	Mdc
422,40	422,40	Mdc
LI015	LI015	Mdc
Reumatoidni	reumatoidni	Agpmsny
faktor	faktor	Ncmsn
(	(	Z
antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
Fc	i	Agpmsgy
fragmenta	fragment	Ncmsg
imunoglobulina	imunoglobulin	Ncmsg
)	)	Z
0,52	0,52	Mdc
114,40	114,40	Mdc
LI016	LI016	Mdc
Waaler	Waaler	Xf
Rose	rosa	Ncfsg
test	test	Ncmsan
0,52	0,52	Mdc
114,40	114,40	Mdc
LK001	lk001	Agpmsny
Fibrinogen	fibrinogen	Ncmsn
–	–	Z
aktivnost	aktivnost	Ncfsn
0,45	0,45	Mdc
99,00	99,00	Mdc
LK002	LK002	Mdc
Protrombinsko	protrombinski	Agpnsay
vrijeme	vrijeme	Ncnsa
–	–	Z
udjel	udjel	Ncmsn
/	/	Z
omjer	omjer	Ncmsn
–	–	Z
plazma	plazma	Ncfsn
Ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
fakturirati	fakturirati	Vmn
uz	uz	Sa
LK003	LK003	Mdc
0,45	0,45	Mdc
99,00	99,00	Mdc
LK003	LK003	Mdc
Protrombinsko	protrombinski	Agpnsay
vrijeme	vrijeme	Ncnsa
–	–	Z
INR	INR	Npmsn
–	–	Z
plazma	plazma	Ncfsn
Ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
fakturirati	fakturirati	Vmn
uz	uz	Sa
LK002	LK002	Mdc
0,45	0,45	Mdc
99,00	99,00	Mdc
LK004	LK004	Mdc
Trombotest	Trombotest	Xf
–	–	Z
postotak	postotak	Ncmsan
(	(	Z
Trombotest	Trombotest	Npmsn
)	)	Z
0,45	0,45	Mdc
99,00	99,00	Mdc
LK005	LK005	Mdc
Trombotest	Trombotest	Xf
–	–	Z
INR	INR	Npmsn
(	(	Z
Trombotest	Trombotest	Npmsn
)	)	Z
0,45	0,45	Mdc
99,00	99,00	Mdc
LK006	LK006	Mdc
Aktivirano	aktivirati	Appnsny
parcijalno	parcijalan	Agpnsay
tromboplastinsko	tromboplastinski	Agpnsay
vrijeme	vrijeme	Ncnsa
–	–	Z
plazma	plazma	Ncfsn
0,45	0,45	Mdc
99,00	99,00	Mdc
LK007	LK007	Mdc
Aktivirano	aktivirati	Agpnsny
