plaćene	platiti	Appfpny
razlike	razlika	Ncfpn
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
1.263,93	1.263,93	Mdc
kn	KN	Y
umanjeno	umanjiti	Appnsny
za	za	Sa
troškove	trošak	Ncmpa
telefonske	telefonski	Agpfsgy
linije	linija	Ncfsg
i	i	Cc
preusmjeravanja	preusmjeravanje	Ncnsg
do	do	Sg
raskida	raskid	Ncmsg
svih	sav	Agpmpgy
ugovora	ugovor	Ncmpg
u	u	Sl
prosincu	prosinac	Ncmsl
2013.	2013.	Mdo
(	(	Z
povrat	povrat	Ncmsn
od	od	Sg
ukupno	ukupno	Rgp
cca	ccati	Vmr3s
1.000,00	1.000,00	Mdc
kn	KN	Y
)	)	Z
.	.	Z

Nastavno	nastavno	Rgp
,	,	Z
iz	iz	Sg
spisa	spis	Ncmsg
predmeta	predmet	Ncmsg
razvidno	razvidan	Agpnsny
je	biti	Var3s
da	da	Cs
je	biti	Var3s
operator	operator	Ncmsn
omogućio	omogućiti	Vmp-sm
tužitelju	tužitelj	Ncmsd
raskid	raskid	Ncmsan
pretplatničkog	pretplatnički	Agpmsgy
ugovora	ugovor	Ncmsg
za	za	Sa
MAX2Biz	max2biz	Agpmsayn
paket	paket	Ncmsan
bez	bez	Sg
plaćanja	plaćanje	Ncnsg
naknade	naknada	Ncfsg
za	za	Sa
raskid	raskid	Ncmsan
prije	prije	Sg
isteka	istek	Ncmsg
ugovorne	ugovoran	Agpfsgy
obveze	obveza	Ncfsg
,	,	Z
pretplatnički	pretplatnički	Agpmsny
broj	broj	Ncmsn
01/466	01/466	Mdc
7141	7141	Mdo
je	biti	Var3s
isključen	isključiti	Appmsnn
,	,	Z
izvršeno	izvršiti	Appnsny
je	biti	Var3s
odobrenje	odobrenje	Ncnsn
računa	račun	Ncmsg
za	za	Sa
mjesec	mjesec	Ncmsan
prosinac	prosinac	Ncmsan
2013.	2013.	Mdo
i	i	Cc
mjesec	mjesec	Ncmsan
siječanj	siječanj	Ncmsan
2014.	2014.	Mdo
,	,	Z
sukladno	sukladno	Rgp
zahtjevu	zahtjev	Ncmsl
za	za	Sa
isključenje	isključenje	Ncnsa
od	od	Sg
20.	20.	Mdo
prosinca	prosinac	Ncmsg
2013.	2013.	Mdo

Dakle	dakle	Cc
,	,	Z
prema	prema	Sl
ocjeni	ocjena	Ncfsl
ovoga	ovaj	Pd-msg
suda	sud	Ncmsg
,	,	Z
operator	operator	Ncmsn
je	biti	Var3s
u	u	Sl
cijelosti	cijelost	Ncfsl
postupio	postupiti	Vmp-sm
prema	prema	Sl
zahtjevu	zahtjev	Ncmsl
tužitelja	tužitelj	Ncmpg
,	,	Z
što	što	Cs
sam	biti	Var1s
tužitelj	tužitelj	Ncmsn
ni	ni	Cc
ne	ne	Qz
dovodi	dovoditi	Vmr3s
u	u	Sa
sumnju	sumnja	Ncfsa
,	,	Z
zbog	zbog	Sg
čega	što	Pi3n-g
je	biti	Var3s
pravilno	pravilan	Agpnsny
tuženik	tuženik	Ncmsn
sukladno	sukladan	Agpnsny
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
46.	46.	Mdo
stavak	stavak	Ncmsn
5.	5.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
općem	opći	Agpmsly
upravnom	upravan	Agpmsly
postupku	postupak	Ncmsl
postupak	postupak	Ncmsan
obustavio	obustaviti	Vmp-sm
.	.	Z

Okolnost	okolnost	Ncfsn
da	da	Cs
tuženik	tuženik	Ncmsn
nije	biti	Var3s
u	u	Sl
osporenom	osporiti	Agpnsly
rješenju	rješenje	Ncnsl
naveo	navesti	Vmp-sm
da	da	Cs
operator	operator	Ncmsn
u	u	Sl
snimljenom	snimiti	Agpmsly
telefonskom	telefonski	Agpmsly
razgovoru	razgovor	Ncmsl
nije	biti	Var3s
upozorio	upozoriti	Vmp-sm
tužitelja	tužitelj	Ncmpg
na	na	Sa
ugovornu	ugovoran	Agpfsay
obvezu	obveza	Ncfsa
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
24	24	Mdc
mjeseca	mjesec	Ncmsg
,	,	Z
prema	prema	Sl
ocjeni	ocjena	Ncfsl
suda	sud	Ncmsg
,	,	Z
ne	ne	Qz
dovodi	dovoditi	Vmr3s
do	do	Sg
nezakonitosti	nezakonitost	Ncfsg
osporavanog	osporavati	Agpnsgy
rješenja	rješenje	Ncnsg
,	,	Z
upravo	upravo	Rgp
zbog	zbog	Sg
činjenice	činjenica	Ncfsg
što	što	Pi3n-n
je	biti	Var3s
prigovor	prigovor	Ncmsn
tužitelja	tužitelj	Ncmpg
u	u	Sl
cijelosti	cijelost	Ncfsl
usvojen	usvojiti	Appmsnn
,	,	Z
te	te	Cc
je	biti	Var3s
operator	operator	Ncmsn
u	u	Sl
postupio	postupiti	Vmp-sm
po	po	Sl
postavljenom	postavljen	Agpmsly
zahtjevu	zahtjev	Ncmsl
.	.	Z

Slijedom	slijed	Sg
svega	sav	Agpnsgy
navedenog	naveden	Agpnsgy
,	,	Z
temeljem	temelj	Ncmsi
odredbe	odredba	Ncfsg
članka	članak	Ncmsg
55.	55.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
a	a	Cc
u	u	Sl
svezi	sveza	Ncfsl
s	sa	Si
člankom	članak	Ncmsi
57.	57.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpmply
sporovima	spor	Ncmpl
,	,	Z
odlučeno	odlučiti	Appnsny
je	biti	Var3s
kao	kao	Cs
u	u	Sl
izreci	izreka	Ncfsl
ove	ovaj	Pd-fsg
presude	presuda	Ncfsg
.	.	Z

Na	na	Sl
temelju	temelj	Ncmsl
članka	članak	Ncmsg
14.	14.	Mdo
stavak	stavak	Ncmsn
8.	8.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
elektroničkim	elektronički	Agpfply
komunikacijama	komunikacija	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
:	:	Z
73/08.	73/08.	Mdo
,	,	Z
90/11.	90/11.	Mds
,	,	Z
133/12.	133/12.	Mds
)	)	Z
,	,	Z
ova	ovaj	Pd-fsn
presuda	presuda	Ncfsn
će	htjeti	Var3s
se	sebe	Px--sa
objaviti	objaviti	Vmn
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

UPUTA	uputa	Ncfsn
O	o	Sl
PRAVNOM	pravni	Agpmsly
