provedbe	provedba	Ncfpa

Članak	članak	Ncmsn
4.	4.	Mdo

Potporom	potpora	Ncfsi
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
obuhvaćeni	obuhvatiti	Appmpny
su	biti	Var3p
postupci	postupak	Ncmpn
povlačenja	povlačenje	Ncnsg
s	sa	Sg
tržišta	tržište	Ncnsg
provedeni	provesti	Appmpny
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
8.	8.	Mdo
kolovoza	kolovoz	Ncmsg
2015.	2015.	Mdo
do	do	Sg
datuma	datum	Ncmsg
kada	kada	Cs
će	htjeti	Var3s
količine	količina	Ncfpn
iz	iz	Sg
Priloga	prilog	Ncmsg
I	i	Cc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
biti	biti	Van
iskorištene	iskoristiti	Appfpny
ili	ili	Cc
do	do	Sg
30.	30.	Mdo
lipnja	lipanj	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
tome	taj	Pd-nsl
što	što	Pi3n-n
bude	biti	Var3s
prije	prije	Rgp
.	.	Z

Raspodjela	raspodjela	Ncfsn
maksimalnih	maksimalan	Agpfpgy
količina	količina	Ncfpg
za	za	Sa
Republiku	republika	Ncfsa
Hrvatsku	Hrvatska	Npfsa

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Potpora	potpora	Ncfsn
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
raspoloživa	raspoloživ	Agpfsny
je	biti	Var3s
za	za	Sa
Republiku	republika	Ncfsa
Hrvatsku	Hrvatska	Npfsa
za	za	Sa
količine	količina	Ncfpa
jabuka	jabuka	Ncfpg
i	i	Cc
mandarina	mandarina	Ncfpg
iz	iz	Sg
Priloga	prilog	Ncmsg
I	i	Cc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
povučene	povući	Appfpny
s	sa	Sg
tržišta	tržište	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Potporom	potpora	Ncfsi
će	htjeti	Var3s
biti	biti	Van
pokrivena	pokriti	Appfsny
i	i	Cc
dodatna	dodatan	Agpfsny
količina	količina	Ncfsn
,	,	Z
koja	koji	Pi-fsn
ne	ne	Qz
smije	smjeti	Vmr3s
prijeći	prijeći	Vmn
3.000	3.000	Mdc
t		Ncmpg
,	,	Z
za	za	Sa
postupak	postupak	Ncmsan
povlačenja	povlačenje	Ncnsg
jabuka	jabuka	Ncfpg
s	sa	Sg
tržišta	tržište	Ncnsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

Raspodjela	raspodjela	Ncfsn
količina	količina	Ncfpg
po	po	Sl
proizvođačima	proizvođač	Ncmpl

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Proizvođači	proizvođač	Ncmpn
proizvoda	proizvod	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
mogu	moći	Vmr3p
isporučiti	isporučiti	Vmn
primateljima	primatelj	Ncmpi
proizvoda	proizvod	Ncmpg
povučenih	povući	Appmpgy
s	sa	Sg
tržišta	tržište	Ncnsg
najviše	mnogo	Rgs
10	10	Mdc
%	%	Z
od	od	Sg
ukupnih	ukupan	Agpfpgy
količina	količina	Ncfpg
jabuka	jabuka	Ncfpg
i	i	Cc
mandarina	mandarina	Ncfpg
proizvedenih	proizvesti	Appfpgy
na	na	Sl
vlastitom	vlastit	Agpnsly
gospodarstvu	gospodarstvo	Ncnsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Količina	količina	Ncfsn
proizvoda	proizvod	Ncmpg
koju	koji	Pi-fsa
proizvođači	proizvođač	Ncmpn
mogu	moći	Vmr3p
isporučiti	isporučiti	Vmn
primateljima	primatelj	Ncmpi
proizvoda	proizvod	Ncmpg
povučenih	povući	Appmpgy
s	sa	Sg
tržišta	tržište	Ncnsg
izračunava	izračunavati	Vmr3s
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
regionalnog	regionalan	Agpmsgy
prinosa	prinos	Ncmsg
koji	koji	Pi-msn
za	za	Sa
mandarinu	mandarina	Ncfsa
iznosi	iznositi	Vmr3s
29,5	29,5	Mdc
t	t	X
/	/	Z
ha	ha	I
,	,	Z
a	a	Cc
za	za	Sa
jabuku	jabuka	Ncfsa
22,6	22,6	Mdc
t	t	X
/	/	Z
ha	ha	I
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
u	u	Sl
poljoprivredi	poljoprivreda	Ncfsl
,	,	Z
ribarstvu	ribarstvo	Ncnsl
i	i	Cc
ruralnom	ruralan	Agpmsly
razvoju	razvoj	Ncmsl
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
)	)	Z
raspodijelit	raspodijeliti	Vmn
će	htjeti	Var3s
količine	količina	Ncfpa
iz	iz	Sg
Priloga	prilog	Ncmsg
I	i	Cc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
među	među	Si
proizvođačima	proizvođač	Ncmpi
prema	prema	Sl
redoslijedu	redoslijed	Ncmsl
zaprimanja	zaprimanje	Ncnsg
Obavijesti	obavijest	Ncfsg
o	o	Sl
povlačenju	povlačenje	Ncnsl
s	sa	Sg
tržišta	tržište	Ncnsg
za	za	Sa
slobodnu	slobodan	Agpfsay
distribuciju	distribucija	Ncfsa
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Obavijest	obavijest	Ncfsn
)	)	Z
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Količine	količina	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
proizvođači	proizvođač	Ncmpn
jabuka	jabuka	Ncfpg
i	i	Cc
mandarina	mandarina	Ncfsn
mogu	moći	Vmr3p
isporučivati	isporučivati	Vmn
primateljima	primatelj	Ncmpi
proizvoda	proizvod	Ncmpg
povučenih	povući	Appmpgy
s	sa	Sg
tržišta	tržište	Ncnsg
do	do	Sg
15.	15.	Mdo
studenoga	studeni	Ncmsg
2015.	2015.	Mdo
godine	godina	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
do	do	Sg
datuma	datum	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
količine	količina	Ncfsg
jabuka	jabuka	Ncfpg
i	i	Cc
mandarina	mandarina	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ne	ne	Qz
budu	biti	Var3p
utrošene	utrošiti	Appfpny
,	,	Z
daljnja	daljnji	Agpfsny
raspodjela	raspodjela	Ncfsn
količina	količina	Ncfsn
ide	ići	Vmr3s
po	po	Sl
principu	princip	Ncmsl
tko	tko	Pi3m-n
prvi	prvi	Mlomsn
dostavi	dostaviti	Vmr3s
Obavijest	obavijest	Ncfsn
Agenciji	agencija	Ncfsl
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

Primatelji	primatelj	Ncmpn
proizvoda	proizvod	Ncmpg
povučenih	povući	Appmpgy
s	sa	Sg
tržišta	tržište	Ncnsg

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Primatelji	primatelj	Ncmpn
proizvoda	proizvod	Ncmpg
povučenih	povući	Appmpgy
s	sa	Sg
tržišta	tržište	Ncnsg
su	biti	Var3p
:	:	Z

–	–	Sg
humanitarne	humanitaran	Agpfsgy
organizacije	organizacija	Ncfsg
