normirno	normiran	Agpnsny
tijelo	tijelo	Ncnsn
.	.	Z

Postupci	postupak	Ncmpn
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
radijske	radijski	Agpfsgy
opreme	oprema	Ncfsg

Članak	članak	Ncmsn
19.	19.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Proizvođač	proizvođač	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
provesti	provesti	Agpmsny
postupak	postupak	Ncmsn
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
radijske	radijski	Agpfsgy
opreme	oprema	Ncfsg
sa	sa	Si
svim	sav	Agpmpiy
odgovarajućim	odgovarajući	Agpmpiy
bitnim	bitan	Agpmpiy
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

U	u	Sl
postupku	postupak	Ncmsl
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
uzimaju	uzimati	Vmr3p
se	sebe	Px--sa
u	u	Sa
obzir	obzir	Ncmsan
svi	sav	Agpmpny
radni	radni	Agpmpny
uvjeti	uvjet	Ncmpn
i	i	Cc
sve	sav	Agpfpay
moguće	moguć	Agpfpay
konfiguracije	konfiguracija	Ncfpa
,	,	Z
a	a	Cc
u	u	Sl
ocjenjivanju	ocjenjivanje	Ncnsl
bitnog	bitan	Agpmsgy
zahtjeva	zahtjev	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
uzimaju	uzimati	Vmr3p
se	sebe	Px--sa
u	u	Sa
obzir	obzir	Ncmsan
i	i	Cc
okolnosti	okolnost	Ncfsg
koje	koji	Pi-fpn
se	sebe	Px--sa
mogu	moći	Vmr3p
razumno	razumno	Rgp
predvidjeti	predvidjeti	Vmn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Proizvođač	proizvođač	Ncmsn
može	moći	Vmr3s
dokazivati	dokazivati	Vmn
sukladnost	sukladnost	Ncfsa
radijske	radijski	Agpfsgy
opreme	oprema	Ncfsg
s	sa	Si
bitnim	bitan	Agpmpiy
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točaka	točka	Ncfpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
primjenom	primjena	Ncfsi
jednog	jedan	Mlcmsg
od	od	Sg
postupaka	postupak	Ncmpg
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
iz	iz	Sg
Dodatka	dodatak	Ncmsg
1.	1.	Mdo
,	,	Z
Dodatka	dodatak	Ncmsg
2.	2.	Mdo
i	i	Cc
Dodatka	dodatak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ocjenjivanje	ocjenjivanje	Ncnsn
sukladnosti	sukladnost	Ncfsg
radijske	radijski	Agpfsgy
opreme	oprema	Ncfsg
s	sa	Si
bitnim	bitan	Agpmpiy
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
