najkasnije	kasno	Rgs
do	do	Sg
navršene	navršiti	Agpfsgy
sedme	sedmi	Mlofsg
godine	godina	Ncfsg
života	život	Ncmsg
djeteta	dijete	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
postupku	postupak	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
sud	sud	Ncmsn
će	htjeti	Var3s
,	,	Z
prije	prija	Cs
nego	nego	Cs
što	što	Cs
započne	započeti	Vmr3s
raspravljati	raspravljati	Vmn
i	i	Cc
odlučivati	odlučivati	Vmn
o	o	Sl
zahtjevu	zahtjev	Ncmsl
radi	radi	Sg
osporavanja	osporavanje	Ncnsg
majčinstva	majčinstvo	Ncnsg
odrediti	odrediti	Vmn
,	,	Z
na	na	Sa
trošak	trošak	Ncmsan
tužiteljice	tužiteljica	Ncfsg
,	,	Z
izvođenje	izvođenje	Ncnsn
dokaza	dokaz	Ncmpg
medicinskim	medicinski	Agpnsiy
vještačenjem	vještačenje	Ncnsi
sukladno	sukladno	Rgp
postignućima	postignuće	Ncnpi
suvremene	suvremen	Agpfsgy
medicinske	medicinski	Agpfsgy
znanosti	znanost	Ncfsg
radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
majčinstva	majčinstvo	Ncnsg
tužiteljice	tužiteljica	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ako	ako	Cs
iz	iz	Sg
medicinskog	medicinski	Agpnsgy
vještačenja	vještačenje	Ncnsg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
tužiteljica	tužiteljica	Ncfsn
nije	biti	Var3s
majka	majka	Ncfsn
djeteta	dijete	Ncnsg
kojem	koji	Pi-msd
osporava	osporavati	Vmr3s
majčinstvo	majčinstvo	Ncnsa
,	,	Z
sud	sud	Ncmsn
će	htjeti	Var3s
presudom	presuda	Ncfsi
odbiti	odbiti	Vmn
tužbeni	tužbeni	Agpmsayn
zahtjev	zahtjev	Ncmsan
u	u	Sl
cijelosti	cijelost	Ncfsl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Sud	sud	Ncmsn
će	htjeti	Var3s
nastaviti	nastaviti	Vmn
raspravljati	raspravljati	Vmn
i	i	Cc
odlučivati	odlučivati	Vmn
o	o	Sl
zahtjevima	zahtjev	Ncmpl
radi	radi	Sg
osporavanja	osporavanje	Ncnsg
i	i	Cc
utvrđivanja	utvrđivanje	Ncnsg
majčinstva	majčinstvo	Ncnsg
ako	ako	Cs
iz	iz	Sg
medicinskog	medicinski	Agpnsgy
vještačenja	vještačenje	Ncnsg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
je	biti	Var3s
tužiteljica	tužiteljica	Ncfsn
majka	majka	Ncfsn
djeteta	dijete	Ncnsg
kojemu	koji	Pi-msd
je	biti	Var3s
osporila	osporiti	Vmp-sf
majčinstvo	majčinstvo	Ncnsa
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Sud	sud	Ncmsn
će	htjeti	Var3s
odluku	odluka	Ncfsa
o	o	Sl
oba	oba	Ncfsl
zahtjeva	zahtjev	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
donijeti	donijeti	Vmn
u	u	Sl
jednoj	jedan	Agpfsly
presudi	presuda	Ncfsl
.	.	Z

Nastavak	nastavak	Ncmsn
postupka	postupak	Ncmsg

Članak	članak	Ncmsn
396.	396.	Mdo

Osoba	osoba	Ncfsn
koja	koji	Pi-fsn
ima	imati	Vmr3s
pravni	pravni	Agpmsayn
interes	interes	Ncmsan
može	moći	Vmr3s
nastaviti	nastaviti	Vmn
postupak	postupak	Ncmsan
osporavanja	osporavanje	Ncnsg
majčinstva	majčinstvo	Ncnsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
od	od	Sg
smrti	smrt	Ncfsg
žene	žena	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
pokrenula	pokrenuti	Vmp-sf
postupak	postupak	Ncmsan
ili	ili	Cc
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
mjesec	mjesec	Ncmsan
dana	dan	Ncmpg
od	od	Sg
pravomoćnosti	pravomoćnost	Ncfsg
odluke	odluka	Ncfsg
o	o	Sl
nasljeđivanju	nasljeđivanje	Ncnsl
.	.	Z

Stranke	stranka	Ncfpn
u	u	Sl
postupku	postupak	Ncmsl

Članak	članak	Ncmsn
397.	397.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
postupku	postupak	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
isključivo	isključivo	Rgp
osporava	osporavati	Vmr3s
majčinstvo	majčinstvo	Ncnsa
,	,	Z
stranke	stranka	Ncfpn
su	biti	Var3p
dijete	dijete	Ncnsn
,	,	Z
žena	žena	Ncfpg
čije	čiji	Pi-fpn
se	sebe	Px--sa
majčinstvo	majčinstvo	Ncnsn
osporava	osporavati	Vmr3s
i	i	Cc
otac	otac	Ncmsn
djeteta	dijete	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
postupku	postupak	Ncmsl
u	u	Sl
kojem	koji	Ncfsl
druga	drugi	Mlofsn
žena	žena	Ncfsn
osporava	osporavati	Vmr3s
majčinstvo	majčinstvo	Ncnsa
ženi	žena	Ncfsd
koja	koji	Pi-fsn
je	biti	Var3s
upisana	upisati	Appfsny
u	u	Sa
maticu	matica	Ncfsa
rođenih	roditi	Appmpgy
kao	kao	Cs
majka	majka	Ncfsn
tražeći	tražiti	Rr
istodobno	istodoban	Agpnsay
utvrđivanje	utvrđivanje	Ncnsa
svojega	svoj	Px-nsg
majčinstva	majčinstvo	Ncnsg
,	,	Z
stranke	stranka	Ncfpn
su	biti	Var3p
dijete	dijete	Ncnsn
,	,	Z
žena	žena	Ncfsn
koja	koji	Pi-fsn
sebe	sebe	Px--sa
smatra	smatrati	Vmr3s
majkom	majka	Ncfsi
i	i	Cc
žena	žena	Ncfpg
čije	čiji	Pi-fpn
se	sebe	Px--sa
majčinstvo	majčinstvo	Ncnsn
osporava	osporavati	Vmr3s
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
postupcima	postupak	Ncmpl
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
stranke	stranka	Ncfpn
su	biti	Var3p
i	i	Qo
djetetov	djetetov	Aspmsnn
otac	otac	Ncmsn
i	i	Cc
muškarac	muškarac	Ncmsn
kojega	koji	Ncmsg
bi	biti	Vaa3s
se	sebe	Px--sa
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
majčinstvo	majčinstvo	Ncnsn
,	,	Z
smatralo	smatrati	Vmp-sn
djetetovim	djetetov	Aspmsiy
ocem	oac	Ncmsi
.	.	Z

Djelovanje	djelovanje	Ncnsn
presude	presuda	Ncfsg

Članak	članak	Ncmsn
398.	398.	Mdo

Pravomoćnom	pravomoćan	Agpfsiy
presudom	presuda	Ncfsi
o	o	Sl
osporavanju	osporavanje	Ncnsl
majčinstva	majčinstvo	Ncnsg
smatra	smatrati	Vmr3s
se	sebe	Px--sa
osporenim	osporiti	Agpmsiy
i	i	Cc
očinstvo	očinstvo	Ncnsn
majčina	majčin	Agpmsgn
muža	muž	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
muškarca	muškarac	Ncmsg
čije	čiji	Pi-nsn
je	biti	Var3s
očinstvo	očinstvo	Ncnsn
utvrđeno	utvrditi	Appnsny
priznanjem	priznanje	Ncnsi
.	.	Z

Suparničarstvo	suparničarstv	Agpnsny
,	,	Z
dokazi	dokaz	Ncmpn
i	i	Cc
pravni	pravni	Agpmpny
lijekovi	lijek	Ncmpn

Članak	članak	Ncmsn
399.	399.	Mdo

Na	na	Sa
suparničarstvo	suparničarstvo	Ncnsa
,	,	Z
izvođenje	izvođenje	Ncnsa
dokaza	dokaz	Ncmpg
medicinskim	medicinski	Agpnsiy
vještačenjem	vještačenje	Ncnsi
i	i	Cc
pravne	pravni	Agpmpay
lijekove	lijek	Ncmpa
u	u	Sl
postupcima	postupak	Ncmpl
osporavanja	osporavanje	Ncnsg
majčinstva	majčinstvo	Ncnsg
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
odredbe	odredba	Ncfpn
članaka	članak	Ncmpg
389.	389.	Mdo
,	,	Z
390.	390.	Mdo
i	i	Cc
392.	392.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

c	C	Npmsn
)	)	Z
Postupak	postupak	Ncmsan
radi	radi	Sg
osporavanja	osporavanje	Ncnsg
očinstva	očinstvo	Ncnsg

Tužba	tužba	Ncfsn
djeteta	dijete	Ncnsg

Članak	članak	Ncmsn
400.	400.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Tužbu	tužba	Ncfsa
radi	radi	Sg
osporavanja	osporavanje	Ncnsg
očinstva	očinstvo	Ncnsg
dijete	dijeta	Ncfsg
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
do	do	Sg
navršene	navršiti	Appfpny
dvadeset	dvadeset	Mlc
i	i	Cc
pete	peta	Ncfpa
godine	godina	Ncfsg
života	život	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
dijete	dijete	Ncnsn
maloljetno	maloljetan	Agpnsny
,	,	Z
tužbu	tužba	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
u	u	Sa
njegovo	njegov	Agpnsay
ime	ime	Ncnsa
podnosi	podnositi	Vmr3s
posebni	poseban	Agpmsny
skrbnik	skrbnik	Ncmsn
kojega	koji	Ncmsg
imenuje	imenovati	Vmr3s
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Kad	kad	Agpmsny
posebni	poseban	Agpmsny
skrbnik	skrbnik	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podnese	podnijeti	Vmr3s
tužbu	tužba	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
prestaje	prestajati	Vmr3s
ovlaštenje	ovlaštenje	Ncnsa
roditelja	roditelj	Ncmpg
za	za	Sa
zastupanje	zastupanje	Ncnsa
djeteta	dijete	Ncnsg
u	u	Sl
tom	taj	Pd-msl
postupku	postupak	Ncmsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
dijete	dijete	Ncnsn
punoljetno	punoljetan	Agpnsny
i	i	Cc
lišeno	lišeno	Rgp
poslovne	poslovan	Agpfpay
sposobnosti	sposobnost	Ncfpa
u	u	Sl
dijelu	dio	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
osobna	osoban	Agpnpay
stanja	stanje	Ncnpa
,	,	Z
tužbu	tužba	Ncfsa
u	u	Sa
njegovo	njegov	Agpnsay
ime	ime	Ncnsa
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
njegov	njegov	Ps3msn
zakonski	zakonski	Agpmsny
zastupnik	zastupnik	Ncmsn
.	.	Z

Tužba	tužba	Ncfsn
majčina	majčin	Agpmsgn
muža	muž	Ncmsg

Članak	članak	Ncmsn
401.	401.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Tužbu	tužba	Ncfsa
radi	radi	Sg
osporavanja	osporavanje	Ncnsg
očinstva	očinstvo	Ncnsg
djeteta	dijete	Ncnsg
rođenoga	roditi	Appnsgy
za	za	Sa
vrijeme	vrijeme	Ncnsa
trajanja	trajanje	Ncnsg
braka	brak	Ncmsg
ili	ili	Cc
tijekom	tijekom	Sg
tristo	trista	Ncfsg
dana	dan	Ncmpg
od	od	Sg
prestanka	prestanak	Ncmsg
braka	brak	Ncmsg
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
majčin	majčin	Agpmsann
muž	muž	Ncmsan
ako	ako	Cs
smatra	smatrati	Vmr3s
da	da	Cs
on	on	Pp3msn
nije	biti	Var3s
biološki	biološki	Agpmsny
otac	otac	Ncmsn
,	,	Z
i	i	Cc
to	to	Qo
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
od	od	Sg
dana	dan	Ncmpg
saznanja	saznanje	Ncnsg
za	za	Sa
činjenicu	činjenica	Ncfsa
koja	koji	Pi-fsn
dovodi	dovoditi	Vmr3s
u	u	Sa
sumnju	sumnja	Ncfsa
istinitost	istinitost	Ncfsa
upisanoga	upisati	Agpnsgy
očinstva	očinstvo	Ncnsg
,	,	Z
ali	ali	Cc
najkasnije	kasno	Rgs
do	do	Sg
navršene	navršiti	Ncfsg
sedme	sedmi	Mlofsg
godine	godina	Ncfsg
života	život	Ncmsg
djeteta	dijete	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
majčin	majčin	Agpmsny
muž	muž	Ncmsn
lišen	lišiti	Appmsnn
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
u	u	Sl
dijelu	dio	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
osobna	osoban	Agpnpay
stanja	stanje	Ncnpa
,	,	Z
tužbu	tužba	Ncfsa
radi	radi	Sg
osporavanja	osporavanje	Ncnsg
očinstva	očinstvo	Ncnsg
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
njegov	njegov	Ps3msn
zakonski	zakonski	Agpmsny
zastupnik	zastupnik	Ncmsn
.	.	Z

Tužba	tužba	Ncfsn
muškarca	muškarac	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
priznao	priznati	Vmp-sm
očinstvo	očinstvo	Ncnsa

Članak	članak	Ncmsn
402.	402.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Muškarac	muškarac	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
u	u	Sa
maticu	matica	Ncfsa
rođenih	roditi	Appmpgy
upisan	upisati	Appmsnn
kao	kao	Cs
otac	otac	Ncmsn
djeteta	dijete	Ncnsg
na	na	Sl
temelju	temelj	Ncmsl
priznanja	priznanje	Ncnsg
očinstva	očinstvo	Ncnsg
,	,	Z
a	a	Cc
poslije	poslije	Rgp
je	biti	Var3s
saznao	saznati	Vmp-sm
za	za	Sa
činjenicu	činjenica	Ncfsa
koja	koji	Pi-fsn
isključuje	isključivati	Vmr3s
njegovo	njegov	Agpnsay
očinstvo	očinstvo	Ncnsa
,	,	Z
može	moći	Vmr3s
tužbom	tužba	Ncfsi
osporavati	osporavati	Vmn
svoje	svoj	Px-nsa
očinstvo	očinstvo	Ncnsa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
od	od	Sg
dana	dan	Ncmpg
saznanja	saznanje	Ncnsg
za	za	Sa
tu	taj	Pd-fsa
činjenicu	činjenica	Ncfsa
,	,	Z
ali	ali	Cc
najkasnije	kasno	Rgs
do	do	Sg
navršene	navršiti	Ncfsg
sedme	sedmi	Mlofsg
godine	godina	Ncfsg
života	život	Ncmsg
djeteta	dijete	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Muškarac	muškarac	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
pod	pod	Si
prisilom	prisila	Ncfsi
priznao	priznati	Vmp-sm
očinstvo	očinstvo	Ncnsa
djeteta	dijete	Ncnsg
za	za	Sa
koje	koji	Pi-mpa
tvrdi	tvrditi	Vmr3s
da	da	Cs
ne	ne	Qz
potječe	potjecati	Vmr3s
od	od	Sg
njega	on	Pp3msg
može	moći	Vmr3s
tužbom	tužba	Ncfsi
osporavati	osporavati	Vmn
svoje	svoj	Px-nsa
očinstvo	očinstvo	Ncnsa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
od	od	Sg
priznanja	priznanje	Ncnsg
,	,	Z
a	a	Cc
najkasnije	kasno	Rgs
do	do	Sg
sedme	sedmi	Mlofsg
godine	godina	Ncfsg
života	život	Ncmsg
djeteta	dijete	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
muškarac	muškarac	Ncmsn
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
lišen	lišiti	Appmsnn
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
u	u	Sl
dijelu	dio	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
osobna	osoban	Agpnpay
stanja	stanje	Ncnpa
,	,	Z
tužbu	tužba	Ncfsa
radi	radi	Sg
osporavanja	osporavanje	Ncnsg
očinstva	očinstvo	Ncnsg
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
njegov	njegov	Ps3msn
zakonski	zakonski	Agpmsny
zastupnik	zastupnik	Ncmsn
.	.	Z

Tužba	tužba	Ncfsn
muškarca	muškarac	Ncmsg
koji	koji	Pi-msn
sebe	sebe	Px--sa

