krajnjem	krajnji	Agpmsly
potrošaču	potrošač	Ncmsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Transport	transport	Ncmsn
prirodne	prirodan	Agpfsgy
mineralne	mineralan	Agpfsgy
vode	voda	Ncfsg
od	od	Sg
izvora	izvor	Ncmpg
do	do	Sg
punionice	punionica	Ncfsg
mora	morati	Vmr3s
se	sebe	Px--sa
odvijati	odvijati	Vmn
isključivo	isključivo	Rgp
cjevovodima	cjevovod	Ncmpd
koji	koji	Pi-mpn
moraju	morati	Vmr3p
biti	biti	Van
izrađeni	izraditi	Appmpny
na	na	Sa
način	način	Ncmsan
da	da	Cs
je	biti	Var3s
onemogućeno	onemogućiti	Appnsny
bilo	biti	Vap-sn
kakvo	kakav	Agpnsny
onečišćenje	onečišćenje	Ncnsn
.	.	Z

Onečišćenje	onečišćenje	Ncnsn
tijekom	tijekom	Sg
korištenja	korištenje	Ncnsg
vode	voda	Ncfsg
iz	iz	Sg
izvora	izvor	Ncmsg

Članak	članak	Ncmsn
17.	17.	Mdo

Ako	ako	Cs
se	sebe	Px--sa
tijekom	tijekom	Sg
korištenja	korištenje	Ncnsg
prirodne	prirodan	Agpfsgy
mineralne	mineralan	Agpfsgy
vode	voda	Ncfsg
iz	iz	Sg
izvora	izvor	Ncmsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
voda	voda	Ncfsn
onečišćena	onečistiti	Appfsny
te	te	Cc
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
odstupanje	odstupanje	Ncnsn
od	od	Sg
mikrobioloških	mikrobiološki	Agpmpgy
kriterija	kriterij	Ncmpg
propisanih	propisati	Agpmpgy
člancima	članak	Ncmpi
13.	13.	Mdo
,	,	Z
14.	14.	Mdo
i	i	Cc
15.	15.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
subjekt	subjekt	Ncmsan
u	u	Sl
poslovanju	poslovanje	Ncnsl
s	sa	Si
