alternativnim	alternativan	Agpmpiy
investicijskim	investicijski	Agpmpiy
fondovima	fond	Ncmpi
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
16/13	16/13	Mds
i	i	Cc
143/14	143/14	Mdc
,	,	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
ZAIF	ZAIF	Npmsn
)	)	Z
,	,	Z

7.	7.	Mdo
b.	b.	Y
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
fondovima	fond	Ncmpi
osnovanima	osnovati	Agpmpiy
posebnim	poseban	Agpmpiy
zakonima	zakon	Ncmpi
,	,	Z
nad	nad	Si
čijim	čiji	Pi-msi
je	biti	Var3s
poslovanjem	poslovanje	Agpfsny
Agencija	agencija	Ncfsn
ovlaštena	ovlastiti	Appfsny
za	za	Sa
provođenje	provođenje	Ncnsa
nadzora	nadzor	Ncmsg
,	,	Z

8.	8.	Mdo
leasing-društva	leasing-društva	Ncfsn
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
leasingu	leasing	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
141/13	141/13	Mds
,	,	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
ZOL	ZOL	Npmsn
)	)	Z
,	,	Z
leasing	leasing	Ncmsn
društva	društvo	Ncnsg
iz	iz	Sg
treće	treći	Ncfsg
države	država	Ncfsg
i	i	Cc
leasing	leasing	Ncmsn
društva	društvo	Ncnsg
države	država	Ncfsg
članice	članica	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
46.	46.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ZOL-a	ZOL	Npmsg
koje	koji	Pi-fpn
obavljaju	obavljati	Vmr3p
poslove	posao	Ncmpa
leasinga	leasing	Ncmsg
na	na	Sl
području	područje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	hrvatski	Agpfsgy
preko	preko	Sg
podružnice	podružnica	Ncfsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
48.	48.	Mdo

ZOL-a	ZOL	Npmsg
,	,	Z
kao	kao	Cs
i	i	Qo
leasing	leasing	Ncmsn
društvo	društvo	Ncnsn
države	država	Ncfsg
članice	članica	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
46.	46.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ZOL-a	ZOL-a	Sa
koje	koji	Pi-mpa
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
leasinga	leasing	Ncmsg
na	na	Sl
području	područje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
preko	preko	Sg
podružnice	podružnica	Ncfsg
,	,	Z

9.	9.	Mdo
faktoring-društva	faktoring-društva	Ncfsn
iz	iz	Sg
članka	članak	Ncmsg
20.	20.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
pravne	pravni	Agpfpay
osobe	osoba	Ncfpa
koje	koji	Pi-fpn
obavljaju	obavljati	Vmr3p
poslove	posao	Ncmpa
faktoringa	faktoring	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
117.	117.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
faktoringu	faktoring	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
94/14	94/14	Mds
i	i	Cc
85/15	85/15	Mdc
,	,	Z
dalje	daleko	Rgc
u	u	Sl
tekstu	tekst	Ncmsl
:	:	Z
ZOF	ZOF	Npmsn
)	)	Z
,	,	Z
faktoring-društva	faktoring-društva	Ncfsn
iz	iz	Sg
treće	treći	Mlofsg
države	država	Ncfsg
i	i	Cc
faktoring-društva	faktoring-druš	Ncmpg
iz	iz	Sg
druge	drugi	Mlofsg
države	država	Ncfsg
članice	članica	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
59.	59.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ZOF-a	ZOF	Npmsg
koja	koji	Pi-fsn
obavljaju	obavljati	Vmr3p
poslove	posao	Ncmpa
faktoringa	faktoring	Ncmsg
na	na	Sl
području	područje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	hrvatski	Agpfsgy
putem	put	Sg
podružnice	podružnica	Ncfsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
61.	61.	Mdo

ZOF-a	ZOF-	Npmsay
kao	kao	Cs
i	i	Qo
faktoring-društva	faktoring-društva	Ncfsn
iz	iz	Sg
druge	drugi	Mlofsg
države	država	Ncfsg
članice	članica	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
59.	59.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ZOF-a	ZOF	Npmsg
koja	koji	Pi-fsn
obavljaju	obavljati	Vmr3p
poslove	posao	Ncmpa
faktoringa	faktoring	Ncmsg
na	na	Sl
području	područje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
preko	preko	Sg
podružnice	podružnica	Ncfsg
,	,	Z

10.	10.	Mdo
mirovinska	mirovinski	Agpnpay
osiguravajuća	osiguravajući	Agpnpay
društva	društvo	Ncnpa
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
mirovinskim	mirovinski	Agpnply
osiguravajućim	osiguravajući	Agpnply
društvima	društvo	Ncnpl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
22/14	22/14	Mds
)	)	Z
,	,	Z

11.	11.	Mdo
društva	društvo	Ncnsg
za	za	Sa
dokup	dokup	Ncmsan
mirovina	mirovina	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
doživotnoj	doživotan	Agpfsly
otpremnini	otpremnina	Ncfsl
odnosno	odnosno	Rgp
dokupu	dokup	Ncmsl
mirovine	mirovina	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
153/13	153/13	Mds
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Subjekti	subjekt	Ncmpn
nadzora	nadzor	Ncmsg
Agenciji	Agencija	Npfsd
plaćaju	plaćati	Vmr3p
naknade	naknada	Ncfpa
u	u	Sl
rokovima	rok	Ncmpl
kako	kako	Cs
je	biti	Var3s
uređeno	urediti	Appnsny
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
.	.	Z

Članak	članak	Ncmsn
3.	3.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Naknade	naknada	Ncfpn
su	biti	Var3p
prihod	prihod	Ncmsan
Agencije	agencija	Ncfsg
i	i	Cc
uplaćuju	uplaćivati	Vmr3p
se	sebe	Px--sa
u	u	Sa
korist	korist	Ncfsa
računa	račun	Ncmsg
Agencije	agencija	Ncfsg
:	:	Z
HR91	HR91	X
2390	2390	Mdc
0011	0011	Mdc
1003	1003	Mdc
29373.	29373.	Mdo

(	(	Z
2	2	Mdc
)	)	Z
Naknada	naknada	Ncfsn
mora	morati	Vmr3s
biti	biti	Van
uplaćena	uplatiti	Appfsny
u	u	Sl
punom	pun	Agpmsly
iznosu	iznos	Ncmsl
na	na	Sa
račun	račun	Ncmsan
Agencije	agencija	Ncfsg
bez	bez	Sg
umanjenja	umanjenje	Ncnsg
za	za	Sa
proviziju	provizija	Ncfsa
banke	banka	Ncfsg
i	i	Cc
ostale	ostali	Agpmpay
troškove	trošak	Ncmpa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Agenciji	agencija	Ncfsl
se	sebe	Px--sa
naknade	naknaditi	Vmr3p
uplaćuju	uplaćivati	Vmr3p
mjesečno	mjesečno	Rgp
i	i	Qo
to	to	Qo
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
15	15	Mdc
dana	dan	Ncmpg
od	od	Sg
zadnjeg	zadnji	Agpmsgy
dana	dan	Ncmsg
obračunskog	obračunski	Agpmsgy
mjeseca	mjesec	Ncmsg
ukoliko	ukoliko	Cs
za	za	Sa
pojedine	pojedini	Agpmpay
obveznike	obveznik	Ncmpa
nije	biti	Var3s
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
drugačije	drugačije	Rgp
uređeno	urediti	Appnsny
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Agencija	agencija	Ncfsn
svojom	svoj	Px-fsi
odlukom	odluka	Ncfsi
može	moći	Vmr3s
osloboditi	osloboditi	Vmn
subjekte	subjekt	Ncmpa
nadzora	nadzor	Ncmsg
obveze	obveza	Ncfsg
plaćanja	plaćanje	Ncnsg
naknada	naknada	Ncfpg
za	za	Sa
određeno	određen	Agpnsay
razdoblje	razdoblje	Ncnsa
.	.	Z

Društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
i	i	Cc
društva	društvo	Ncnsg
za	za	Sa
reosiguranje	reosiguranje	Ncnsa

Članak	članak	Ncmsn
4.	4.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
i	i	Cc
društva	društvo	Ncnsg
za	za	Sa
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
dužna	dužan	Agpfsny
su	biti	Var3p
Agenciji	agencija	Ncfsl
platiti	platiti	Vmn
naknadu	naknada	Ncfsa
u	u	Sl
visini	visina	Ncfsl
od	od	Sg
0,6	0,6	Mdc
‰	‰	Z
(	(	Z
tisućinki	tisućinka	Ncfsl
)	)	Z
računano	računati	Appnsny
od	od	Sg
iznosa	iznos	Ncmpg
zaračunate	zaračunati	Vmr2p
bruto	bruti	Agpfsgy
premije	premija	Ncfsg
osiguranja	osiguranje	Ncnsg
odnosno	odnosno	Rgp
reosiguranja	reosiguranje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Naknadu	naknada	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
i	i	Cc
društva	društvo	Ncnsg
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
izračunavaju	izračunavati	Vmr3p
na	na	Sl
temelju	temelj	Ncmsl
podataka	podatak	Ncmpg
o	o	Sl
zaračunatoj	zaračunati	Ncfsl
bruto	bruto	Agpfsly
premiji	premija	Ncfsl
za	za	Sa
svaki	svaki	Pi-msan
mjesec	mjesec	Ncmsan
tekuće	tekući	Agpfsgy
