464,20	464,20	Mdc
LM149	LM149	Mdc
Detekcija	detekcija	Ncfsn
parazitarnih	parazitaran	Agpmpgy
antigena	antigen	Ncmpg
imunokromatografskim	imunokromatografski	Agpmsiy
testom	test	Ncmsi
1,35	1,35	Mdc
297,00	297,00	Mdc
LM150	LM150	Mdc
Detekcija	detekcija	Ncfsn
parazitarnih	parazitaran	Agpmpgy
antigena	antigen	Ncmpg
ostalim	ostali	Agpmpiy
imuno	imuno	Rgp
testovima	test	Ncmpi
1,35	1,35	Mdc
297,00	297,00	Mdc
LM151	LM151	Sa
Krv	krv	Ncfsa
–	–	Z
ITF	ITF	Npmsn
na	na	Sa
malariju	malarija	Ncfsa
1,59	1,59	Mdc
349,80	349,80	Mdc
LM152	LM152	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
–	–	Z
Echinococcus	Echinococcus	Npmsn
RVK	RVK	Npmsn
0,86	0,86	Mdc
189,20	189,20	Mdc
LM153	LM153	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
–	–	Z
Ascaris	Ascaris	Npmsn
lumbricoides	lumbricoidan	Agpfsny
ELISA	elisa	Ncfsn
1,23	1,23	Mdc
270,60	270,60	Mdc
LM154	LM154	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
–	–	Z
Cryptococcus	Cryptococcus	Npmsn
neoformans	neoformansti	Vmr3s
AGL	AGL	Npmsn
.	.	Z
2,09	2,09	Mdc
459,80	459,80	Mdc
LM155	LM155	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
–	–	Z
Echinococcus	Echinococcus	Npmsn
ELISA	elisa	Ncfsn
1,30	1,30	Mdc
286,00	286,00	Mdc
LM156	LM156	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
–	–	Z
Echonococcus	Echonococcus	Npmsn
IFA	IFA	Npmsn
1,69	1,69	Mdc
371,80	371,80	Mdc
LM157	LM157	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
–	–	Z
Entamoeba	entamoeba	Ncfsn
histolytica	histolytici	Agpfsny
