identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
prijavljenog	prijaviti	Agpnsgy
tijela	tijelo	Ncnsg
uključenog	uključen	Agpnsgy
u	u	Sa
fazu	faza	Ncfsa
kontrole	kontrola	Ncfsg
proizvodnje	proizvodnja	Ncfsg
nije	biti	Var3s
stavljen	staviti	Appmsnn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
16.	16.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ili	ili	Cc
nije	biti	Var3s
stavljen	staviti	Appmsnn
;	;	Z

–	–	Agpmpny
natpisi	natpis	Ncmpn
iz	iz	Sg
točke	točka	Ncfsg
1.	1.	Mdo
Dodatka	dodatak	Ncmsg
III	III	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
nisu	biti	Var3p
stavljeni	staviti	Appmpny
ili	ili	Cc
nisu	biti	Var3p
stavljeni	staviti	Appmpny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
16.	16.	Mdo
ili	ili	Cc
točkom	točka	Ncfsi
1.	1.	Mdo
Dodatka	dodatak	Ncmsg
III	III	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

–	–	Z
EU	E	Npmsd
izjava	izjava	Ncfsn
o	o	Sl
sukladnosti	sukladnost	Ncfsl
nije	biti	Var3s
sastavljena	sastaviti	Appfsny
;	;	Z

–	–	Z
EU	E	Npmsd
izjava	izjava	Ncfsn
o	o	Sl
sukladnosti	sukladnost	Ncfsl
nije	biti	Var3s
pravilno	pravilno	Rgp
sastavljena	sastaviti	Appfsny
;	;	Z

–	–	Z
tehnička	tehnički	Agpfsny
dokumentacija	dokumentacija	Ncfsn
je	biti	Var3s
nedostupna	nedostupan	Agpfsny
ili	ili	Cc
nepotpuna	nepotpun	Agpfsny
;	;	Z

–	–	Agpmpny
podaci	podatak	Ncmpn
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
stavka	stavak	Ncmsg
7.	7.	Mdo
ili	ili	Cc
članka	članak	Ncmsg
8.	8.	Mdo
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
nedostaju	nedostajati	Vmr3p
,	,	Z
netočni	netočan	Agpmpny
su	biti	Var3p
ili	ili	Cc
nepotpuni	nepotpun	Agpmpny
;	;	Z

–	–	Npmsn
nije	biti	Var3s
ispunjen	ispuniti	Appmsnn
bilo	bilo	Qo
koji	koji	Pi-msn
drugi	drugi	Mlomsan
administrativni	administrativan	Agpmsayn
zahtjev	zahtjev	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
ili	ili	Cc
članka	članak	Ncmsg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
nesukladnost	nesukladnost	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nastavi	nastaviti	Vmr3s
,	,	Z
nadležno	nadležan	Agpnsny
inspekcijsko	inspekcijski	Agpnsny
tijelo	tijelo	Ncnsn
poduzima	poduzimati	Vmr3s
sve	sav	Agpfpay
odgovarajuće	odgovarajući	Agpfpay
mjere	mjera	Ncfpa
kako	kako	Cs
bi	biti	Vaa3p
se	sebe	Px--sa
ograničila	ograničiti	Vmp-sf
ili	ili	Cc
zabranila	zabraniti	Vmp-sf
posuda	posuda	Ncfsn
stavljena	staviti	Appfsny
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
na	na	Sa
tržište	tržište	Ncnsa
ili	ili	Cc
osiguralo	osigurati	Vmp-sn
njezin	njezin	Agpmsayn
povrat	povrat	Ncmsan
ili	ili	Cc
povlačenje	povlačenje	Ncnsa
s	sa	Sg
tržišta	tržište	Ncnsg
.	.	Z

POGLAVLJE	poglavlje	Ncnsn
VI	vi	Pp2-pn
.	.	Z

