oznaku	oznaka	Ncfsa
.	.	Z

Svi	sav	Agpmpny
označeni	označiti	Agpmpny
kućni	kućni	Agpmpny
ljubimci	ljubimac	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
upisani	upisati	Appmpny
u	u	Sa
Upisnik	upisnik	Ncmsan
kućnih	kućni	Agpmpgy
ljubimaca	ljubimac	Ncmpg
.	.	Z

Prilikom	prilikom	Sg
prvog	prvi	Agpnsgy
cijepljenja	cijepljenje	Ncnsg
i	i	Cc
označavanja	označavanje	Ncnsg
psa	pas	Ncmsg
,	,	Z
posjedniku	posjednik	Ncmsl
mora	morati	Vmr3s
biti	biti	Van
izdana	izdan	Agpfsny
putovnica	putovnica	Ncfsn
za	za	Sa
kućne	kućni	Agpmpay
ljubimce	ljubimac	Ncmpa
.	.	Z

Cijena	cijena	Ncfsn
putovnice	putovnica	Ncfsg
za	za	Sa
kućne	kućni	Agpmpay
ljubimce	ljubimac	Ncmpa
nije	biti	Var3s
uključena	uključen	Agpfsny
u	u	Sa
cijenu	cijena	Ncfsa
cijepljenja	cijepljenje	Ncnsg
psa	pas	Ncmsg
.	.	Z

Novonabavljene	novonabavljen	Agpmpay
kućne	kućni	Agpmpay
ljubimce	ljubimac	Ncmpa
iz	iz	Sg
EU	E	Npmsg
i	i	Cc
trećih	treći	Mlofpg
zemlja	zemlja	Ncfpg
posjednik	posjednik	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
prijaviti	prijaviti	Vmn
,	,	Z
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
14	14	Mdc
dana	dan	Ncmpg
od	od	Sg
nastalog	nastao	Agpmsgy
događaja	događaj	Ncmsg
ovlaštenoj	ovlašten	Agpfsly
veterinarskoj	veterinarski	Agpfsly
organizaciji	organizacija	Ncfsl
ili	ili	Cc
ambulanti	ambulanta	Ncfsl
veterinarske	veterinarski	Agpfsgy
prakse	praksa	Ncfsg
,	,	Z
koje	koji	Pi-fpn
podatke	podatak	Ncmpa
unose	unositi	Vmr3p
u	u	Sa
Upisnik	upisnik	Ncmsan
kućnih	kućni	Agpmpgy
ljubimaca	ljubimac	Ncmpg
.	.	Z

Novonabavljene	novonabavljen	Agpmpay
pse	pas	Ncmpa
posjednik	posjednik	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
prijaviti	prijaviti	Vmn
,	,	Z
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
14	14	Mdc
dana	dan	Ncmpg
od	od	Sg
nastalog	nastao	Agpmsgy
događaja	događaj	Ncmsg
,	,	Z
ovlaštenoj	ovlašten	Agpfsly
veterinarskoj	veterinarski	Agpfsly
organizaciji	organizacija	Ncfsl
ili	ili	Cc
ambulanti	ambulanta	Ncfsl
veterinarske	veterinarski	Agpfsgy
