programa	program	Ncmsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
smještaj	smještaj	Ncmsn
)	)	Z
,	,	Z

4.	4.	Mdo
privremenog	privremen	Agpmsgy
smještaja	smještaj	Ncmsg
u	u	Sl
kriznim	krizan	Agpfply
situacijama	situacija	Ncfpl
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
smještaj	smještaj	Ncmsn
)	)	Z
,	,	Z

5.	5.	Mdo
organiziranog	organiziran	Agpnsgy
stanovanja	stanovanje	Ncnsg
uz	uz	Sa
sveobuhvatnu	sveobuhvatan	Agpfsay
podršku	podrška	Ncfsa
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
organizirano	organiziran	Agpnsny
stanovanje	stanovanje	Ncnsn
)	)	Z
,	,	Z

6.	6.	Mdo
organiziranog	organiziran	Agpnsgy
stanovanja	stanovanje	Ncnsg
uz	uz	Sa
povremenu	povremen	Agpfsay
podršku	podrška	Ncfsa
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
organizirano	organiziran	Agpnsny
stanovanje	stanovanje	Ncnsn
)	)	Z
,	,	Z

7.	7.	Mdo
boravka-timska	boravka-timski	Agpfsny
procjena	procjena	Ncfsn
/	/	Z
dijagnostika	dijagnostika	Ncfsn
,	,	Z
cjelodnevnog	cjelodnevan	Agpmsgy
boravka	boravak	Ncmsg
,	,	Z
poludnevnog	poludnevni	Agpmsgy
boravka	boravak	Ncmsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
boravak	boravak	Ncmsn
u	u	Sl
ustanovi	ustanova	Ncfsl
)	)	Z
,	,	Z

8.	8.	Mdo
poludnevnog	poludnevni	Agpmsgy
boravka	boravak	Ncmsg
u	u	Sl
školi	škola	Ncfsl
,	,	Z

9.	9.	Mdo
savjetovanja	savjetovanje	Ncnsg
i	i	Cc
pomaganja	pomaganje	Ncnsg
nakon	nakon	Sg
izlaska	izlazak	Ncmsg
iz	iz	Sg
skrbi	skrb	Ncfsg
te	te	Cc
savjetovanja	savjetovanje	Ncnsg
i	i	Cc
pomaganja	pomaganje	Ncnsg
primarnih	primaran	Agpfpgy
obitelji	obitelj	Ncfpg
ili	ili	Cc
specijaliziranih	specijalizirati	Appfpgy
udomiteljskih	udomiteljski	Agpfpgy
obitelji	obitelj	Ncfpg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
savjetovanje	savjetovanje	Ncnsn
i	i	Cc
pomaganje	pomaganje	Ncnsa
)	)	Z
.	.	Z

Sadržaj	sadržaj	Ncmsn
evidencije	evidencija	Ncfsg
–	–	Z
usluge	usluga	Ncfpa
smještaja	smještaj	Ncmsg
,	,	Z
organiziranog	organiziran	Agpnsgy
stanovanja	stanovanje	Ncnsg
i	i	Cc
boravka	boravak	Ncmsg

Članak	članak	Ncmsn
20.	20.	Mdo

Pružatelj	pružatelj	Ncmsn
usluga	usluga	Ncfpg
smještaja	smještaj	Ncmsg
,	,	Z
organiziranog	organiziran	Agpnsgy
stanovanja	stanovanje	Ncnsg
i	i	Cc
boravka	boravak	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
voditi	voditi	Vmn
sljedeću	sljedeći	Agpfsay
evidenciju	evidencija	Ncfsa
o	o	Sl
korisnicima	korisnik	Ncmpl
i	i	Cc
vrstama	vrsta	Ncfpl
usluga	usluga	Ncfpg
:	:	Z

1.	1.	Mdo
matična	matičan	Agpfsny
knjiga	knjiga	Ncfsn
korisnika	korisnik	Ncmpg
,	,	Z

2.	2.	Mdo
pomoćna	pomoćan	Agpfsny
knjiga	knjiga	Ncfsn
,	,	Z

3.	3.	Mdo
kartoteka	kartoteka	Ncfsn
osobnih	osoban	Agpmpgy
listova	list	Ncmpg
korisnika	korisnik	Ncmpg
,	,	Z

4.	4.	Mdo
