dužan	dužan	Agpmsnn
je	biti	Var3s
isplaćena	isplatiti	Appfsny
novčana	novčan	Agpnpny
sredstva	sredstvo	Ncnpn
vratiti	vratiti	Vmn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
primitka	primitak	Ncmsg
Odluke	odluka	Ncfsg
o	o	Sl
povratu	povrat	Ncmsl
isplaćenih	isplatiti	Agpnpgy
sredstava	sredstvo	Ncnpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Povrat	povrat	Ncmsn
sredstava	sredstvo	Ncnpg
i	i	Cc
poravnanje	poravnanje	Ncnsa
računa	račun	Ncmpg
propisani	propisati	Appmpny
su	biti	Var3p
Zakonom	zakon	Ncmsi
o	o	Sl
poljoprivredi	poljoprivreda	Ncfsl
.	.	Z

Članak	članak	Ncmsn
24.	24.	Mdo

Odluke	odluka	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
donose	donositi	Vmr3p
temeljem	temelj	Ncmsi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
donosi	donositi	Vmr3s
ravnatelj	ravnatelj	Ncmsn
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
,	,	Z
a	a	Cc
Korisniku	Korisnik	Npmsd
se	sebe	Px--sa
dostavljaju	dostavljati	Vmr3p
preporučenom	preporučiti	Agpfsiy
poštom	pošta	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
.	.	Z

Članak	članak	Ncmsn
25.	25.	Mdo

Prilozi	prilog	Ncmpn
IA	I	Npmsg
.	.	Z
,	,	Z
IB	IB	Npmsn
.	.	Z
,	,	Z
IIA	IIA	Npfsn
.	.	Z
,	,	Z
IIB	IIB	Npmsn
.	.	Z
,	,	Z
III	III	Mrc
.	.	Z
,	,	Z
IV	IV	Mrc
.	.	Z
,	,	Z
V.	V.	Mro
,	,	Z
VI	vi	Pp2-pn
.	.	Z
,	,	Z
tiskani	tiskati	Appmpny
su	biti	Var3p
u	u	Sl
dodatku	dodatak	Ncmsl
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
i	i	Cc
njegov	njegov	Ps3msn
su	biti	Var3p
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
.	.	Z

Članak	članak	Ncmsn
26.	26.	Mdo

Stupanjem	stupanje	Ncnsi
na	na	Sa
snagu	snaga	Ncfsa
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
uvjetima	uvjet	Ncmpl
i	i	Cc
načinu	način	Ncmsl
provedbe	provedba	Ncfsg
mjera	mjera	Ncfpg
Nacionalnog	nacionalan	Agpmsgy
programa	program	Ncmsg
poticanja	poticanje	Ncnsg
provedbe	provedba	Ncfsg
uzgojnih	uzgojan	Agpmpgy
programa	program	Ncmpg
za	za	Sa
toplokrvne	toplokrvan	Agpfpay
pasmine	pasmina	Ncfpa
i	i	Cc
uzgojne	uzgojan	Agpmpay
tipove	tip	Ncmpa
konja	konj	Ncmpg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
za	za	Sa
razdoblje	razdoblje	Ncnsa
od	od	Sg
2015.	2015.	Mdo
do	do	Sg
2020.	2020.	Mdo
godine	godina	Ncfsg
u	u	Sl
2015.	2015.	Mdo
godini	godina	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
128/2015	128/2015	Mds
)	)	Z
.	.	Z

VI	VI	Mrc
.	.	Z

ZAVRŠNE	završan	Agpfpny
ODREDBE	odredba	Ncfpn

Članak	članak	Ncmsn
27.	27.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
320	320	Mdc
-	-	Z
08/14	08/14	Mdc
-	-	Z
01/17	01/17	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
525	525	Mdc
-	-	Z
07/1372	07/1372	Mdc
-	-	Z
16	16	Mdc
-	-	Z
49	49	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
4.	4.	Mdo
listopada	listopad	Ncmsg
2016.	2016.	Mdo

Ministar	ministar	Ncmsn
prof.	prof.	Y
dr.	dr.	Y
sc.	sc.	Y
Davor	Davor	Npmsn
Romić	Romić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

PRILOG	prilog	Ncmsn
I.	I.	Mro
–	–	Z
PRILOG	prilog	Ncmsn
V.	V.	Mro

PRILOG	prilog	Ncmsn
VI	vi	Pp2-pn
.	.	Z

Prihvatljivi	prihvatljiv	Agpmpny
troškovi	trošak	Ncmpn
za	za	Sa
mjere	mjera	Ncfpa
obuhvaćene	obuhvatiti	Appfpay
Programom	program	Ncmsi
su	biti	Var3p
sljedeći	sljedeći	Agpmpny
:	:	Z

1.	1.	Mdo
Mjera	mjera	Ncfsn
poboljšanje	poboljšanje	Ncnsn
učinkovitosti	učinkovitost	Ncfsg
provedbe	provedba	Ncfsg
uzgojnog	uzgojan	Agpmsgy
programa	program	Ncmsg

1.	1.	Mdo
a.	a.	Y
Podmjera	podmjer	Agpfsny
Potpora	potpora	Ncfsn
provedbi	provedba	Ncfpg
ocjene	ocjena	Ncfsg
mladih	mlad	Agpnpgy
grla	grlo	Ncnpg

1.	1.	Mdo
a.	a.	Y
