posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Druga	drugi	Mlofsn
ovlaštena	ovlašten	Agpfsny
osoba	osoba	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
je	biti	Var3s
stručnjak	stručnjak	Ncmsn
u	u	Sl
smislu	smisao	Ncmsl
odredbi	odredba	Ncfsl
carinskog	carinski	Agpnsgy
zakonodavstva	zakonodavstvo	Ncnsg
,	,	Z
a	a	Cc
čije	čiji	Pi-fpn
usluge	usluga	Ncfpn
Carinska	carinski	Agpfsny
uprava	uprava	Ncfsn
može	moći	Vmr3s
koristiti	koristiti	Vmn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
nacionalnim	nacionalan	Agpnsiy
zakonodavstvom	zakonodavstvo	Ncnsi
.	.	Z

Oblik	oblik	Ncmsn
osiguranja	osiguranje	Ncnsg
kojim	koji	Pi-msi
se	sebe	Px--sa
jamči	jamčiti	Vmr3s
plaćanje	plaćanje	Ncnsa
očekivanog	očekivati	Agpmsgy
iznosa	iznos	Ncmsg
troškova	trošak	Ncmpg

Članak	članak	Ncmsn
18.	18.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
u	u	Sl
postupku	postupak	Ncmsl
povodom	povod	Sg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
donošenje	donošenje	Ncnsa
odluke	odluka	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
primjenu	primjena	Ncfsa
carinskog	carinski	Agpnsgy
zakonodavstva	zakonodavstvo	Ncnsg
,	,	Z
posebno	posebno	Rgp
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
odlukama	odluka	Ncfpi
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
33.	33.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
952/2013	952/2013	Mdc
ili	ili	Cc
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
pružanjem	pružanje	Ncnsi
informacija	informacija	Ncfpg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
14.	14.	Mdo
stavkom	stavka	Ncfsi
1.	1.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
952/2013	952/2013	Mdc
,	,	Z
potrebno	potreban	Agpnsny
provesti	provesti	Vmn
analizu	analiza	Ncfsa
ili	ili	Cc
drugo	drugi	Mlonsn
odgovarajuće	odgovarajući	Agpnsay
ispitivanje	ispitivanje	Ncnsa
kod	kod	Sg
