pilote	pilot	Ncmpa
ograničavajuća	ograničavajući	Agpfsny
je	biti	Var3s
bilo	bilo	Qo
kakva	kakav	Pi-fsn
utvrđena	utvrditi	Appfsny
pogreška	pogreška	Ncfsn
refrakcije	refrakcija	Ncfsg
ili	ili	Cc
poremećaja	poremećaj	Ncmsg
binokularnog	binokularni	Agpnsgy
i	i	Cc
kolornog	kolorni	Agpmsgy
vida	vid	Ncmsg
,	,	Z
te	te	Cc
se	sebe	Px--sa
takve	takav	Pd-fpn
osobe	osoba	Ncfpn
ocjenjuju	ocjenjivati	Vmr3p
ocjenom	ocjena	Ncfsi
1.	1.	Mdo

Ad	Ad	Qo
29.2.	29.2.	Mds

Ocjena	ocjena	Ncfsn
sposobnosti	sposobnost	Ncfsg
donosi	donositi	Vmr3s
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
nastalih	nastao	Agpfpgy
promjena	promjena	Ncfpg
(	(	Z
oštećenje	oštećenje	Ncnsn
vida	vid	Ncmsg
,	,	Z
vidnog	vidan	Agpnsgy
polja	polje	Ncnsg
,	,	Z
adaptacije	adaptacija	Ncfsg
i	i	Cc
drugo	drugi	Mlonsn
)	)	Z
.	.	Z

Ad	Ad	Qo
30.1.	30.1.	Mds
,	,	Z
30.2.	30.2.	Mds
,	,	Z
30.3.	30.3.	Mds
,	,	Z
30.4.	30.4.	Mds
i	i	Cc
30.5.	30.5.	Mds

Poremećaji	poremećaj	Ncmpn
refrakcije	refrakcija	Ncfsg
i	i	Cc
akomodacije	akomodacija	Ncfpn
utvrđuju	utvrđivati	Vmr3p
se	sebe	Px--sa
s	sa	Si
korekcijom	korekcija	Ncfsi
.	.	Z

Za	za	Sa
jednostavni	jednostavan	Agpmsayn
astigmatizam	astigmatizam	Ncmsan
sfera	sfera	Ncfsn
je	biti	Var3s
O	o	Sl
,	,	Z
a	a	Cc
cilindri	cilindar	Ncmpn
su	biti	Var3p
+	+	Z
(-)	(-)	Sg
predznaka	predznak	Ncmsg
.	.	Z

Za	za	Sa
mješoviti	mješovit	Agpmsayn
astigmatizam	astigmatizam	Ncmsan
imamo	imati	Vmr1p
različite	različit	Agpmpay
predznake	predznak	Ncmpa
+	+	Z
(-)	(-)	Qr
,	,	Z
a	a	Cc
ocjenjuje	ocjenjivati	Vmr3s
se	sebe	Px--sa
po	po	Sl
cilindričnoj	cilindričan	Agpfsly
dioptriji	dioptrija	Ncfsl
.	.	Z

Za	za	Sa
složeni	složen	Agpmsayn
astigmatizam	astigmatizam	Ncmsan
imamo	imati	Vmr1p
iste	isti	Agpmpay
predznake	predznak	Ncmpa
+	+	Z
(-)	(-)	Qr
,	,	Z
a	a	Cc
ocjenjuje	ocjenjivati	Vmr3s
se	sebe	Px--sa
prema	prema	Sl
zbroju	zbroj	Ncmsl
sfera	sfera	Ncfpg
i	i	Cc
cilindara	cilindar	Ncmpg
.	.	Z

Uz	uz	Sa
ocjenu	ocjena	Ncfsa
4	4	Mdc
i	i	Cc
3	3	Mdc
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
napomena	napomena	Ncfsn
o	o	Sl
obveznom	obvezan	Agpnsly
nošenju	nošenje	Ncnsl
naočala	naočale	Ncfpg
ili	ili	Cc
kontaktnih	kontaktan	Agpfpgy
leća	leća	Ncfpg
.	.	Z

Ad	Ad	Qo
30.1.	30.1.	Mds

Ocjena	ocjena	Ncfsn
4	4	Mdc
za	za	Sa
pripadnike	pripadnik	Ncmpa
iz	iz	Sg
stupca	stupac	Ncmsg
5	5	Mdc
donosi	donositi	Vmr3s
se	sebe	Px--sa
kada	kada	Cs
je	biti	Var3s
oštrina	oštrina	Ncfsn
korigiranog	korigirati	Agpmsgy
vida	vid	Ncmsg
bilo	bilo	Qo
kojeg	koji	Pi-nsg
oka	oko	Ncnsg
minimalno	minimalno	Rgp
0,80.	0,80.	Mds

Kada	kada	Cs
je	biti	Var3s
oštrina	oštrina	Ncfsn
korigiranog	korigirati	Agpmsgy
vida	vid	Ncmsg
pripadnika	pripadnik	Ncmpg
iz	iz	Sg
stupca	stupac	Ncmsg
5	5	Mdc
manja	mali	Agcfsny
od	od	Sg
0,80	0,80	Mdc
,	,	Z
ocjena	ocjena	Ncfsn
se	sebe	Px--sa
donosi	donositi	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
točkom	točka	Ncfsi
37.1.	37.1.	Mds
i	i	Cc
točkom	točka	Ncfsi
