Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
je	biti	Var3s
u	u	Sl
obrazloženju	obrazloženje	Ncnsl
trećestupanjske	trećestupanjski	Agpfsgy
presude	presuda	Ncfsg
naveo	navesti	Vmp-sm
:	:	Z

»	»	Z
Ovaj	ovaj	Pd-msn
prigovor	prigovor	Ncmsn
nije	biti	Var3s
osnovan	osnovati	Appmsnn
niti	niti	Qo
u	u	Sl
pogledu	pogled	Ncmsl
subjektivnog	subjektivan	Agpnsgy
obilježja	obilježje	Ncnsg
kaznenih	kazneni	Agpnpgy
djela	djelo	Ncnpg
za	za	Sa
koja	koji	Pi-npa
je	biti	Var3s
optuženik	optuženik	Ncmsn
proglašen	proglasiti	Appmsnn
krivim	kriv	Agpmsiy
i	i	Cc
osuđen	osuditi	Appmsnn
,	,	Z
odnosno	odnosno	Rgp
njegovog	njegov	Ps3nsg
psihičkog	psihički	Agpnsgy
stanja	stanje	Ncnsg
–	i	Agpfsgy
smanjene	smanjiti	Agpfsgy
ubrojivosti	ubrojivost	Ncfsg
u	u	Sl
znatnom	znatan	Agpmsly
stupnju	stupanj	Ncmsl
,	,	Z
u	u	Sa
vrijeme	vrijeme	Ncnsa
počinjenja	počinjenje	Ncnsg
djela	djelo	Ncnsg
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
istaknut	istaknuti	Appmsnn
u	u	Sl
žalbi	žalba	Ncfsl
.	.	Z

Nije	biti	Var3s
u	u	Sl
pravu	pravo	Ncnsl
žalitelj	žalitelj	Ncmsn
osporavajući	osporavati	Rr
zaključak	zaključak	Ncmsan
prvostupanjskog	prvostupanjski	Agpmsgy
i	i	Cc
s	sa	Si
njime	on	Pp3msi
suglasan	suglasan	Agpmsann
zaključak	zaključak	Ncmsan
drugostupanjskog	drugostupanjski	Agpmsgy
suda	sud	Ncmsg
,	,	Z
da	da	Cs
je	biti	Var3s
smanjena	smanjiti	Appfsny
ubrojivost	ubrojivost	Ncfsn
optuženika	optuženik	Ncmpg
samoskrivljena	samoskrivljena	Ncfpg
.	.	Z

Optuženik	optuženik	Ncmsn
je	biti	Var3s
samovoljno	samovoljan	Agpnsny
,	,	Z
dakle	dakle	Cc
bez	bez	Sg
prisile	prisila	Ncfsg
,	,	Z
pio	piti	Vmp-sm
alkohol	alkohol	Ncmsan
kritičnog	kritičan	Agpmsgy
dana	dan	Ncmsg
.	.	Z

Što	što	Qo
više	mnogo	Rgc
,	,	Z
prema	prema	Sl
vlastitoj	vlastit	Agpfsly
obrani	obrana	Ncfsl
i	i	Cc
s	sa	Si
njom	on	Pp3fsi
suglasnim	suglasan	Agpmsiy
iskazom	iskaz	Ncmsi
svjedokinje	svjedokinja	Ncfsg
Đurđice	Đurđica	Npfsg
Jozić	Jozić	Npfsg
(	(	Z
izvanbračne	izvanbračni	Agpfsgy
supruge	supruga	Ncfsg
