kojeg	koji	Agpmsny
korisnik	korisnik	Ncmsn
može	moći	Vmr3s
preuzeti	preuzeti	Vmn
sa	sa	Sg
službene	služben	Agpfsgy
mrežne	mrežni	Agpfsgy
stranice	stranica	Ncfsg
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
(	(	Z
www.apprrr.hr	www.apprrr.hr	X
)	)	Z
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Promjene	promjena	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
korisnik	korisnik	Ncmsn
mora	morati	Vmr3s
prijaviti	prijaviti	Vmn
najmanje	malo	Rgs
45	45	Mdc
dana	dan	Ncmpg
prije	prije	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
za	za	Sa
podnošenje	podnošenje	Ncnsa
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
,	,	Z
u	u	Sl
protivnom	protivan	Agpmsly
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
izdaje	izdavati	Vmr3s
Pismo	pismo	Ncnsa
odbijanja	odbijanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
promjenu	promjena	Ncfsa
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Predmet	predmet	Ncmsn
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
promjenu	promjena	Ncfsa
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
izmjena	izmjena	Ncfsn
Odluke	odluka	Ncfsg
o	o	Sl
prihvatljivosti	prihvatljivost	Ncfsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Aktivnosti	aktivnost	Ncfpn
vezane	vezan	Agpfsgy
uz	uz	Sa
promjenu	promjena	Ncfsa
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
ne	ne	Qz
smiju	smjeti	Vmr3p
započeti	započeti	Vmn
prije	prije	Sg
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
promjenu	promjena	Ncfsa
,	,	Z
osim	osim	Sg
pripremnih	pripreman	Agpfpgy
aktivnosti	aktivnost	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
23	23	Mdc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
tražio	tražiti	Vmp-sm
promjene	promjena	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
Zahtjev	zahtjev	Ncmsn
za	za	Sa
isplatu	isplata	Ncfsa
moći	moći	Vmn
će	htjeti	Var3s
podnijeti	podnijeti	Vmn
nakon	nakon	Sg
zaprimanja	zaprimanje	Ncnsg
odgovora	odgovor	Ncmsg
od	od	Sg
strane	strana	Ncfsg
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
obrada	obrada	Ncfsn
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
u	u	Sl
tijeku	tijek	Ncmsl
korisnik	korisnik	Ncmsn
neće	htjeti	Var3s
biti	biti	Van
u	u	Sl
mogućnosti	mogućnost	Ncfsl
podnijeti	podnijeti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
promjenu	promjena	Ncfsa
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Uvjeti	uvjet	Ncmpn
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
promjenu	promjena	Ncfsa
putem	put	Sg
AGRONET-a	AGRONET	Npmsg
sustava	sustav	Ncmsg
,	,	Z
uključujući	uključivati	Rr
dokumentaciju	dokumentacija	Ncfsa
