dužničke	dužnički	Agpmpay
vrijednosne	vrijednosan	Agpmpay
papire	papir	Ncmpa
i	i	Cc
instrumente	instrument	Ncmpa
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
30.	30.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Ograničenja	ograničenje	Ncnpn
ulaganja	ulaganje	Ncnsg
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg

Članak	članak	Ncmsn
32.	32.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ulaganja	ulaganje	Ncnsg
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
ne	ne	Qz
smiju	smjeti	Vmr3p
prelaziti	prelaziti	Vmn
sljedeća	sljedeći	Agpnpay
ograničenja	ograničenje	Ncnpa
:	:	Z

1.	1.	Mdo
ulaganja	ulaganje	Ncnsg
u	u	Sa
imovinu	imovina	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
30.	30.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točaka	točka	Ncfpg
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ne	ne	Qz
smiju	smjeti	Vmr3p
prelaziti	prelaziti	Vmn
35	35	Mdc
%	%	Z
traženog	tražen	Agpnsgy
pokrića	pokriće	Ncnsg
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg

2.	2.	Mdo
ulaganja	ulaganje	Ncnsg
u	u	Sa
imovinu	imovina	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
30.	30.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ne	ne	Qz
smiju	smjeti	Vmr3p
prelaziti	prelaziti	Vmn
25	25	Mdc
%	%	Z
traženog	tražen	Agpnsgy
pokrića	pokriće	Ncnsg
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg

3.	3.	Mdo
ulaganja	ulaganje	Ncnsg
u	u	Sa
imovinu	imovina	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
30.	30.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točaka	točka	Ncfpg
6.	6.	Mdo
i	i	Cc
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ne	ne	Qz
smiju	smjeti	Vmr3p
prelaziti	prelaziti	Vmn
40	40	Mdc
%	%	Z
traženog	tražen	Agpnsgy
pokrića	pokriće	Ncnsg
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg

4.	4.	Mdo
ulaganja	ulaganje	Ncnsg
u	u	Sa
imovinu	imovina	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
30.	30.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ne	ne	Qz
smiju	smjeti	Vmr3p
prelaziti	prelaziti	Vmn
20	20	Mdc
%	%	Z
traženog	tražen	Agpnsgy
pokrića	pokriće	Ncnsg
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg

5.	5.	Mdo
ulaganja	ulaganje	Ncnsg
u	u	Sa
imovinu	imovina	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
30.	30.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ne	ne	Qz
smiju	smjeti	Vmr3p
prelaziti	prelaziti	Vmn
10	10	Mdc
%	%	Z
,	,	Z
a	a	Cc
zajedno	zajedno	Rgp
ne	ne	Qz
smiju	smjeti	Vmr3p
prelaziti	prelaziti	Vmn
30	30	Mdc
%	%	Z
traženog	tražen	Agpnsgy
pokrića	pokriće	Ncnsg
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg

6.	6.	Mdo
