uprave	uprava	Ncfsg
.	.	Z

Članak	članak	Ncmsn
7.	7.	Mdo

Obveznici	obveznik	Ncmpn
su	biti	Var3p
prema	prema	Sl
Zakonu	zakon	Ncmsl
o	o	Sl
osiguranju	osiguranje	Ncnsl
(	(	Z
dalje	daleko	Rgc
u	u	Sl
tekstu	tekst	Ncmsl
:	:	Z
ZOS	ZOS	Npmsn
)	)	Z
i	i	Cc
Zakonu	zakon	Ncmsl
o	o	Sl
obveznim	obvezan	Agpnply
osiguranjima	osiguranje	Ncnpl
u	u	Sl
prometu	promet	Ncmsl
(	(	Z
dalje	daleko	Rgc
u	u	Sl
tekstu	tekst	Ncmsl
:	:	Z
ZOOP	ZOOP	Npmsn
)	)	Z
,	,	Z
stranke	stranka	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
Agenciji	Agencija	Npfsd
obraćaju	obraćati	Vmr3p
sa	sa	Si
zahtjevima	zahtjev	Ncmpi
,	,	Z
prijavama	prijava	Ncfpi
za	za	Sa
provjeru	provjera	Ncfsa
stručnih	stručan	Agpnpgy
znanja	znanje	Ncnpg
i	i	Cc
putem	put	Sg
obavijesti	obavijest	Ncfpg
koje	koji	Pi-fpn
dostavljaju	dostavljati	Vmr3p
nadzorna	nadzorni	Agpnpay
tijela	tijelo	Ncnpa
iz	iz	Sg
drugih	drugi	Mlofpg
država	država	Ncfpg
članica	članica	Ncfpg
i	i	Cc
to	taj	Pd-nsn
za	za	Sa
usluge	usluga	Ncfpa
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

Br.	Br.	Y

Administrativna	administrativan	Agpfsny
pristojba	pristojba	Ncfsn
Naknada	naknada	Ncfsn
1.	1.	Mdo
Izdavanje	izdavanje	Ncnsn
odobrenja	odobrenje	Ncnsg
subjektu	subjekt	Ncmsd
posebne	poseban	Agpfsgy
namjene	namjena	Ncfsg
za	za	Sa
preuzimanje	preuzimanje	Ncnsa
rizika	rizik	Ncmsg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosno	Rgp
društva	društvo	Ncnsg
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
–	–	Z
članak	članak	Ncmsn
14.	14.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
ZOS-a	zos-	Ncmsg
2.000,00	2.000,00	Mdc
kn	KN	Ncmsan
20.000,00	20.000,00	Mdc
kn	KN	Ncmsn
2.	2.	Mdo
Izdavanje	izdavanje	Ncnsn
odobrenja	odobrenje	Ncnsg
društvu	društvo	Agpnsny
za	za	Sa
osiguranje	osiguranje	Ncnsa
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
osiguranja	osiguranje	Ncnsg
–	–	Z
članak	članak	Ncmsn
24.	24.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
