U-I-7202	U-I-7202	X
/	/	Z
2014	2014	Mdc
navodi	navoditi	Vmr3s
da	da	Cs
»	»	Z
nema	nemati	Vmr3s
nikakve	nikakav	Agpfsgy
ustavne	ustavan	Agpfsgy
osnove	osnova	Ncfsg
da	da	Cs
se	sebe	Px--sa
ovrhovoditeljevo	ovrhovoditeljev	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
mogućnost	mogućnost	Ncfsa
ispravka	ispravak	Ncmsg
formalne	formalan	Agpfsgy
,	,	Z
tehničke	tehnički	Agpfpay
pogreške	pogreška	Ncfpa
pri	pri	Sl
sastavljanju	sastavljanje	Ncnsl
ovršnog	ovršni	Agpmsgy
prijedloga	prijedlog	Ncmsg
ograničava	ograničavati	Vmr3s
u	u	Sl
toj	taj	Pd-fsl
mjeri	mjera	Ncfsl
da	da	Cs
ono	onaj	Pd-nsn
može	moći	Vmr3s
za	za	Sa
posljedicu	posljedica	Ncfsa
imati	imati	Vmn
potpuni	potpun	Agpmsayn
gubitak	gubitak	Ncmsan
svih	sav	Agpmpgy
vjerovnikovih	vjerovnikov	Ncmpg
prava	pravo	Ncnpg
«	«	Z
.	.	Z

Smatra	smatrati	Vmr3s
da	da	Cs
se	sebe	Px--sa
člankom	članak	Ncmsi
39.	39.	Mdo
stavkom	stavka	Ncfsi
3.	3.	Mdo
Ovršnog	ovršni	Agpmsgy
zakona	zakon	Ncmsg
nakon	nakon	Sg
dugotrajnog	dugotrajan	Agpmsgy
parničnog	parnični	Agpmsgy
postupka	postupak	Ncmsg
ili	ili	Cc
drugog	drugi	Mlomsg
kontradiktornog	kontradiktoran	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
vjerovnika	vjerovnik	Ncmsg
dovodi	dovoditi	Vmr3s
do	do	Sg
toga	taj	Pd-nsg
da	da	Cs
»	»	Z
on	on	Pp3msn
sva	sav	Agpnpay
svoja	svoj	Agpnpay
prava	pravo	Ncnpa
u	u	Sl
potpunosti	potpunost	Ncfsl
izgubi	izgubiti	Vmr3s
zbog	zbog	Sg
eventualnog	eventualan	Agpmsgy
formalnog	formalan	Agpmsgy
propusta	propust	Ncmsg
.	.	Z

Pri	pri	Sl
tome	taj	Pd-nsl
se	sebe	Px--sa
vjerovniku	vjerovnik	Ncmsl
ne	ne	Qz
daje	davati	Vmr3s
mogućnost	mogućnost	Ncfsa
da	da	Cs
eventualnu	eventualan	Agpfsay
formalnu	formalan	Agpfsay
,	,	Z
tehničku	tehnički	Agpfsay
pogrešku	pogreška	Ncfsa
(	(	Z
primjerice	primjerice	Rgp
,	,	Z
pogrešku	pogreška	Ncfsa
u	u	Sl
pisanju	pisanje	Ncnsl
)	)	Z
ispravi	isprava	Ncfsl
,	,	Z
već	već	Rgp
se	sebe	Px--sa
...	...	Z
nameće	nametati	Vmr3s
ograničenje	ograničenje	Ncnsa
koje	koji	Pi-nsn
nema	nemati	Vmr3s
osnove	osnova	Ncfsg
u	u	Sl
Ustavu	ustav	Ncmsl
,	,	Z
što	što	Pi3n-n
u	u	Sl
cijelosti	cijelost	Ncfsl
narušava	narušavati	Vmr3s
i	i	Cc
ustavnopravnu	ustavnopravni	Agpfsay
koncepciju	koncepcija	Ncfsa
prava	pravo	Ncnsg
na	na	Sa
pravično	pravičan	Agpnsay
suđenje	suđenje	Ncnsa
...	...	Z
«	«	Z
.	.	Z

Predlagatelj	predlagatelj	Ncmsn
smatra	smatrati	Vmr3s
da	da	Cs
zbog	zbog	Sg
,	,	Z
primjerice	primjerice	Rgp
,	,	Z
očite	očit	Agpfpny
pogreške	pogreška	Ncfpn
u	u	Sl
pisanju	pisanje	Ncnsl
netočnog	netočan	Agpmsgy
broja	broj	Ncmsg
presude	presuda	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
koje	koji	Pi-nsn
se	sebe	Px--sa
zahtijeva	zahtijevati	Vmr3s
ovrha	ovrha	Ncfsn
ili	ili	Cc
datuma	datum	Ncmsg
donošenja	donošenje	Ncnsg
ovršne	ovršni	Agpfsgy
isprave	isprava	Ncfsg
,	,	Z
mogu	moći	Vmr3p
za	za	Sa
stranku	stranka	Ncfsa
nastati	nastati	Vmn
teške	težak	Agpfpay
materijalnopravne	materijalnopravan	Agpfpay
posljedice	posljedica	Ncfpa
i	i	Cc
velika	velik	Agpfsny
šteta	šteta	Ncfsn
.	.	Z

Stoga	stoga	Rgp
,	,	Z
smatra	smatrati	Vmr3s
da	da	Cs
je	biti	Var3s
sudu	sud	Ncmsd
trebalo	trebati	Vmp-sn
dati	dati	Vmn
ovlast	ovlast	Ncfsa
da	da	Cs
odbaci	odbaciti	Vmr3s
nepotpuni	nepotpun	Agpmsayn
prijedlog	prijedlog	Ncmsan
za	za	Sa
ovrhu	ovrha	Ncfsa
»	»	Z
ali	ali	Cc
tek	tek	Rgp
nakon	nakon	Cs
što	što	Cs
pozove	pozvati	Vmr3s
ovrhovoditelja	ovrhovoditelj	Ncmsay
da	da	Cs
u	u	Sl
primjerenom	primjeren	Agpmsly
roku	rok	Ncmsl
otkloni	otkloniti	Vmm2s
(	(	Z
ispravi	isprava	Ncfsl
)	)	Z
uočeni	uočiti	Appmpny
formalni	formalan	Agpmsayn
nedostatak	nedostatak	Ncmsan
...	...	Z
«	«	Z
.	.	Z

Smatra	smatrati	Vmr3s
da	da	Cs
bi	biti	Vaa3s
takvo	takav	Pd-nsn
zakonsko	zakonski	Agpnsny
rješenje	rješenje	Ncnsn
bilo	biti	Vap-sn
primjereno	primjeriti	Appnsny
»	»	Z
legitimnim	legitiman	Agpnply
očekivanjima	očekivanje	Ncnpl
ovrhovoditelja	ovrhovoditelj	Ncmpg
da	da	Cs
mu	on	Pp3msd
država	država	Ncfsn
svojim	svoj	Px-msi
neosnovano	neosnovano	Rgp
formalističkim	formalistički	Agpmsiy
i	i	Cc
rigidnim	rigidan	Agpmpiy
propisima	propis	Ncmpi
ne	ne	Qz
otežava	otežavati	Vmr3s
ili	ili	Cc
čak	čak	Qo
potpuno	potpuno	Rgp
onemogućuje	onemogućivati	Vmr3s
ionako	ionako	Rgp
dugotrajan	dugotrajan	Agpmsann
proces	proces	Ncmsan
ostvarenja	ostvarenje	Ncnsg
njegovih	njegov	Ps3npg
prava	pravo	Ncnpg
«	«	Z
.	.	Z

Smatra	smatrati	Vmr3s
da	da	Cs
zbog	zbog	Sg
toga	taj	Pd-nsg
vjerovnik	vjerovnik	Ncmsn
može	moći	Vmr3s
biti	biti	Van
izložen	izložiti	Appmsnn
riziku	rizik	Ncmsd
gubitka	gubitak	Ncmsg
reda	red	Ncmsg
u	u	Sl
stjecanju	stjecanje	Ncnsl
založnog	založni	Agpnsgy
prava	pravo	Ncnsg
ili	ili	Cc
da	da	Cs
izgubi	izgubiti	Vmr3s
prednosni	prednosan	Agpmsayn
red	red	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
161.	161.	Mdo

Ovršnog	ovršni	Agpmsgy
zakona	zakon	Ncmsg
.	.	Z

Uz	uz	Sa
