županija	županija	Ncfsn
Općina	općina	Ncfsn
:	:	Z
POSTIRA	postira	Ncfsn
Dol	dol	Agpfsny
Etnografska	etnografski	Agpfsny
zbirka	zbirka	Ncfsn
u	u	Sl
selu	selo	Ncnsl
Dol	Dol	Npmsn
Datum	Datum	Npmsn
:	:	Z
08.05.2015	08.05.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0101	06/0101	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/3	02/3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6534	z-6534	Agpmsny
Grad	grad	Ncmsn
:	:	Z
MAKARSKA	makarski	Agpfsny
Makarska	makarski	Agpfsny
Gradski	gradski	Agpmsayn
muzej	muzej	Ncmsan
Makarska	makarski	Agpfsny
–	–	Z
muzejska	muzejski	Agpfsny
građa	građa	Ncfsn
:	:	Z
Zbirka	zbirka	Ncfsn
etnologije	etnologija	Ncfsg
Datum	datum	Ncmsn
:	:	Z
25.08.2015	25.08.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0157	06/0157	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6587	z-6587	Agpmsny
Grad	grad	Ncmsn
:	:	Z
SPLIT	Split	Npmsn
Split	Split	Npmsn
Hrvatski	hrvatski	Agpmsny
pomorski	pomorski	Agpmsny
muzej	muzej	Ncmsn
Split	Split	Npmsn
–	–	Z
muzejska	muzejski	Agpfsny
građa	građa	Ncfsn
:	:	Z
Zbirka	zbirka	Ncfsn
plovila	ploviti	Vmp-sf
Datum	datum	Ncmsn
:	:	Z
02.09.2015	02.09.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
12	12	Mdc
-	-	Z
06/0021	06/0021	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
3	3	Mdc
Z-5531	Z-5531	Y
Split	Split	Npmsn
Muzej	muzej	Ncmsn
grada	grad	Ncmsg
Splita	Split	Npmsg
–	–	Z
muzejska	muzejski	Agpfsny
građa	građa	Ncfsn
:	:	Z
