svojstava	svojstvo	Ncnpg
.	.	Z

Površina	površina	Ncfsn
utega	uteg	Ncmpg
,	,	Z
promatrana	promatrati	Appfsny
golim	gol	Agpnsiy
okom	oko	Ncnsi
,	,	Z
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
porozna	porozan	Agpfsny
i	i	Cc
mora	morati	Vmr3s
biti	biti	Van
polirana	poliran	Agpfsny
(	(	Z
uglačana	uglačati	Appfsny
)	)	Z
.	.	Z

Površina	površina	Ncfsn
gramskih	gramski	Agpmpgy
utega	uteg	Ncmpg
može	moći	Vmr3s
se	sebe	Px--sa
zaštititi	zaštititi	Vmn
od	od	Sg
korozije	korozija	Ncfsg
odgovarajućim	odgovarajući	Agpmsiy
slojem	sloj	Ncmsi
otpornim	otporan	Agpmsiy
na	na	Sa
habanje	habanje	Ncnsa
i	i	Cc
udare	udar	Ncmpa
.	.	Z

Utezi	uteg	Ncmpn
nazivne	nazivni	Agpfsgy
mase	masa	Ncfsg
od	od	Sg
500	500	Mdc
g	g	Y
do	do	Sg
20	20	Mdc
kg	kg	Agpmsgy
,	,	Z
namijenjeni	namijeniti	Appmpny
ovjeravanju	ovjeravanje	Ncnsl
vaga	vaga	Ncfpg
,	,	Z
mogu	moći	Vmr3p
biti	biti	Van
izrađeni	izraditi	Appmpny
od	od	Sg
sivog	siv	Agpnsgy
lijevanog	lijevati	Agpnsgy
željeza	željezo	Ncnsg
koje	koji	Pi-nsn
se	sebe	Px--sa
lijeva	lijevati	Vmr3s
u	u	Sl
kalupima	kalup	Ncmpl
u	u	Sl
finom	fin	Agpmsly
pijesku	pijesak	Ncmsl
.	.	Z

2.4.	2.4.	Mdo

Utezi	uteg	Ncmpn
razreda	razred	Ncmpg
točnosti	točnost	Ncfsg
M1	M1	X
namještaju	namještati	Vmr3p
se	sebe	Px--sa
olovom	olovo	Ncnsi
ili	ili	Cc
istim	isti	Agpnsiy
gradivom	gradivo	Ncnsi
od	od	Sg
kojeg	koji	Pi-msg
su	biti	Var3p
izrađeni	izraditi	Appmpny
.	.	Z

Pri	pri	Sl
prvom	prvi	Mlonsl
namještanju	namještanje	Ncnsl
mase	masa	Ncfsg
novih	nov	Agpmpgy
utega	uteg	Ncmpg
približno	približno	Rgp
1/2	1/2	Mdc
ukupnog	ukupan	Agpmsgy
obujma	obujam	Ncmsg
šupljine	šupljina	Ncfsg
za	za	Sa
namještanje	namještanje	Ncnsa
mase	masa	Ncfsg
mora	morati	Vmr3s
ostati	ostati	Vmn
prazna	prazan	Agpfsny
.	.	Z

Šupljine	šupljina	Ncfpn
za	za	Sa
namještanje	namještanje	Ncnsa
mase	masa	Ncfsg
zatvaraju	zatvarati	Vmr3p
se	sebe	Px--sa
,	,	Z
a	a	Cc
otvaranje	otvaranje	Ncnsn
se	sebe	Px--sa
sprječava	sprječavati	Vmr3s
