magnetskim	magnetski	Agpnply
poljima	polje	Ncnpl
od	od	Sg
1	1	Mdc
Hz	Hz	Y
do	do	Sg
10	10	Mdc
MHz	MHz	Y

Raspon	raspon	Ncmsn
frekvencije	frekvencija	Ncfsg
Niske	nizak	Agpfsgy
vrijednosti	vrijednost	Ncfsg
upozorenja	upozorenje	Ncnsg
za	za	Sa
gustoću	gustoća	Ncfsa
magnetskog	magnetski	Agpmsgy
toka	tok	Ncmsg
(	(	Z
B	b	X
)	)	Z
[	[	Z
µT	µT	Npmsn
]	]	Z
(	(	Z
RMS	RMS	Npmsn
)	)	Z
Visoke	visok	Agpfpny
vrijednosti	vrijednost	Ncfpn
upozorenja	upozorenje	Ncnsg
za	za	Sa
gustoću	gustoća	Ncfsa
magnetskog	magnetski	Agpmsgy
toka	tok	Ncmsg
(	(	Z
B	b	X
)	)	Z
[	[	Z
µT	µT	Npmsn
]	]	Z
(	(	Z
RMS	RMS	Npmsn
)	)	Z
Vrijednosti	vrijednost	Ncfsl
upozorenja	upozorenje	Ncnsg
za	za	Sa
gustoću	gustoća	Ncfsa
magnetskog	magnetski	Agpmsgy
toka	tok	Ncmsg
za	za	Sa
izloženost	izloženost	Ncfsa
ekstremiteta	ekstremitet	Ncmsg
lokaliziranom	lokaliziran	Agpnsly
magnetskom	magnetski	Agpnsly
polju	polje	Ncnsl
[	[	Z
µT	µt	Agpmsnn
]	]	Z
(	(	Z
RMS	RMS	Npmsn
)	)	Z
1	1	Mdc
≤	≤	Z
f	f	X
<	<	Z
8	8	Mdc
Hz	Hz	Y
2,0	2,0	Mdc
×	×	Z
105	105	Mdc
/	/	Z
f2	f2	Rgp
3,0	3,0	Mdc
×	×	Z
105	105	Mdc
/	/	Z
f	f	Rgp
9,0	9,0	Mdc
×	×	Z
105	105	Mdc
/	/	Z
f	i	Agpnsny
8	8	Mdc
≤	≤	Z
f	f	X
<	<	Z
25	25	Mdc
Hz	Hz	Y
2,5	2,5	Mdc
×	×	Z
104	104	Mdc
/	/	Z
f	f	Rgp
3,0	3,0	Mdc
×	×	Z
105	105	Mdc
/	/	Z
f	f	Rgp
9,0	9,0	Mdc
×	×	Z
105	105	Mdc
/	/	Z
f	f	X
25	25	Mdc
≤	≤	Z
f	f	X
<	<	Z
300	300	Mdc
Hz	Hz	Y
1,0	1,0	Mdc
×	×	Z
103	103	Mdc
3,0	3,0	Mdc
×	×	Z
105	105	Mdc
/	/	Z
f	f	Rgp
9,0	9,0	Mdc
×	×	Z
105	105	Mdc
/	/	Z
f	f	X
300	300	Mdc
Hz	Hz	Y
≤	≤	Z
f	f	X
<	<	Z
3	3	Mdc
kHz	kHz	Y
3,0	3,0	Mdc
×	×	Z
105	105	Mdc
/	/	Z
f	f	Rgp
3,0	3,0	Mdc
×	×	Z
105	105	Mdc
/	/	Z
f	f	Rgp
9,0	9,0	Mdc
×	×	Z
105	105	Mdc
/	/	Z
f	i	Agpnsny
3	3	Mdc
kHz	kHz	Y
≤	≤	Z
f	f	Cc
≤	≤	Z
10	10	Mdc
MHz	MHz	Y
1,0	1,0	Mdc
×	×	Z
102	102	Mdc
1,0	1,0	Mdc
×	×	Z
102	102	Mdc
3,0	3,0	Mdc
×	×	Z
102	102	Mdc

Napomena	napomena	Ncfsn
B2	B2	X
–	–	Z
1	1	Mdc
:	:	Z
f	f	Ncmsn
je	biti	Var3s
frekvencija	frekvencija	Ncfsn
izražena	izraziti	Appfsny
u	u	Sl
hercima	herk	Ncmpl
(	(	Z
Hz	Hz	Npmsn
)	)	Z
.	.	Z

Napomena	napomena	Ncfsn
B2	B2	X
–	–	Z
2	2	Mdc
:	:	Z
Niske	nizak	Agpfsgy
i	i	Cc
visoke	visok	Agpfpay
vrijednosti	vrijednost	Ncfpa
upozorenja	upozorenje	Ncnsg
su	biti	Var3p
efektivne	efektivan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
(	(	Z
RMS	RMS	Npmsn
)	)	Z
jakosti	jakost	Ncfpn
električnog	električan	Agpnsgy
polja	polje	Ncnsg
koje	koji	Pi-fpn
su	biti	Var3p
jednake	jednak	Agpfpny
vršnim	vršni	Agpfpdy
vrijednostima	vrijednost	Ncfpd
podijeljenim	podijeljen	Agpfpiy
s	sa	Si
√	√	Z
2	2	Mdc
za	za	Sa
sinusna	sinusni	Agpnpay
polja	polje	Ncnpa
.	.	Z

Kod	kod	Sg
ne	ne	Ncfsg
sinusnih	sinusni	Agpnpgy
polja	polje	Ncnpg
ocjena	ocjena	Ncfpg
izloženosti	izloženost	Ncfsg
provedena	provesti	Appfsny
sukladno	sukladno	Rgp
članku	članak	Ncmsl
5.	5.	Mdo
temelji	temeljiti	Vmr3s
se	sebe	Px--sa
na	na	Sl
metodi	metoda	Ncfsl
ponderirane	ponderirati	Appfsgy
vršne	vršni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
(	(	Z
filtriranje	filtriranje	Ncnsn
u	u	Sl
vremenskoj	vremenski	Agpfsly
domeni	domena	Ncfsl
)	)	Z
,	,	Z
objašnjenoj	objasniti	Appfsly
u	u	Sl
praktičnim	praktičan	Agpfply
smjernicama	smjernica	Ncfpl
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
no	no	Cc
mogu	moći	Vmr3p
se	sebe	Px--sa
koristiti	koristiti	Vmn
i	i	Cc
drugi	drugi	Mlomsn
znanstveno	znanstveno	Rgp
dokazani	dokazati	Appmpny
i	i	Cc
provjereni	provjeriti	Appmpny
postupci	postupak	Ncmpn
ocjene	ocjena	Ncfsg
izloženosti	izloženost	Ncfsg
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
su	biti	Var3p
dobiveni	dobiti	Appmpny
rezultati	rezultat	Ncmpn
približno	približno	Rgp
istovrijedni	istovrijedan	Agpmpny
i	i	Cc
