sadržanom	sadržan	Agpnsly
u	u	Sl
izdacima	izdatak	Ncmpl
te	te	Cc
posebno	posebno	Rgp
podatke	podatak	Ncmpa
o	o	Sl
iznosu	iznos	Ncmsl
ukupno	ukupno	Rgp
ostvarenih	ostvariti	Agpmpgy
izdataka	izdatak	Ncmpg
:	:	Z

–	–	Z
u	u	Sl
gotovini	gotovina	Ncfsl

–	–	Z
putem	put	Sg
žiroračuna	žiroračun	Ncmsg

–	–	Z
u	u	Sl
naravi	narav	Ncfsl

–	i	Agpmsgy
otpisa	otpis	Ncmsg

–	–	Pd-fsg
reprezentacije	reprezentacija	Ncfsg

–	–	Z
u	u	Sl
svezi	sveza	Ncfsl
otuđenja	otuđenje	Ncnsg
materijalne	materijalan	Agpfsgy
i	i	Cc
nematerijalne	nematerijalan	Agpfsgy
imovine	imovina	Ncfsg
te	te	Cc

–	–	Pd-mpn
koji	koji	Pi-mpn
se	sebe	Px--sa
porezno	porezno	Rgp
ne	ne	Qz
priznaju	priznati	Vmr3p
prema	prema	Sl
članku	članak	Ncmsl
22.	22.	Mdo

Zakona	zakon	Ncmsg
,	,	Z

4.	4.	Mdo
pod	pod	Ncmsan
IV	IV	Mrc
.	.	Z
podatak	podatak	Ncmsn
o	o	Sl
ukupno	ukupno	Rgp
ostvarenom	ostvariti	Agpmsly
dohotku	dohodak	Ncmsl
/	/	Z
gubitku	gubitak	Ncmsl
,	,	Z

5.	5.	Mdo
pod	pod	Sa
V.	vi	Agpmpay
podatke	podatak	Ncmpa
o	o	Sl
:	:	Z

–	–	Sl
broju	broj	Ncmsl
zaposlenih	zaposlen	Agpmpgy
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
31.12.	31.12.	Mds

–	–	Sl
razlici	razlika	Ncfsl
između	između	Sg
prometa	promet	Ncmsg
po	po	Sl
žiroračunu	žiroračun	Ncmsl
i	i	Cc
primitaka	primitak	Ncmpg
iskazanih	iskazati	Appmpgy
pod	pod	Ncmpg
II	ii	Mrc
.	.	Z
2.	2.	Mdo
:	:	Z

–	–	Sl
pologu	polog	Ncmsl
utrška	utržak	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
iskazan	iskazati	Appmsnn
pod	pod	Ncmsn
II	ii	Mro
.	.	Z
1.	1.	Mdo

–	–	Si
primljenim	primljen	Agpmpiy
iznosima	iznos	Ncmpi
kredita	kredit	Ncmsg

–	–	Si
primljenim	primljen	Agpmpiy
iznosima	iznos	Ncmpi
zajmova	zajam	Ncmpg

–		Agpmpdy
primicima	primitak	Ncmpd
po	po	Sl
osnovi	osnova	Ncfsl
državnih	državni	Agpfpgy
pomoći	pomoć	Ncfpg
,	,	Z
poticaja	poticaj	Ncmpg
i	i	Cc
potpora	potpora	Ncfpg
namijenjenih	namijenjen	Agpfpgy
za	za	Sa
nabavu	nabava	Ncfsa
dugotrajne	dugotrajan	Agpfsgy
imovine	imovina	Ncfsg
koja	koji	Pi-fsn
podliježe	podlijegati	Vmr3s
amortizaciji	amortizacija	Ncfsd

–		Mlc--l
ostalim	ostali	Agpmsiy
posebno	posebno	Rgp
nenavedenim	nenaveden	Agpmpiy
primicima	primitak	Ncmpi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
»	»	Agpmsny
Izvadak	izvadak	Ncmsn
iz	iz	Sg
poslovnih	poslovan	Agpfpgy
knjiga	knjiga	Ncfpg
«	«	Z
–	–	Z
Obrazac	obrazac	Ncmsn
P-PPI	p-ppi	Agpmsny
sastavni	sastavan	Agpmsny
je	biti	Var3s
dio	dio	Ncmsn
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

3.2.5.	3.2.5.	Mdo

Poseban	poseban	Agpmsann
postupak	postupak	Ncmsan
utvrđivanja	utvrđivanje	Ncnsg
godišnjeg	godišnji	Agpmsgy
poreza	porez	Ncmsg
na	na	Sa
dohodak	dohodak	Ncmsan

Članak	članak	Ncmsn
89.	89.	Mdo
b	b	X

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
43.	43.	Mdo
a	a	Cc
Zakona	zakon	Ncmsg
porezni	porezni	Agpmpny
obveznici	obveznik	Ncmpn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
na	na	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
poseban	poseban	Agpmsann
postupak	postupak	Ncmsan
utvrđivanja	utvrđivanje	Ncnsg
godišnjeg	godišnji	Agpmsgy
poreza	porez	Ncmsg
na	na	Sa
dohodak	dohodak	Ncmsan
nemaju	nemati	Vmr3p
obvezu	obveza	Ncfsa
