Zainteresirane	zainteresiran	Agpfpny
strane	strana	Ncfpn
koje	koji	Pi-fpn
žele	željeti	Vmr3p
reproducirati	reproducirati	Vmn
ili	ili	Cc
prevesti	prevesti	Vmn
i	i	Cc
reproducirati	reproducirati	Vmn
ovaj	ovaj	Pd-msan
priručnik	priručnik	Ncmsan
,	,	Z
trebaju	trebati	Vmr3p
kontaktirati	kontaktirati	Vmn
na	na	Sl
permissions@ifac.org	permissions@ifac.ora	Ncfsl
radi	raditi	Vmr3s
odredbi	odredba	Ncfsl
i	i	Cc
uvjeta	uvjet	Ncmpg
pod	pod	Si
kojima	koji	Pi-mpi
se	sebe	Px--sa
to	taj	Pd-nsn
može	moći	Vmr3s
ostvariti	ostvariti	Vmn
.	.	Z
[	[	Z
2	2	Mdc
]	]	Z
U	u	Sl
odjeljcima	odjeljak	Ncmpl
290	290	Mdc
i	i	Cc
291	291	Mdc
ovog	ovaj	Pd-msg
Kodeksa	kodeks	Ncmsg
razmatrane	razmatrati	Appfpny
su	biti	Var3p
uvjetovane	uvjetovati	Appfpny
naknade	naknada	Ncfpn
za	za	Sa
usluge	usluga	Ncfpa
bez	bez	Sg
izražavanja	izražavanje	Ncnsg
uvjerenja	uvjerenje	Ncnsg
pružene	pružiti	Appfpny
klijentima	klijent	Ncmpi
revizije	revizija	Ncfsg
i	i	Cc
klijentima	klijent	Ncmpi
kojima	koji	Pi-mpi
se	sebe	Px--sa
izražavaju	izražavati	Vmr3p
druga	drugi	Mlonpa
uvjerenja	uvjerenje	Ncnpn
.	.	Z
[	[	Z
3	3	Mdc
]	]	Z
*	*	Z
Izmjene	izmjena	Ncfpa
u	u	Sl
ovom	ovaj	Pd-msl
Odjeljku	odjeljak	Ncmsl
nastale	nastao	Agpfsgy
zbog	zbog	Sg
izmjene	izmjena	Ncfsg
Kodeksa	Kodeks	Npmsg
koje	koji	Pi-fpn
su	biti	Var3p
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
pružanjem	pružanje	Ncnsi
određenih	određen	Agpfpgy
usluga	usluga	Ncfpg
bez	bez	Sg
izražavanja	izražavanje	Ncnsg
uvjerenja	uvjerenje	Ncnsg
klijentima	klijent	Ncmpi
revizije	revizija	Ncfsg
bit	biti	Van
će	htjeti	Var3s
na	na	Sl
snazi	snaga	Ncfsl
za	za	Sa
revizije	revizija	Ncfpa
financijskih	financijski	Agpmpgy
izvještaja	izvještaj	Ncmpg
za	za	Sa
razdoblja	razdoblje	Ncnpa
započeta	započeti	Appfsny
na	na	Sa
15.	15.	Mdo
prosinca	prosinac	Ncmsg
2016.	2016.	Mdo
ili	ili	Cc
nakon	nakon	Sg
tog	taj	Pd-msg
datuma	datum	Ncmsg
.	.	Z

Vidjeti	vidjeti	Vmn
stranicu	stranica	Ncfsa
168.	168.	Mdo
[	[	Z
4	4	Mdc
]	]	Z
*	*	Z
Izmjene	izmjena	Ncfpa
u	u	Sl
ovom	ovaj	Pd-msl
Odjeljku	odjeljak	Ncmsl
nastale	nastao	Agpfsgy
zbog	zbog	Sg
izmjene	izmjena	Ncfsg
Kodeksa	Kodeks	Npmsg
koje	koji	Pi-fpn
su	biti	Var3p
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
pružanjem	pružanje	Ncnsi
određenih	određen	Agpfpgy
usluga	usluga	Ncfpg
bez	bez	Sg
izražavanja	izražavanje	Ncnsg
uvjerenja	uvjerenje	Ncnsg
klijentima	klijent	Ncmpi
kojim	koji	Pi-msi
se	sebe	Px--sa
izražava	izražavati	Vmr3s
uvjerenje	uvjerenje	Ncnsa
bit	biti	Van
će	htjeti	Var3s
na	na	Sl
snazi	snaga	Ncfsl
za	za	Sa
revizije	revizija	Ncfpa
financijskih	financijski	Agpmpgy
izvještaja	izvještaj	Ncmpg
za	za	Sa
razdoblja	razdoblje	Ncnpa
započeta	započeti	Appfsny
na	na	Sa
15.	15.	Mdo
prosinca	prosinac	Ncmsg
2016.	2016.	Mdo
ili	ili	Cc
nakon	nakon	Sg
tog	taj	Pd-msg
datuma	datum	Ncmsg
.	.	Z

Vidjeti	vidjeti	Vmn
stranicu	stranica	Ncfsa
168.	168.	Mdo
[	[	Z
5	5	Mdc
]	]	Z
»	»	Z
Interne	interni	Agpfsgy
kontrole	kontrola	Ncfsg
–	–	Z
Integrirani	integrirati	Agpmsny
okvir	okvir	Ncmsn
«	«	Z
,	,	Z
The	The	Xf
Committe	Committe	Xf
of	of	Xf
Sponsoring	Sponsoring	Xf
Organizations	Organizations	Xf
of	of	Xf
the	the	Xf
Treadway	Treadway	Xf
Commission	Commission	Xf
.	.	Z
[	[	Z
6	6	Mdc
]	]	Z
»	»	Z
Upute	uputa	Ncfpn
za	za	Sa
procjenjivanje	procjenjivanje	Ncnsa
kontrola	kontrola	Ncfpg
–	–	Z
CoCo	coco	Agpnpgy
načela	načelo	Ncnpg
«	«	Z
,	,	Z
Criteria	Criteria	Npfsn
for	for	Xf
Control	Control	Xf
Board	board	Ncmsn
,	,	Z
The	The	Xf
Canadian	Canadian	Xf
Institute	institut	Xf
of	of	Xf
Chartered	Chartered	Xf
Accountants	Accountants	Xf
.	.	Z
[	[	Z
7	7	Mdc
]	]	Z
Vidjeti	vidjeti	Vmn
točke	točka	Ncfpa
290.13	290.13	Mdc
–	–	Z
290.24	290.24	Mdc
za	za	Sa
upute	uputa	Ncfpa
o	o	Sl
onome	onaj	Pd-nsl
što	što	Pi3n-n
tvori	tvoriti	Vmr3s
umreženo	umrežiti	Agpnsny
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
.	.	Z
[	[	Z
8	8	Mdc
]	]	Z
*	*	Z
MRevS	MRevS	Npmsn
610	610	Mdc
(	(	Z
izmijenjen	izmijeniti	Appmsnn
2013.	2013.	Mdo
)	)	Z
ustanovljuje	ustanovljivati	Vmr3s
ograničenja	ograničenje	Ncnsg
korištenja	korištenje	Ncnsg
izravne	izravan	Agpfsgy
pomoći	pomoć	Ncfsg
.	.	Z

U	u	Sl
njemu	on	Pp3msl
se	sebe	Px--sa
također	također	Rgp
navodi	navoditi	Vmr3s
da	da	Cs
zakon	zakon	Ncmsn
ili	ili	Cc
regulativa	regulativa	Ncfsn
može	moći	Vmr3s
zabranjivati	zabranjivati	Vmn
vanjskom	vanjski	Agpmsdy
revizoru	revizor	Ncmsd
dobivanje	dobivanje	Ncnsn
izravne	izravan	Agpfsgy
pomoći	pomoć	Ncfsg
od	od	Sg
unutarnjih	unutarnji	Agpmpgy
revizora	revizor	Ncmpg
.	.	Z

Stoga	stoga	Rgp
,	,	Z
korištenje	korištenje	Ncnsn
izravne	izravan	Agpfsgy
pomoći	pomoć	Ncfsg
ograničeno	ograničiti	Appnsny
je	biti	Var3s
na	na	Sa
one	onaj	Agpfpay
situacije	situacija	Ncfpa
gdje	gdje	Cs
je	biti	Var3s
ono	onaj	Pd-nsn
dopušteno	dopustiti	Appnsny
.	.	Z

