ugrađenim	ugraditi	Appmsiy
VHF	v	Ncmsi
primoodašiljaćem	primoodašiljaćea	Ncfsg
i	i	Cc
antenom	antena	Ncfsi
koja	koji	Pi-fsn
se	sebe	Px--sa
posebno	posebno	Rgp
ugrađuje	ugrađivati	Vmr3s
,	,	Z
mora	morati	Vmr3s
imati	imati	Vmn
uređaj	uređaj	Ncmsan
za	za	Sa
pričvršćenje	pričvršćenje	Ncnsa
antene	antena	Ncfsg
u	u	Sl
njenom	njen	Agpmsly
radnom	radni	Agpmsly
položaju	položaj	Ncmsl
.	.	Z

6.13.7.9	6.13.7.	Aspfsny
Brodica	brodica	Ncfsn
za	za	Sa
spašavanje	spašavanje	Ncnsa
koja	koji	Pi-fsn
se	sebe	Px--sa
spušta	spuštati	Vmr3s
preko	preko	Sg
boka	bok	Ncmsg
,	,	Z
mora	morati	Vmr3s
imati	imati	Vmn
vodilice	vodilica	Ncfpa
za	za	Sa
spuštanje	spuštanje	Ncnsa
i	i	Cc
bokoštitnike	bokoštitnik	Ncmpa
koji	koji	Pi-mpn
olakšavaju	olakšavati	Vmr3p
spuštanje	spuštanje	Ncnsa
i	i	Cc
ne	ne	Qz
dopuštaju	dopuštati	Vmr3p
oštećenje	oštećenje	Ncnsa
brodice	brodica	Ncfsg
.	.	Z

6.13.7.10	6.13.7.1i	Agpfsny
Brodica	brodica	Ncfsn
se	sebe	Px--sa
mora	morati	Vmr3s
opremiti	opremiti	Vmn
svjetlom	svjetlo	Ncnsi
s	sa	Si
ručnim	ručni	Agpmsiy
prekidačem	prekidač	Ncmsi
.	.	Z

Svjetlo	svjetlo	Ncnsn
mora	morati	Vmr3s
biti	biti	Van
bijele	bijel	Agpfsgy
boje	boja	Ncfsg
i	i	Cc
mora	morati	Vmr3s
raditi	raditi	Vmn
neprekidno	neprekidan	Agpnsay
najmanje	malo	Rgs
12	12	Mdc
sati	sat	Ncmpg
uz	uz	Sa
jačinu	jačina	Ncfsa
svjetlosti	svjetlost	Ncfsg
ne	ne	Qz
manju	mali	Agcfsay
od	od	Sg
4.3	4.3	Mdc
cd	c	Ncmpg
u	u	Sl
svim	sav	Agpmply
smjerovima	smjer	Ncmpl
gornje	gornji	Agpfsgy
polukugle	polukugla	Ncfsg
.	.	Z

