jedan	jedan	Mlcmsn
transakcijski	transakcijski	Agpmsny
račun	račun	Ncmsn
za	za	Sa
tu	taj	Pd-fsa
svrhu	svrha	Ncfsa
te	te	Cc
o	o	Sl
tome	taj	Pd-nsl
obavijestiti	obavijestiti	Vmn
Hrvatsku	hrvatski	Agpfsay
narodnu	narodni	Agpfsay
banku	banka	Ncfsa
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
119.	119.	Mdo

U	u	Sl
članku	članak	Ncmsl
272.	272.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
i	i	Cc
Državne	državni	Agpfpny
agencije	agencija	Ncfpn
za	za	Sa
osiguranje	osiguranje	Ncnsa
štednih	štedni	Agpfpgy
uloga	uloga	Ncfpg
i	i	Cc
sanaciju	sanacija	Ncfsa
banaka	banka	Ncfpg
«	«	Z
.	.	Z

Članak	članak	Ncmsn
120.	120.	Mdo

U	u	Sl
članku	članak	Ncmsl
274.	274.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
3	3	Mdc
)	)	Z
U	u	Sa
tražbine	tražbina	Ncfpa
trećeg	treći	Mlomsg
višeg	visok	Ncmsg
isplatnog	isplatan	Agpmsgy
reda	red	Ncmsg
ulaze	ulaz	Ncmpa
tražbine	tražbina	Ncfsg
osiguranih	osigurati	Agpmpgy
depozita	depozit	Ncmpg
i	i	Cc
tražbine	tražbina	Ncfsg
Državne	državni	Agpfsgy
agencije	agencija	Ncfsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
štednih	štedni	Agpfpgy
uloga	uloga	Ncfpg
i	i	Cc
sanaciju	sanacija	Ncfsa
banaka	banka	Ncfpg
s	sa	Sg
osnove	osnova	Ncfsg
osiguranih	osigurati	Agpmpgy
depozita	depozit	Ncmpg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
posebnim	poseban	Agpmsiy
zakonom	zakon	Ncmsi
.	.	Z
«	«	Z
.	.	Z

Stavak	stavak	Ncmsn
4.	4.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
4	4	Mdc
)	)	Z
U	u	Sa
tražbine	tražbina	Ncfpa
četvrtog	četvrti	Mlomsg
višeg	visok	Agcmsgy
isplatnog	isplatan	Agpmsgy
reda	red	Ncmsg
ulaze	ulaziti	Vmr3p
tražbine	tražbina	Ncfsg
podložnih	podložan	Agpmpgy
depozita	depozit	Ncmpg
fizičkih	fizički	Agpfpgy
osoba	osoba	Ncfpg
,	,	Z
mikropoduzeća	mikropoduzeć	Ncmpg
te	te	Cc
malih	mali	Agpmpgy
i	i	Cc
srednjih	srednji	Agpnpgy
poduzeća	poduzeće	Ncnpg
koji	koji	Pi-mpn
prelaze	prelaziti	Vmr3p
iznos	iznos	Ncmsan
pokrića	pokriće	Ncnsg
predviđen	predvidjeti	Appmsnn
zakonom	zakon	Ncmsi
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
osiguranje	osiguranje	Ncnsa
depozita	depozit	Ncmsg
i	i	Cc
depoziti	depozit	Ncmpn
fizičkih	fizički	Agpfpgy
osoba	osoba	Ncfpg
,	,	Z
mikropoduzeća	mikropoduzeć	Ncmpg
te	te	Cc
malih	mali	Agpmpgy
i	i	Cc
srednjih	srednji	Agpnpgy
poduzeća	poduzeće	Ncnpg
koji	koji	Pi-mpn
bi	biti	Vaa3p
bili	biti	Vap-pm
podložni	podložan	Agpmpny
depoziti	depozit	Ncmpn
da	da	Cs
nisu	biti	Var3p
položeni	položiti	Appmpny
u	u	Sl
podružnici	podružnica	Ncfsl
kreditne	kreditan	Agpfsgy
institucije	institucija	Ncfsg
sa	sa	Si
sjedištem	sjedište	Ncnsi
u	u	Sl
Europskoj	europski	Agpfsly
uniji	unija	Ncfsl
,	,	Z
koja	koji	Pi-fsn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
u	u	Sl
trećoj	treći	Mlofsl
zemlji	zemlja	Ncfsl
.	.	Z
«	«	Z
.	.	Z

Iza	iza	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
dodaju	dodati	Vmr3p
se	sebe	Px--sa
