opravdanih	opravdati	Agpmpgy
razloga	razlog	Ncmpg
(	(	Z
trudnoće	trudnoća	Ncfsg
,	,	Z
bolesti	bolest	Ncfsg
i	i	Cc
sličnih	sličan	Agpmpgy
razloga	razlog	Ncmpg
)	)	Z
nije	biti	Var3s
uspio	uspjeti	Vmp-sm
ispuniti	ispuniti	Vmn
obveze	obveza	Ncfpa
tekuće	tekući	Agpfsgy
školske	školski	Agpfsgy
,	,	Z
odnosno	odnosno	Rgp
akademske	akademski	Agpfsgy
godine	godina	Ncfsg
.	.	Z

Dužnosti	dužnost	Ncfpn
djeteta	dijete	Ncnsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
uzdržavanjem	uzdržavanje	Ncnsi

Članak	članak	Ncmsn
291.	291.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Dijete	dijete	Ncnsn
koje	koji	Pi-nsn
ima	imati	Vmr3s
prihode	prihod	Ncmpa
dužno	dužan	Agpnsny
je	biti	Var3s
pridonositi	pridonositi	Vmn
za	za	Sa
svoje	svoj	Px-nsa
uzdržavanje	uzdržavanje	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Punoljetno	punoljetan	Agpnsny
dijete	dijete	Ncnsn
koje	koji	Pi-nsn
prima	primati	Vmr3s
uzdržavanje	uzdržavanje	Ncnsa
radi	radi	Sg
obrazovanja	obrazovanje	Ncnsg
dužno	dužan	Agpnsny
je	biti	Var3s
obavijestiti	obavijestiti	Vmn
roditelje	roditelj	Ncmpa
o	o	Sl
redovitom	redovit	Agpnsly
ispunjavanju	ispunjavanje	Ncnsl
obveza	obveza	Ncfpg
najkasnije	kasno	Rgs
do	do	Sg
1.	1.	Mdo
studenoga	studeni	Ncmsg
za	za	Sa
svaku	svaki	Pi-fsa
školsku	školski	Agpfsay
,	,	Z
odnosno	odnosno	Rgp
akademsku	akademski	Agpfsay
godinu	godina	Ncfsa
.	.	Z

Uzdržavanje	uzdržavanje	Ncnsn
roditelja	roditelj	Ncmpg

Članak	članak	Ncmsn
292.	292.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Punoljetno	punoljetan	Agpnsny
dijete	dijete	Ncnsn
je	biti	Var3s
dužno	dužan	Agpnsny
uzdržavati	uzdržavati	Vmn
roditelja	roditelj	Ncmsay
koji	koji	Pi-msn
nije	biti	Var3s
sposoban	sposoban	Agpmsnn
za	za	Sa
rad	rad	Ncmsan
,	,	Z
a	a	Cc
nema	nemati	Vmr3s
dovoljno	dovoljno	Rgp
sredstava	sredstvo	Ncnpg
za	za	Sa
život	život	Ncmsan
ili	ili	Cc
ih	oni	Pp3-pa
ne	ne	Qz
može	moći	Vmr3s
ostvariti	ostvariti	Vmn
iz	iz	Sg
svoje	svoj	Px-fsg
imovine	imovina	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Dijete	dijete	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
osloboditi	osloboditi	Vmn
dužnosti	dužnost	Ncfsd
uzdržavanja	uzdržavanje	Ncnsg
roditelja	roditelj	Ncmpg
koji	koji	Pi-mpn
ga	on	Pp3msa
iz	iz	Sg
neopravdanih	neopravdan	Agpmpgy
razloga	razlog	Ncmpg
nije	biti	Var3s
uzdržavao	uzdržavati	Vmp-sm
u	u	Sa
vrijeme	vrijeme	Ncnsa
kad	kad	Cs
je	biti	Var3s
to	taj	Pd-nsn
bila	biti	Vap-sf
njegova	njegov	Ps3fsn
zakonska	zakonski	Agpfsny
obveza	obveza	Ncfsn
.	.	Z

Uzdržavanje	uzdržavanje	Ncnsn
maćehe	maćeha	Ncfsg
i	i	Cc
očuha	očuh	Ncmsg

Članak	članak	Ncmsn
293.	293.	Mdo

Punoljetni	punoljetan	Agpmsny
pastorak	pastorak	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
uzdržavati	uzdržavati	Vmn
maćehu	maćeha	Ncfsa
,	,	Z
odnosno	odnosno	Rgp
očuha	očuh	Ncmpg
ako	ako	Cs
maćeha	maćeha	Ncfsn
ili	ili	Cc
očuh	očuh	Ncmsn
nisu	biti	Var3p
sposobni	sposoban	Agpmpny
za	za	Sa
rad	rad	Ncmsan
,	,	Z
a	a	Cc
nemaju	nemati	Vmr3p
dovoljno	dovoljno	Rgp
sredstava	sredstvo	Ncnpg
za	za	Sa
