skladu	sklad	Ncmsd
sa	sa	Si
6.8.4.2	6.8.	Ncmpi
,	,	Z
6.8.4.3	6.8.4.3	Mdc
,	,	Z
6.13.3.1	6.13.3.1	Mdc
i	i	Cc
6.13.3.2.	6.13.3.2.	Mdo

6.20.1.11	6.20.1.11	Agpmsny
Uređaj	uređaj	Ncmsn
za	za	Sa
spuštanje	spuštanje	Ncnsa
brodice	brodica	Ncfsg
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
mora	morati	Vmr3s
imati	imati	Vmn
užad	uže	Ncnpa
za	za	Sa
privlaćenje	privlaćenje	Ncnsa
teških	težak	Agpmpgy
kolotura	kolotur	Ncmpg
u	u	Sl
nepovoljnim	nepovoljan	Agpmply
vremenskim	vremenski	Agpmply
uvjetima	uvjet	Ncmpl
.	.	Z

6.20.2	6.20.2	Pd-mpn
Uređaji	uređaj	Ncmpn
za	za	Sa
spuštanje	spuštanje	Ncnsa
pomoću	pomoć	Sg
užadi	uže	Ncfsg
za	za	Sa
zavješenje	zavješenja	Ncfpa
i	i	Cc
vitala	vitao	Ncmpg

6.20.2.1	6.20.2.1	Mdc
Svaki	svaki	Pi-msan
uređaj	uređaj	Ncmsan
za	za	Sa
spuštanje	spuštanje	Ncnsa
koji	koji	Pi-msn
koristi	koristiti	Vmr3s
užad	uže	Ncmsan
za	za	Sa
zavješenje	zavješenje	Ncnsa
i	i	Cc
vitlo	vitlo	Ncnsa
,	,	Z
osim	osim	Sg
pomoćnih	pomoćan	Agpmpgy
uređaja	uređaj	Ncmpg
za	za	Sa
spuštanje	spuštanje	Ncnsa
brodica	brodica	Ncfpg
za	za	Sa
spašavanje	spašavanje	Ncnsa
koje	koji	Pi-fpn
se	sebe	Px--sa
spuštaju	spuštati	Vmr3p
slobodnim	slobodan	Agpmsiy
padom	pad	Ncmsi
,	,	Z
mora	morati	Vmr3s
udovoljavati	udovoljavati	Vmn
zahtjevima	zahtjev	Ncmpd
navedenim	navesti	Appmply
u	u	Sl
6.20.1.	6.20.1a	Ncfsl
i	i	Cc
dodatno	dodatno	Rgp
zahtjevima	zahtjev	Ncmpd
ovog	ovaj	Pd-msg
odjeljka	odjeljak	Ncmsg
.	.	Z

6.20.2.2	6.20.2.2	Agpmsny
Uređaj	uređaj	Ncmsn
za	za	Sa
spuštanje	spuštanje	Ncnsa
mora	morati	Vmr3s
biti	biti	Van
tako	tako	Rgp
izveden	izvesti	Appmsnn
da	da	Cs
ga	on	Pp3msa
može	moći	Vmr3s
pokrenuti	pokrenuti	Vmn
jedna	jedan	Mlcfsn
osoba	osoba	Ncfsn
s	sa	Sg
palube	paluba	Ncfsg
broda	brod	Ncmsg
i	i	Cc
,	,	Z
osim	osim	Sg
pomoćnih	pomoćan	Agpmpgy
uređaja	uređaj	Ncmpg
za	za	Sa
spuštanje	spuštanje	Ncnsa
brodica	brodica	Ncfpg
za	za	Sa
spašavanje	spašavanje	Ncnsa
koje	koji	Pi-fpn
se	sebe	Px--sa
spuštaju	spuštati	Vmr3p
slobodnim	slobodan	Agpmsiy
padom	pad	Ncmsi
,	,	Z
iz	iz	Sg
plovila	plovilo	Ncnsg
za	za	Sa
preživljavanje	preživljavanje	Ncnsa
ili	ili	Cc
brodice	brodica	Ncfpa
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
.	.	Z

Plovilo	plovilo	Ncnsn
za	za	Sa
preživljavanje	preživljavanje	Ncnsa
ili	ili	Cc
brodica	brodica	Ncfsn
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
,	,	Z
moraju	morati	Vmr3p
biti	biti	Van
vidljivi	vidljiv	Agpmpny
osobi	osoba	Ncfsd
na	na	Sl
palubi	paluba	Ncfsl
koja	koji	Pi-fsn
rukuje	rukovati	Vmr3s
uređajem	uređaj	Ncmsi
za	za	Sa
spuštanje	spuštanje	Ncnsa
.	.	Z

6.20.2.3	6.20.2.i	Agpnpny
Užad	uže	Ncnpn
za	za	Sa
zavješenje	zavješenja	Ncfpa
mora	morati	Vmr3s
biti	biti	Van
čelična	čeličan	Agpfsny
,	,	Z
ne	ne	Qz
smije	smjeti	Vmr3s
se	sebe	Px--sa
uvrtati	uvrtati	Vmn
i	i	Cc
mora	morati	Vmr3s
biti	biti	Van
zaštićena	zaštititi	Appfsny
od	od	Sg
korozije	korozija	Ncfsg
.	.	Z

6.20.2.4	6.20.2.4	Mdc
U	u	Sl
slučaju	slučaj	Ncmsl
višedjelnog	višedjelan	Agpmsgy
bubnja	bubanj	Ncmsg
vitla	vitao	Ncmsg
,	,	Z
ako	ako	Cs
nije	biti	Var3s
postavljeno	postavljen	Agpnsny
odgovarajuće	odgovarajući	Agpnsny
sredstvo	sredstvo	Ncnsn
za	za	Sa
namatanje	namatanje	Ncnsa
,	,	Z
užad	uže	Ncnpn
za	za	Sa
zavješenje	zavješenje	Ncnsa
moraju	morati	Vmr3p
biti	biti	Van
tako	tako	Rgp
izvedena	izvesti	Appfsny
da	da	Cs
se	sebe	Px--sa
odmataju	odmatati	Vmr3p
i	i	Cc
namataju	namatati	Vmr3p
ravnomjerno	ravnomjerno	Rgp
pri	pri	Sl
spuštanju	spuštanje	Ncnsl
odnosno	odnosno	Rgp
pri	pri	Sl
dizanju	dizanje	Ncnsl
.	.	Z

6.20.2.5	6.20.2.5	Mdc
Kočnice	kočnica	Ncfsg
vitala	vitao	Ncmpg
uređaja	uređaj	Ncmpg
za	za	Sa
spuštanje	spuštanje	Ncnsa
moraju	morati	Vmr3p
imati	imati	Vmn
dovoljnu	dovoljan	Agpfsay
čvrstoću	čvrstoća	Ncfsa
da	da	Cs
izdrže	izdržati	Vmr3p
:	:	Z

.	.	Z
1	1	Mdc
statičko	statički	Agpnsny
ispitivanje	ispitivanje	Ncnsn
opterećenjem	opterećenje	Ncnsi
ne	ne	Qz
manjim	mali	Agcmsiy
od	od	Sg
1,5	1,5	Mdc
puta	puta	Rgp
najvećeg	velik	Agpnsgy
radnog	radni	Agpnsgy
opterećenja	opterećenje	Ncnsg
;	;	Z
i	i	Cc

.	.	Z
2	2	Mdc
dinamičko	dinamički	Agpnsny
ispitivanje	ispitivanje	Ncnsn
opterećenjem	opterećenje	Ncnsi
ne	ne	Qz
manjim	mali	Agcmsiy
od	od	Sg
1,1	1,1	Mdc
puta	puta	Rgp
najvećeg	velik	Agpnsgy
radnog	radni	Agpnsgy
opterećenja	opterećenje	Ncnsg
kod	kod	Sg
najveće	velik	Agsfsgy
brzine	brzina	Ncfsg
spuštanja	spuštanje	Ncnsg
.	.	Z

6.20.2.6	6.20.2.i	Agpnsny
Potrebno	potreban	Agpnsny
je	biti	Var3s
predvidjeti	predvidjeti	Vmn
pouzdan	pouzdan	Agpmsnn
ručni	ručni	Agpmsny
pogon	pogon	Ncmsn
za	za	Sa
dizanje	dizanje	Ncnsa
svakog	svaki	Pi-nsg
plovila	plovilo	Ncnsg
za	za	Sa
preživljavanje	preživljavanje	Ncnsa
i	i	Cc
brodice	brodica	Ncfpa
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
.	.	Z

Ručice	ručica	Ncfpn
ili	ili	Cc
zamašnjaci	zamašnjak	Ncmpn
ručnog	ručni	Agpmsgy
pogona	pogon	Ncmsg
ne	ne	Qz
smiju	smjeti	Vmr3p
se	sebe	Px--sa
vrtjeti	vrtjeti	Vmn
pri	pri	Sl
spuštanju	spuštanje	Ncnsl
ili	ili	Cc
dizanju	dizanje	Ncnsl
plovila	plovilo	Ncnsg
za	za	Sa
preživljavanje	preživljavanje	Ncnsa
ili	ili	Cc
brodice	brodica	Ncfpa
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
mehaničkim	mehanički	Agpmsiy
pogonom	pogon	Ncmsi
.	.	Z

6.20.2.7	6.20.2.7	Mdc
Ako	ako	Cs
se	sebe	Px--sa
sohe	soha	Ncfpn
podižu	podizati	Vmr3p
mehaničkim	mehanički	Agpmsiy
pogonom	pogon	Ncmsi
,	,	Z
potrebno	potreban	Agpnsny
je	biti	Var3s
predvidjeti	predvidjeti	Vmn
sigurnosne	sigurnosni	Agpmpay
