jedan	jedan	Mlcmsn
primjerak	primjerak	Ncmsn
ostaje	ostajati	Vmr3s
u	u	Sl
predmetu	predmet	Ncmsl
spisa	spis	Ncmsg
upravnog	upravan	Agpmsgy
postupka	postupak	Ncmsg
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nalaz	nalaz	Ncmsn
predstavlja	predstavljati	Vmr3s
činjeničnu	činjeničan	Agpfsay
osnovu	osnova	Ncfsa
za	za	Sa
provođenje	provođenje	Ncnsa
stručno-medicinskog	stručno-medicinski	Agpnsgy
vještačenja	vještačenje	Ncnsg
i	i	Cc
donošenje	donošenje	Ncnsa
ocjene	ocjena	Ncfsg
o	o	Sl
postojanju	postojanje	Ncnsl
medicinskih	medicinski	Agpfpgy
indikacija	indikacija	Ncfpg
za	za	Sa
ostvarivanje	ostvarivanje	Ncnsa
pojedinih	pojedini	Agpnpgy
prava	pravo	Ncnpg
osigurane	osigurati	Agpfsgy
osobe	osoba	Ncfsg
.	.	Z

Liječničko	liječnički	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
u	u	Sl
nalazu	nalaz	Ncmsl
obvezno	obvezno	Rgp
navodi	navoditi	Vmr3s
na	na	Sl
osnovi	osnova	Ncfsl
koje	koji	Pi-nsn
se	sebe	Px--sa
medicinske	medicinski	Agpfsgy
i	i	Cc
druge	drugi	Mlofsg
dokumentacije	dokumentacija	Ncfsg
odlučivalo	odlučivati	Vmp-sn
,	,	Z
uz	uz	Sa
navođenje	navođenje	Ncnsa
nalaza	nalaz	Ncmsg
u	u	Sl
svezi	sveza	Ncfsl
s	sa	Si
bolesti	bolest	Ncfsl
te	te	Cc
činjenica	činjenica	Ncfpg
koje	koji	Pi-fpn
iz	iz	Sg
njih	oni	Pp3-pg
proizlaze	proizlaziti	Vmr3p
,	,	Z
kao	kao	Cs
i	i	Cc
da	da	Cs
li	li	Qq
su	biti	Var3p
obavili	obaviti	Vmp-pm
pregled	pregled	Ncmsan
osigurane	osigurati	Appfpny
osobe	osoba	Ncfpn
i	i	Cc
što	što	Pi3n-n
je	biti	Var3s
njime	on	Agsnsny
utvrđeno	utvrditi	Appnsny
,	,	Z
uz	uz	Sa
obvezno	obvezan	Agpnsay
navođenje	navođenje	Ncnsa
detaljnog	detaljan	Agpnsgy
kliničkog	klinički	Agpnsgy
i	i	Cc
funkcionalnog	funkcionalan	Agpmsgy
statusa	status	Ncmsg
s	sa	Si
osvrtom	osvrt	Ncmsi
na	na	Sa
organski	organski	Agpmsayn
sustav	sustav	Ncmsan
,	,	Z
a	a	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
stručno-medicinskog	stručno-medicinski	Agpnsgy
vještačenja	vještačenje	Ncnsg
vezano	vezano	Rgp
uz	uz	Sa
radnu	radni	Agpfsay
sposobnost	sposobnost	Ncfsa
osiguranika	osiguranik	Ncmpg
–	–	Z
radnu	radni	Agpfsay
anamnezu	anamneza	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
mišljenju	mišljenje	Ncnsl
,	,	Z
a	a	Cc
na	na	Sl
osnovi	osnova	Ncfsl
nalaza	nalaz	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
te	te	Cc
prijedloga	prijedlog	Ncmsg
za	za	Si
odobrenjem	odobrenje	Ncnsi
pojedinog	pojedini	Agpnsgy
prava	pravo	Ncnsg
liječničko	liječnički	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
obrazlaže	obrazlagati	Vmr3s
postojanje	postojanje	Ncnsa
,	,	Z
odnosno	odnosni	Agpnsny
nepostojanje	nepostojanje	Ncnsn
medicinskih	medicinski	Agpfpgy
indikacija	indikacija	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
osnova	osnova	Ncfsn
za	za	Sa
priznavanje	priznavanje	Ncnsa
prava	pravo	Ncnsg
,	,	Z
odnosno	odnosni	Agpnsay
postojanje	postojanje	Ncnsa
medicinskih	medicinski	Agpfpgy
kontraindikacija	kontraindikacija	Ncfpg
za	za	Sa
njihovo	njihov	Agpnsay
ostvarivanje	ostvarivanje	Ncnsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ocjena	ocjena	Ncfsn
predstavlja	predstavljati	Vmr3s
odluku	odluka	Ncfsa
liječničkog	liječnički	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
kojom	koji	Pi-fsi
se	sebe	Px--sa
osiguranoj	osigurati	Agpfsdy
osobi	osoba	Ncfsd
odobrava	odobravati	Vmr3s
,	,	Z
djelomice	djelomice	Rgp
odobrava	odobravati	Vmr3s
