način	način	Ncmsn
i	i	Cc
kad	kad	Cs
je	biti	Var3s
umro	umrijeti	Vmp-sm
bračni	bračni	Agpmsny
drug	drug	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
podnio	podnijeti	Vmp-sm
prijedlog	prijedlog	Ncmsan
za	za	Sa
sporazumni	sporazuman	Agpmsayn
razvod	razvod	Ncmsan
braka	brak	Ncmsg
.	.	Z

Mjesna	mjesni	Agpfsny
nadležnost	nadležnost	Ncfsn

Članak	članak	Ncmsn
455.	455.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
suđenje	suđenje	Ncnsa
u	u	Sl
povodu	povod	Ncmsl
prijedloga	prijedlog	Ncmsg
za	za	Sa
sporazumni	sporazuman	Agpmsayn
razvod	razvod	Ncmsan
braka	brak	Ncmsg
nadležan	nadležan	Agpmsnn
je	biti	Var3s
sud	sud	Ncmsn
na	na	Sl
čijem	čiji	Pi-nsl
su	biti	Var3p
području	područje	Ncnsl
bračni	bračni	Agpmpny
drugovi	drug	Ncmpn
imali	imati	Vmp-pm
posljednje	posljednji	Agpnsay
zajedničko	zajednički	Agpnsay
prebivalište	prebivalište	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
u	u	Sl
bračnim	bračni	Agpfply
stvarima	stvar	Ncfpl
sud	sud	Ncmsn
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
nadležan	nadležan	Agpmsnn
zato	zato	Cs
što	što	Cs
su	biti	Var3p
bračni	bračni	Agpmpny
drugovi	drug	Ncmpn
imali	imati	Vmp-pm
posljednje	posljednji	Agpnsay
zajedničko	zajednički	Agpnsay
prebivalište	prebivalište	Ncnsa
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
,	,	Z
nadležan	nadležan	Agpmsnn
je	biti	Var3s
sud	sud	Ncmsn
na	na	Sl
čijem	čiji	Pi-nsl
su	biti	Var3p
području	područje	Ncnsl
bračni	bračni	Agpmpny
drugovi	drug	Ncmpn
imali	imati	Vmp-pm
posljednje	posljednji	Agpnsay
zajedničko	zajednički	Agpnsay
prebivalište	prebivalište	Ncnsa
.	.	Z

Prilozi	prilog	Ncmpn
uz	uz	Sa
prijedlog	prijedlog	Ncmsan

Članak	članak	Ncmsn
456.	456.	Mdo

Bračni	bračni	Agpmpny
drugovi	drug	Ncmpn
koji	koji	Pi-mpn
imaju	imati	Vmr3p
zajedničko	zajednički	Agpnsay
maloljetno	maloljetan	Agpnsay
dijete	dijete	Ncnsa
dužni	dužan	Agpmpny
su	biti	Var3p
uz	uz	Sa
prijedlog	prijedlog	Ncmsan
za	za	Sa
sporazumni	sporazuman	Agpmsayn
razvod	razvod	Ncmsan
braka	brak	Ncmsg
podnijeti	podnijeti	Vmn
izvješće	izvješće	Ncnsa
o	o	Sl
obveznom	obvezan	Agpnsly
savjetovanju	savjetovanje	Ncnsl
iz	iz	Sg
članka	članak	Ncmsg
324.	324.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
i	i	Cc
plan	plan	Ncmsan
o	o	Sl
zajedničkoj	zajednički	Agpfsly
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
iz	iz	Sg
članka	članak	Ncmsg
106.	106.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Odbacivanje	odbacivanje	Ncnsn
prijedloga	prijedlog	Ncmsg

Članak	članak	Ncmsn
457.	457.	Mdo

Ako	ako	Cs
bračni	bračni	Agpmpny
drugovi	drug	Ncmpn
koji	koji	Pi-mpn
imaju	imati	Vmr3p
zajedničko	zajednički	Agpnsay
maloljetno	maloljetan	Agpnsay
dijete	dijete	Ncnsa
uz	uz	Sa
prijedlog	prijedlog	Ncmsan
za	za	Sa
sporazumni	sporazuman	Agpmsayn
razvod	razvod	Ncmsan
braka	brak	Ncmsg
podnesu	podnijeti	Vmr3p
izvješće	izvješće	Ncnsa
o	o	Sl
obveznom	obvezan	Agpnsly
savjetovanju	savjetovanje	Ncnsl
starije	staro	Rgc
od	od	Sg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
,	,	Z
sud	sud	Ncmsn
će	htjeti	Var3s
prijedlog	prijedlog	Ncmsn
za	za	Sa
sporazumni	sporazuman	Agpmsayn
razvod	razvod	Ncmsan
braka	brak	Ncmsg
odbaciti	odbaciti	Vmn
.	.	Z

Ispravak	ispravak	Ncmsn
i	i	Cc
dopuna	dopuna	Ncfsn
prijedloga	prijedlog	Ncmsg

Članak	članak	Ncmsn
458.	458.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
bračni	bračni	Agpmpny
drugovi	drug	Ncmpn
koji	koji	Pi-mpn
imaju	imati	Vmr3p
zajedničko	zajednički	Agpnsay
maloljetno	maloljetan	Agpnsay
dijete	dijete	Ncnsa
uz	uz	Sa
prijedlog	prijedlog	Ncmsan
za	za	Sa
sporazumni	sporazuman	Agpmsayn
razvod	razvod	Ncmsan
braka	brak	Ncmsg
nisu	biti	Var3p
podnijeli	podnijeti	Vmp-pm
izvješće	izvješće	Ncnsa
o	o	Sl
obveznom	obvezan	Agpnsly
savjetovanju	savjetovanje	Ncnsl
ili	ili	Cc
plan	plan	Ncmsan
o	o	Sl
zajedničkoj	zajednički	Agpfsly
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
ili	ili	Cc
sud	sud	Ncmsn
utvrdi	utvrditi	Vmr3s
da	da	Cs
plan	plan	Ncmsn
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
dobrobiti	dobrobit	Ncfsl
djeteta	dijete	Ncnsg
,	,	Z
sud	sud	Ncmsn
će	htjeti	Var3s
pozvati	pozvati	Vmn
podnositelje	podnositelj	Ncmpa
da	da	Cs
ih	oni	Pp3-pa
podnesu	podnijeti	Vmr3p
,	,	Z
odnosno	odnosno	Rgp
dopune	dopuna	Ncfsg
ili	ili	Cc
isprave	isprava	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
danom	dan	Agpfsiy
uputom	uputa	Ncfsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
sud	sud	Ncmsn
će	htjeti	Var3s
odrediti	odrediti	Vmn
rok	rok	Ncmsan
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
za	za	Sa
ponovno	ponovan	Agpnsay
podnošenje	podnošenje	Ncnsa
,	,	Z
dopunu	dopuna	Ncfsa
ili	ili	Cc
ispravak	ispravak	Ncmsan
prijedloga	prijedlog	Ncmsg
i	i	Cc
upozoriti	upozoriti	Vmn
